Escalation_Order_1,Escalation_Order_2,Escalation_Order_3,Escalation_Order_4,Escalation_Order_5,Escalation_Order_6,Escalation_Order_7,Escalation_Order_8,Country,Gender,Age,Veteran,Government,Current_Affiliation,Current_Affiliation_4_TEXT,Political_ID,
2,6,4,3,5,1,7,8,1,2,28,1,2,1,,1,
5,1,4,7,8,2,3,6,1,2,25,1,1,1,,2,
7,6,3,5,4,2,1,8,1,1,29,2,2,4,Contractor working for the U.S. Government,2,
7,6,3,4,5,1,2,8,1,1,30,2,2,1,,2,
6,5,3,4,7,1,2,8,1,1,41,2,2,1,,3,
7,6,3,4,2,1,5,8,1,1,35,1,2,1,,2,
7,5,3,6,4,1,2,8,1,1,50,2,2,1,,4,
6,5,3,7,4,1,2,8,1,1,65,1,2,4,,3,
5,2,4,8,6,1,3,7,1,2,68,1,2,1,,2,
7,6,4,5,3,1,2,8,1,2,34,1,1,2,,3,
7,6,3,5,4,2,1,8,1,1,55,2,2,1,,3,
5,4,3,7,6,1,2,8,1,1,76,1,2,1,,4,
4,5,3,6,8,2,1,7,1,2,58,1,2,1,,1,
7,5,3,6,2,1,4,8,1,1,46,2,2,1,,2,
5,3,4,7,6,2,1,8,1,1,55,1,2,1,,3,
7,6,3,5,4,1,2,8,1,1,63,1,2,1,,2,
7,2,4,6,5,3,1,8,1,1,27,1,2,1,,2,
3,2,4,7,6,5,1,8,1,2,39,1,2,1,,2,
7,6,3,5,4,1,2,8,1,1,28,1,2,1,,3,
5,3,2,7,6,4,1,8,1,1,41,1,1,2,,2,
5,3,4,7,6,2,1,8,1,1,30,1,2,2,,4,
8,6,4,5,3,2,1,7,1,4,27,2,2,1,,3,
5,4,3,6,8,1,2,7,1,2,63,1,2,1,,1,
5,6,4,7,3,1,2,8,1,1,46,2,2,4,Corporate sector ,3,
7,6,2,4,3,1,5,8,1,1,50,2,2,1,,3,
5,3,4,6,7,2,1,8,1,9,,9,9,9,,9,
7,6,5,4,3,1,2,8,1,2,52,1,2,1,,3,
5,6,1,4,3,2,8,7,1,2,62,1,2,4,Psychology,2,
7,5,3,4,6,2,1,8,1,1,26,1,1,2,,1,
7,3,4,5,6,1,2,8,1,1,24,1,1,2,,2,
6,3,2,7,5,1,4,8,1,1,37,1,1,2,,3,
7,5,2,6,3,1,4,8,1,2,29,1,2,1,,1,
4,3,2,8,7,1,5,6,1,1,40,1,1,4,,1,
7,6,3,5,4,1,2,8,1,2,28,1,1,2,,1,
5,3,4,7,6,1,2,8,1,1,49,2,2,1,,3,
7,6,3,4,2,1,5,8,1,1,75,2,2,2,,4,
6,2,1,7,5,3,8,4,1,2,35,1,2,1,,2,
4,3,5,7,6,1,2,8,1,2,41,1,1,2,,3,
6,5,3,7,4,1,2,8,1,1,45,1,2,1,,3,
7,2,4,5,6,3,1,8,1,2,24,1,1,2,,2,
7,3,2,5,4,1,6,8,1,2,38,1,2,3,,2,
5,2,4,7,6,3,1,8,1,1,44,2,1,1,,2,
4,7,3,6,5,1,2,8,1,1,38,2,2,1,,4,
7,3,4,6,5,2,1,8,1,1,56,2,1,2,,4,
6,4,3,8,7,1,2,5,1,2,46,1,2,1,,2,
2,3,4,8,7,1,5,6,1,2,45,1,2,1,,4,
4,6,3,5,7,1,2,8,1,2,48,1,2,1,,3,
5,3,2,4,7,1,6,8,1,4,38,1,2,1,,2,
6,3,5,8,4,1,2,7,1,2,24,1,1,2,,3,
3,7,2,4,6,8,1,5,1,9,,9,9,9,,9,
4,3,6,8,7,2,1,5,1,1,49,1,2,1,,3,
5,3,1,7,6,2,4,8,1,1,58,2,2,1,,3,
7,6,3,4,5,1,2,8,1,1,36,1,2,1,,4,
6,2,4,7,8,3,1,5,1,1,31,1,1,2,,2,
5,2,4,6,7,8,1,3,1,1,74,2,2,4,Retired,3,
6,3,4,5,8,2,1,7,1,2,29,2,2,4,Corporate,3,
7,6,2,3,4,1,5,8,1,2,41,1,2,1,,3,
4,3,6,7,5,1,2,8,1,1,40,2,1,1,,5,
6,4,3,7,5,1,2,8,1,1,31,1,2,1,,3,
5,4,3,7,6,2,1,8,1,1,28,1,1,2,,2,
7,5,3,6,4,1,2,8,1,2,22,1,1,4,,1,
6,5,3,7,4,1,2,8,1,1,64,2,2,4,retired,3,
7,3,4,6,5,1,2,8,1,1,50,2,2,1,,4,
