StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,A0,A1,A1_DO,A2,A2_DO,A3,A4,A4_DO,A5a,A5a_4_TEXT,A5a_DO,A6a,B1,B2,B2_3_TEXT,B2_DO,B3,B3_5_TEXT,B3_DO,B4,B4_4_TEXT,B4d,B4r,B4i,B5,B5_13_TEXT,B6,B6_11_TEXT,A7a,C3_1,C3_2,C3_3,C3_4,C3_DO,C4_1,C4_2,C4_3,C4_4,C4_DO,C5_1,C5_2,C5_3,C5_4,C5_DO,C6_1,C6_2,C6_3,C6_4,C6_DO,D1,sfOpportunityName,sfSupportType,sfCaseId,rid,pid,SUPPLIER_ID,SUPNAME,UserAgent
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Text / Graphic introduction,Do you agree to participate?,Do you agree to participate? - Display Order,"For our research, careful attention to survey questions is critical! We thank you for your care.","For our research, careful attention to survey questions is critical! We thank you for your care. - Display Order","People are very busy these days and many do not have time to follow what goes on in the government. We are testing whether people read questions. To show that you've read this much, answer both ""extremely interested"" and ""very interested.""",Are you eligible to vote in the U.S.?,Are you eligible to vote in the U.S.? - Display Order,Which state are you living in? - Selected Choice,Which state are you living in? - Other - Text,Which state are you living in? - Display Order,You mentioned that you are living outside Alaska. Are you sure about your answer?,What is your age?,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your gender? - Display Order,What is your race and ethnicity? - Selected Choice,What is your race and ethnicity? - Other - Text,What is your race and ethnicity? - Display Order,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Other Party - Text",Would you call yourself a strong Democrat or a not very strong Democrat?,Would you call yourself a strong Republican or a not very strong Republican?,Do you think of yourself as closer to the Republican Party or to the Democratic Party?,What is your highest level of education? - Selected Choice,What is your highest level of education? - Other - Text,"How likely do you think you are to vote in the 2022 midterm election on November 8th, 2022? - Selected Choice","How likely do you think you are to vote in the 2022 midterm election on November 8th, 2022? - Other - Text","Okay! Let's make sure we are on the same page.

Which electoral system did we just talk about?","Great! Now, here is the question. Please read the question carefully and take your time to answer it.



Imagine that you are about to vote. 4 candidates are running for the U.S. House of Representatives election in Alaska.



If you are using a mobile device, you may want to rotate your device so that you can see all candidates.



Please tell us how you would vote by ranking up to four candidates according to your preference. Here, 1 represents ""the most preferred candidate."" Again, if you wish, you do not need to rank all four candidates. - Nick Begich  (Registered Republican)","Great! Now, here is the question. Please read the question carefully and take your time to answer it.



Imagine that you are about to vote. 4 candidates are running for the U.S. House of Representatives election in Alaska.



If you are using a mobile device, you may want to rotate your device so that you can see all candidates.



Please tell us how you would vote by ranking up to four candidates according to your preference. Here, 1 represents ""the most preferred candidate."" Again, if you wish, you do not need to rank all four candidates. - Chris Bye  (Registered Libertarian)","Great! Now, here is the question. Please read the question carefully and take your time to answer it.



Imagine that you are about to vote. 4 candidates are running for the U.S. House of Representatives election in Alaska.



If you are using a mobile device, you may want to rotate your device so that you can see all candidates.



Please tell us how you would vote by ranking up to four candidates according to your preference. Here, 1 represents ""the most preferred candidate."" Again, if you wish, you do not need to rank all four candidates. - Sarah Palin  (Registered Republican)","Great! Now, here is the question. Please read the question carefully and take your time to answer it.



Imagine that you are about to vote. 4 candidates are running for the U.S. House of Representatives election in Alaska.



If you are using a mobile device, you may want to rotate your device so that you can see all candidates.



Please tell us how you would vote by ranking up to four candidates according to your preference. Here, 1 represents ""the most preferred candidate."" Again, if you wish, you do not need to rank all four candidates. - Mary S. Peltola  (Registered Democrat)","Great! Now, here is the question. Please read the question carefully and take your time to answer it.



Imagine that you are about to vote. 4 candidates are running for the U.S. House of Representatives election in Alaska.



If you are using a mobile device, you may want to rotate your device so that you can see all candidates.



Please tell us how you would vote by ranking up to four candidates according to your preference. Here, 1 represents ""the most preferred candidate."" Again, if you wish, you do not need to rank all four candidates. - Display Order","Wonderful!



Now, suppose that you are required to rank all candidates in the U.S. House of Representatives election in Alaska.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Nick Begich (Registered Republican)","Wonderful!



Now, suppose that you are required to rank all candidates in the U.S. House of Representatives election in Alaska.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Chris Bye (Registered Libertarian)","Wonderful!



Now, suppose that you are required to rank all candidates in the U.S. House of Representatives election in Alaska.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Sarah Palin (Registered Republican)","Wonderful!



Now, suppose that you are required to rank all candidates in the U.S. House of Representatives election in Alaska.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Mary S. Peltola (Registered Democrat)","Wonderful!



Now, suppose that you are required to rank all candidates in the U.S. House of Representatives election in Alaska.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Display Order","Okay!



Now, let us ask you about another election. Please read the question carefully and take your time to answer it.



Imagine that you are about to vote. 4 candidates are running for the U.S. Senate election in Alaska.



Please tell us how you would vote by ranking up to four candidates according to your preference. Here, 1 represents ""the most preferred candidate."" Again, if you wish, you do not need to rank all four candidates. - Patricia R. Chesbro (Registered Democrat)","Okay!



Now, let us ask you about another election. Please read the question carefully and take your time to answer it.



Imagine that you are about to vote. 4 candidates are running for the U.S. Senate election in Alaska.



Please tell us how you would vote by ranking up to four candidates according to your preference. Here, 1 represents ""the most preferred candidate."" Again, if you wish, you do not need to rank all four candidates. - Buzz A. Kelley (Registered Republican)","Okay!



Now, let us ask you about another election. Please read the question carefully and take your time to answer it.



Imagine that you are about to vote. 4 candidates are running for the U.S. Senate election in Alaska.



Please tell us how you would vote by ranking up to four candidates according to your preference. Here, 1 represents ""the most preferred candidate."" Again, if you wish, you do not need to rank all four candidates. - Lisa Murkowski (Registered Republican)","Okay!



Now, let us ask you about another election. Please read the question carefully and take your time to answer it.



Imagine that you are about to vote. 4 candidates are running for the U.S. Senate election in Alaska.



Please tell us how you would vote by ranking up to four candidates according to your preference. Here, 1 represents ""the most preferred candidate."" Again, if you wish, you do not need to rank all four candidates. - Kelly C. Tshibaka (Registered Republican)","Okay!



Now, let us ask you about another election. Please read the question carefully and take your time to answer it.



Imagine that you are about to vote. 4 candidates are running for the U.S. Senate election in Alaska.



Please tell us how you would vote by ranking up to four candidates according to your preference. Here, 1 represents ""the most preferred candidate."" Again, if you wish, you do not need to rank all four candidates. - Display Order","Wonderful!



Now, suppose that you are required to rank all candidates in the U.S. Senate election in Alaska.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Patricia R. Chesbro (Registered Democrat)","Wonderful!



Now, suppose that you are required to rank all candidates in the U.S. Senate election in Alaska.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Buzz A. Kelley (Registered Republican)","Wonderful!



Now, suppose that you are required to rank all candidates in the U.S. Senate election in Alaska.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Lisa Murkowski (Registered Republican)","Wonderful!



Now, suppose that you are required to rank all candidates in the U.S. Senate election in Alaska.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Kelly C. Tshibaka (Registered Republican)","Wonderful!



Now, suppose that you are required to rank all candidates in the U.S. Senate election in Alaska.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Display Order","Thank you very much! Your answer has been recorded. Your inputs are important for us to study more about ranked-choice voting.



This research is not intended to support or oppose any political candidate or office. The research has no affiliation with any political candidate or campaign, and has received no financial support from any political candidate or campaign.



Before you exit, please tell us about how you feel about using ranked-choice voting in your area and why you feel that way.",sfOpportunityName,sfSupportType,sfCaseId,rid,pid,SUPPLIER_ID,SUPNAME,UserAgent
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID1""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_DO""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_DO""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_DO""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_4_TEXT""}","{""ImportId"":""QID29_DO""}","{""ImportId"":""QID49""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_3_TEXT""}","{""ImportId"":""QID20_DO""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_5_TEXT""}","{""ImportId"":""QID21_DO""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_4_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_13_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_11_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_DO""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_DO""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID35_DO""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_DO""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""sfOpportunityName""}","{""ImportId"":""sfSupportType""}","{""ImportId"":""sfCaseId""}","{""ImportId"":""rid""}","{""ImportId"":""pid""}","{""ImportId"":""SUPPLIER_ID""}","{""ImportId"":""SUPNAME""}","{""ImportId"":""UserAgent""}"
10/10/2022 13:35,10/10/2022 13:39,IP Address,65.74.67.85,100,236,TRUE,10/10/2022 13:39,R_1Qo4SHPzTK2Sz6T,,,,,55.372,-131.6832,anonymous,EN,0.899999976,,0,0,,Yes,Yes,No|Yes,I understand,I do not understand|I understand,"Extremely interested,Very interested",Yes,Yes|No,Alaska,,Arkansas|Arizona|Alaska|Alabama|Other,,61,Female,,Female|Male|Other|Prefer not to tell,White,,American Indian and Alaska Native|White|Asian and Pacific Islanders|Black or African American|Middle Easterners and North Africans|Latino or Hispanic|Other,Republican,,,Strong Republican,,Some college but no degree,,Very likely,,ranked-choice voting,2,,1,,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican),2,4,1,3,Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat),4,3,1,2,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat),4,2,1,3,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican),It's wrong!  Don't like it,,,,634473c3-c0b9-4db5-a617-9a77af186cfa,,1052,26899817,"Mozilla/5.0 (Linux; Android 10; V350U Build/QKQ1.200810.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.5195.136 Mobile Safari/537.36"
10/10/2022 13:36,10/10/2022 13:44,IP Address,174.253.193.22,100,474,TRUE,10/10/2022 13:44,R_2XpNSj2bu66LHiV,,,,,47.6034,-122.3414,anonymous,EN,1,,0,0,,Yes,Yes,Yes|No,I understand,I understand|I do not understand,"Extremely interested,Very interested",Yes,Yes|No,Alaska,,Alabama|Arkansas|Alaska|Arizona|Other,,27,Male,,Female|Male|Other|Prefer not to tell,White,,Middle Easterners and North Africans|Black or African American|Latino or Hispanic|American Indian and Alaska Native|White|Asian and Pacific Islanders|Other,Independent,,,,Closer to the Democratic Party,Some college but no degree,,Likely,,ranked-choice voting,,,1,,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican),3,2,1,4,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican),4,3,1,2,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican),4,2,3,1,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican),Choice voting rank system was pretty easy to use and I think that's the way we should do things.,,,,6344741c-040f-d9b0-b2cc-4478d1ad3dac,,1352,26899817,"Mozilla/5.0 (Linux; Android 12; T701DL Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile Safari/537.36"
10/10/2022 14:50,10/10/2022 14:54,IP Address,98.59.0.235,100,250,TRUE,10/10/2022 14:54,R_3L0cUNl47uLowwG,,,,,45.0702,-93.4556,anonymous,EN,,,0,0,,Yes,Yes,Yes|No,I understand,I understand|I do not understand,"Extremely interested,Very interested",Yes,No|Yes,Alaska,,Arizona|Arkansas|Alaska|Alabama|Other,,35,Male,,Male|Female|Other|Prefer not to tell,Black or African American,,Middle Easterners and North Africans|American Indian and Alaska Native|Asian and Pacific Islanders|White|Black or African American|Latino or Hispanic|Other,Democrat,,Strong Democrat,,,Master's degree,,Very likely,,proportional representation,2,1,4,3,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican),4,3,2,1,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican),1,2,3,4,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican),2,4,3,1,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican),It was worthwhile ,,,,6344854f-162f-f90b-ef80-a3b9084a8ff6,,1352,26899817,"Mozilla/5.0 (Linux; Android 12; TECNO CI6 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4664.104 Mobile Safari/537.36"
10/10/2022 14:36,10/10/2022 14:54,IP Address,162.211.26.245,100,1076,TRUE,10/10/2022 14:54,R_3Oeo1iUHTXWVYb6,,,,,60.6164,-151.2618,anonymous,EN,1,,0,0,,Yes,Yes,No|Yes,I understand,I understand|I do not understand,"Extremely interested,Very interested",Yes,Yes|No,Alaska,,Alaska|Arizona|Alabama|Arkansas|Other,,55,Female,,Male|Female|Other|Prefer not to tell,White,,Middle Easterners and North Africans|Latino or Hispanic|Black or African American|White|American Indian and Alaska Native|Asian and Pacific Islanders|Other,Republican,,,Strong Republican,,Some college but no degree,,Very likely,,ranked-choice voting,2,3,1,,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican),2,3,1,4,Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat),,2,3,1,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican),4,2,3,1,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican),"I am NOT OK W/RANK CHOICE VOTING!!! 
I feel that it DILUTES the VOTE!!!",,,,6344821e-5b9f-adb7-87c0-86a027a43e0e,,1052,26899817,"Mozilla/5.0 (Linux; Android 12; SM-A136U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36"
10/10/2022 14:54,10/10/2022 14:57,IP Address,174.21.115.30,100,181,TRUE,10/10/2022 14:57,R_eanO6rsh8KBmhZn,,,,,47.2476,-122.4643,anonymous,EN,0.899999976,,0,0,,Yes,Yes,No|Yes,I understand,I understand|I do not understand,"Extremely interested,Very interested",Yes,No|Yes,Alaska,,Arkansas|Arizona|Alaska|Alabama|Other,,45,Female,,Female|Male|Other|Prefer not to tell,White,,Middle Easterners and North Africans|Black or African American|Latino or Hispanic|Asian and Pacific Islanders|White|American Indian and Alaska Native|Other,Independent,,,,Closer to the Democratic Party,Bachelor's degree,,Very likely,,ranked-choice voting,,,2,1,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican),4,3,2,1,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian),1,,2,,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat),1,3,2,4,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican),I love it and feel it gives the majority middle a voice in electing representatives.,,,,6344866a-80b6-287a-d4f6-486b1ca16243,,1052,26899817,"Mozilla/5.0 (Linux; Android 13; Pixel 6 Build/TP1A.220905.004.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.5195.136 Mobile Safari/537.36"
10/10/2022 15:09,10/10/2022 15:14,IP Address,24.237.203.101,100,292,TRUE,10/10/2022 15:14,R_3JKvRGgeNjbanNF,,,,,61.0988,-149.8077,anonymous,EN,0.899999976,,0,0,,Yes,Yes,No|Yes,I understand,I do not understand|I understand,"Extremely interested,Very interested",Yes,Yes|No,Alaska,,Alaska|Alabama|Arizona|Arkansas|Other,,69,Male,,Male|Female|Other|Prefer not to tell,White,,White|Black or African American|American Indian and Alaska Native|Latino or Hispanic|Middle Easterners and North Africans|Asian and Pacific Islanders|Other,Independent,,,,Closer to the Republican Party,Bachelor's degree,,Very likely,,ranked-choice voting,1,3,2,,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian),1,3,2,4,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican),,,,1,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican),4,2,3,1,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican),So so - prefer old method,,,,634489d5-68b3-dd6e-c33a-0ecb185b7e0c,,1052,26899817,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1"
10/10/2022 15:08,10/10/2022 15:17,IP Address,69.178.82.134,100,542,TRUE,10/10/2022 15:17,R_xFsQpPpRDhBbBjX,,,,,64.8401,-147.7202,anonymous,EN,0.899999976,,0,0,,Yes,Yes,Yes|No,I understand,I understand|I do not understand,"Extremely interested,Very interested,Slightly interested",Yes,Yes|No,Alaska,,Arizona|Alaska|Arkansas|Alabama|Other,,68,Female,,Male|Female|Other|Prefer not to tell,White,,American Indian and Alaska Native|Latino or Hispanic|White|Asian and Pacific Islanders|Middle Easterners and North Africans|Black or African American|Other,Republican,,,Strong Republican,,High school diploma or equivalent,,I already voted using Vote-by-Mail,,ranked-choice voting,2,3,1,4,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat),2,3,1,4,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican),3,2,1,4,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican),3,2,1,4,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican),"It doesn't bother me, I have a memory problem and so I really have to pay attention. Good for the body.",,,,6344898c-6d36-e40d-f8a3-50b74fba34c3,,1451,26899817,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
10/10/2022 15:18,10/10/2022 15:23,IP Address,24.237.13.150,100,326,TRUE,10/10/2022 15:23,R_1C8xHpwBVbkjBxx,,,,,58.3628,-134.5294,anonymous,EN,0.899999976,,0,0,,Yes,Yes,No|Yes,I understand,I understand|I do not understand,Very interested,Yes,Yes|No,Alaska,,Arkansas|Arizona|Alabama|Alaska|Other,,25,Female,,Female|Male|Other|Prefer not to tell,White,,White|American Indian and Alaska Native|Black or African American|Asian and Pacific Islanders|Middle Easterners and North Africans|Latino or Hispanic|Other,Independent,,,,Closer to the Republican Party,Some college but no degree,,Very likely,,ranked-choice voting,2,4,1,3,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian),2,3,1,4,Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat),3,1,4,2,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat),3,1,4,2,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican),I’m not mad about it it’s worth a try ,,,,63448c07-bdff-ddb2-42b8-6271caadb346,,1156,26899817,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
