StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,A0,A1,A1_DO,A2,A2_DO,A3,A4,A4_DO,A5o,A5o_5_TEXT,A5o_DO,A6o,B1,B2,B2_3_TEXT,B2_DO,B3,B3_5_TEXT,B3_DO,B4,B4_4_TEXT,B4d,B4r,B4i,B5,B5_13_TEXT,B6,B6_11_TEXT,A7o,C1_1,C1_2,C1_3,C1_4,C1_5,C1_6,C1_7,C1_8,C1_17,C1_18,C1_DO,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_17,C2_18,C2_DO,D1,sfOpportunityName,sfSupportType,sfCaseId,rid,pid,SUPPLIER_ID,SUPNAME,UserAgent
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Text / Graphic introduction,Do you agree to participate?,Do you agree to participate? - Display Order,"For our research, careful attention to survey questions is critical! We thank you for your care.","For our research, careful attention to survey questions is critical! We thank you for your care. - Display Order","People are very busy these days and many do not have time to follow what goes on in the government. We are testing whether people read questions. To show that you've read this much, answer both ""extremely interested"" and ""very interested.""",Are you eligible to vote in the U.S.?,Are you eligible to vote in the U.S.? - Display Order,Which city are you living in? - Selected Choice,Which city are you living in? - Other - Text,Which city are you living in? - Display Order,You mentioned that you are living outside Oakland. Are you sure about your answer?,What is your age?,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your gender? - Display Order,What is your race and ethnicity? - Selected Choice,What is your race and ethnicity? - Other - Text,What is your race and ethnicity? - Display Order,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Other Party - Text",Would you call yourself a strong Democrat or a not very strong Democrat?,Would you call yourself a strong Republican or a not very strong Republican?,Do you think of yourself as closer to the Republican Party or to the Democratic Party?,What is your highest level of education? - Selected Choice,What is your highest level of education? - Other - Text,"How likely do you think you are to vote in the 2022 midterm election on November 8th, 2022? - Selected Choice","How likely do you think you are to vote in the 2022 midterm election on November 8th, 2022? - Other - Text","Okay! Let's make sure we are on the same page.

Which electoral system did we just talk about?",Please rank the following question types in order of usefulness. - Seneca Scott (Small Business Owner),Please rank the following question types in order of usefulness. - Gregory Hodge (Non-Profit Executive),Please rank the following question types in order of usefulness. - Loren Manuel Taylor (Councilmember/Small Businessperson),Please rank the following question types in order of usefulness. - Peter Y. Liu (Entertainer),Please rank the following question types in order of usefulness. - Sheng Thao (Oakland City Councilmember),Please rank the following question types in order of usefulness. - Ignacio De La Fuente (Business Solution Strategist),Please rank the following question types in order of usefulness. - Allyssa Victory Villanueva (Civil Rights Attorney),Please rank the following question types in order of usefulness. - John Reimann (Retired Carpenter),Please rank the following question types in order of usefulness. - Tyron C. Jordan (Legal Assistant),Please rank the following question types in order of usefulness. - Treva D. Reid (Councilmember/Senior Caregiver),Please rank the following question types in order of usefulness. - Display Order,"Wonderful!



Now, suppose that you are required to rank all candidates in the Oakland mayoral election.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Seneca Scott (Small Business Owner)","Wonderful!



Now, suppose that you are required to rank all candidates in the Oakland mayoral election.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Gregory Hodge (Non-Profit Executive)","Wonderful!



Now, suppose that you are required to rank all candidates in the Oakland mayoral election.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Loren Manuel Taylor (Councilmember/Small Businessperson)","Wonderful!



Now, suppose that you are required to rank all candidates in the Oakland mayoral election.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Peter Y. Liu (Entertainer)","Wonderful!



Now, suppose that you are required to rank all candidates in the Oakland mayoral election.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Sheng Thao (Oakland City Councilmember)","Wonderful!



Now, suppose that you are required to rank all candidates in the Oakland mayoral election.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Ignacio De La Fuente (Business Solution Strategist)","Wonderful!



Now, suppose that you are required to rank all candidates in the Oakland mayoral election.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Allyssa Victory Villanueva (Civil Rights Attorney)","Wonderful!



Now, suppose that you are required to rank all candidates in the Oakland mayoral election.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - John Reimann (Retired Carpenter)","Wonderful!



Now, suppose that you are required to rank all candidates in the Oakland mayoral election.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Tyron C. Jordan (Legal Assistant)","Wonderful!



Now, suppose that you are required to rank all candidates in the Oakland mayoral election.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Treva D. Reid (Councilmember/Senior Caregiver)","Wonderful!



Now, suppose that you are required to rank all candidates in the Oakland mayoral election.



Please rank all candidates according to your preference.
Notice that the order of candidates was shuffled. - Display Order","Thank you very much! Your answer has been recorded. Your inputs are important for us to study more about ranked-choice voting.



This research is not intended to support or oppose any political candidate or office. The research has no affiliation with any political candidate or campaign, and has received no financial support from any political candidate or campaign.



Before you exit, please tell us about how you feel about using ranked-choice voting in your area and why you feel that way.",sfOpportunityName,sfSupportType,sfCaseId,rid,pid,SUPPLIER_ID,SUPNAME,UserAgent
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID1""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_DO""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_DO""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_DO""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_5_TEXT""}","{""ImportId"":""QID46_DO""}","{""ImportId"":""QID50""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_3_TEXT""}","{""ImportId"":""QID20_DO""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_5_TEXT""}","{""ImportId"":""QID21_DO""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_4_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_13_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_11_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID10_DO""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_5""}","{""ImportId"":""QID28_6""}","{""ImportId"":""QID28_7""}","{""ImportId"":""QID28_8""}","{""ImportId"":""QID28_9""}","{""ImportId"":""QID28_10""}","{""ImportId"":""QID28_DO""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""sfOpportunityName""}","{""ImportId"":""sfSupportType""}","{""ImportId"":""sfCaseId""}","{""ImportId"":""rid""}","{""ImportId"":""pid""}","{""ImportId"":""SUPPLIER_ID""}","{""ImportId"":""SUPNAME""}","{""ImportId"":""UserAgent""}"
2022-10-10 13:23:16,2022-10-10 13:30:12,IP Address,174.62.112.137,100,416,True,2022-10-10 13:30:13,R_3k1dSCg6jMimGgZ,,,,,37.8994,-122.1144,anonymous,EN,1,,0,0,,Yes,Yes,No|Yes,I understand,I understand|I do not understand,"Extremely interested,Very interested",Yes,Yes|No,Oakland,,Omaha|Ontario|Orland|Oakland|Other,,33,Female,,Female|Male|Other|Prefer not to tell,Asian and Pacific Islanders,,Middle Easterners and North Africans|Black or African American|Asian and Pacific Islanders|American Indian and Alaska Native|Latino or Hispanic|White|Other,Independent,,,,Closer to the Democratic Party,Bachelor's degree,,Likely,,ranked-choice voting,2,,,1,3,,,,,,Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive),3,9,4,1,2,7,5,6,8,10,Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Gregory Hodge (Non-Profit Executive)|Sheng Thao (Oakland City Councilmember)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter),it can be hard to decide without a chart format,,,,6344711f-7822-71fa-0375-3819233e6e04,,1682,26904257,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
2022-10-10 13:09:24,2022-10-10 13:31:37,IP Address,98.51.4.118,100,1333,True,2022-10-10 13:31:37,R_3fl1ERFiEW4cNL6,,,,,37.8084,-122.2846,anonymous,EN,1,,0,0,,Yes,Yes,No|Yes,I understand,I understand|I do not understand,"Extremely interested,Very interested",Yes,No|Yes,Oakland,,Ontario|Orland|Oakland|Omaha|Other,,32,Female,,Female|Male|Other|Prefer not to tell,White,,Asian and Pacific Islanders|Black or African American|Middle Easterners and North Africans|White|Latino or Hispanic|American Indian and Alaska Native|Other,Democrat,,Strong Democrat,,,Bachelor's degree,,Very likely,,proportional representation,,,3,,1,,2,,,,Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Seneca Scott (Small Business Owner),7,4,3,5,1,10,2,9,8,6,Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)|Ignacio De La Fuente (Business Solution Strategist)|Allyssa Victory Villanueva (Civil Rights Attorney)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember),Oh I thought it was a neat way to vote. It was different and I liked it because it was different.,,,,63446ddd-ae52-2f17-30a7-673c21cd201c,,1468,26904257,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
2022-10-10 13:21:15,2022-10-10 13:31:45,IP Address,172.58.32.195,100,630,True,2022-10-10 13:31:45,R_DMFi1acbmlwwvf3,,,,,37.6787,-122.127,anonymous,EN,1,,0,0,,Yes,Yes,No|Yes,I understand,I do not understand|I understand,"Extremely interested,Very interested",Yes,No|Yes,Oakland,,Omaha|Oakland|Orland|Ontario|Other,,66,Male,,Female|Male|Other|Prefer not to tell,Black or African American,,Asian and Pacific Islanders|White|Latino or Hispanic|Middle Easterners and North Africans|Black or African American|American Indian and Alaska Native|Other,Democrat,,Strong Democrat,,,Some college but no degree,,Very likely,,ranked-choice voting,3,,2,,1,,,,,,Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|Treva D. Reid (Councilmember/Senior Caregiver),3,6,2,10,1,7,5,9,8,4,Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)|Seneca Scott (Small Business Owner)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|Treva D. Reid (Councilmember/Senior Caregiver),"I didn't like it when we started this year's ago, You really don't get a Chance To Pick the Best Candidate, it's kinda like putting names in a Hat then picking, it's more of a popularity contest Versus what the Candidates Really Have To Offer.",,,,634470a2-6251-d273-4f2b-5ea919de0736,,1052,26904257,"Mozilla/5.0 (Linux; Android 10; 5007Z Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.5195.136 Mobile Safari/537.36"
2022-10-10 13:41:09,2022-10-10 13:50:39,IP Address,142.254.86.142,100,569,True,2022-10-10 13:50:39,R_25SjkvZps8KGEfv,,,,,37.8487,-122.2209,anonymous,EN,1,,0,0,,Yes,Yes,Yes|No,I understand,I understand|I do not understand,"Extremely interested,Very interested",Yes,Yes|No,Oakland,,Oakland|Omaha|Orland|Ontario|Other,,74,Female,,Male|Female|Other|Prefer not to tell,Asian and Pacific Islanders,,White|Asian and Pacific Islanders|American Indian and Alaska Native|Black or African American|Middle Easterners and North Africans|Latino or Hispanic|Other,Democrat,,Not very strong Democrat,,,Bachelor's degree,,Very likely,,ranked-choice voting,,2,,,1,3,,,,,Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember),9,2,5,10,1,3,4,6,7,8,Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Sheng Thao (Oakland City Councilmember)|Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)|John Reimann (Retired Carpenter)|Tyron C. Jordan (Legal Assistant)|Ignacio De La Fuente (Business Solution Strategist),I think ranked choice voting gives voters a chance to vote for the candidates they prefer in a non-all-or-nothing environment. Often the two party type system overshadows the merits of candidates who are as qualified for office as the others in the running.,,,,63447519-4e09-e570-2942-3915f17abcd6,,861,26904257,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
2022-10-10 13:51:02,2022-10-10 14:01:11,IP Address,98.45.117.208,100,609,True,2022-10-10 14:01:12,R_pPLPRf6uaGDxDdn,,,,,37.7428,-122.1745,anonymous,EN,1,,0,0,,Yes,Yes,Yes|No,I understand,I do not understand|I understand,"Extremely interested,Very interested",Yes,No|Yes,Oakland,,Orland|Omaha|Ontario|Oakland|Other,,42,Female,,Female|Male|Other|Prefer not to tell,Black or African American,,White|Asian and Pacific Islanders|Middle Easterners and North Africans|American Indian and Alaska Native|Latino or Hispanic|Black or African American|Other,Republican,,,Strong Republican,,Some college but no degree,,Very likely,,ranked-choice voting,,2,,,,,,,1,3,Ignacio De La Fuente (Business Solution Strategist)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer),4,2,8,9,5,10,7,6,1,3,Peter Y. Liu (Entertainer)|Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Tyron C. Jordan (Legal Assistant)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember),"I like the idea of ranked choice voting because it's easy and a sure way to make your voice heard. Thank you. ",,,,634477a0-9b2f-ea64-af5c-127d31d8db82,,861,26904257,"Mozilla/5.0 (Linux; Android 12; SM-A515U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36"
2022-10-10 14:02:22,2022-10-10 14:05:37,IP Address,99.55.165.192,100,195,True,2022-10-10 14:05:37,R_1ApDJVjavcJA9yN,,,,,37.8043,-122.2156,anonymous,EN,0.8999999761581421,,0,0,,Yes,Yes,No|Yes,I understand,I understand|I do not understand,"Extremely interested,Very interested",Yes,Yes|No,Oakland,,Omaha|Ontario|Orland|Oakland|Other,,67,Female,,Female|Male|Other|Prefer not to tell,Asian and Pacific Islanders,,Black or African American|American Indian and Alaska Native|Asian and Pacific Islanders|White|Latino or Hispanic|Middle Easterners and North Africans|Other,Democrat,,Strong Democrat,,,Professional school degree,,Very likely,,ranked-choice voting,,,1,,,,,,,,Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember)|Seneca Scott (Small Business Owner)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist),3,8,1,10,7,2,5,9,6,4,Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Ignacio De La Fuente (Business Solution Strategist)|Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer),I don't like it because I just want to vote once and some of the candidates I don't want to vote for at all,,,,63447a3c-2991-82c1-935c-30ac42c6c1de,,1299,26904257,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:105.0) Gecko/20100101 Firefox/105.0
2022-10-10 13:59:06,2022-10-10 14:06:47,IP Address,172.58.32.251,100,460,True,2022-10-10 14:06:47,R_8wEiar4oSR7aOE9,,,,,37.7794,-122.2178,anonymous,EN,0.8999999761581421,,0,0,,Yes,Yes,No|Yes,I understand,I do not understand|I understand,"Extremely interested,Very interested",Yes,No|Yes,Oakland,,Ontario|Omaha|Oakland|Orland|Other,,24,Female,,Female|Male|Other|Prefer not to tell,Black or African American,,Latino or Hispanic|Asian and Pacific Islanders|Black or African American|White|Middle Easterners and North Africans|American Indian and Alaska Native|Other,Democrat,,Not very strong Democrat,,,Bachelor's degree,,Unlikely,,proportional representation,3,,,,,,1,,2,,Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Ignacio De La Fuente (Business Solution Strategist)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Sheng Thao (Oakland City Councilmember)|Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|John Reimann (Retired Carpenter),3,6,7,8,5,9,1,10,2,4,John Reimann (Retired Carpenter)|Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive),"I think it’s a great idea it gives the people a voice ",,,,63447975-6f3d-19a3-20f9-38c4d50c21d6,,708,26904257,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
2022-10-10 14:18:08,2022-10-10 14:24:00,IP Address,73.252.238.38,100,351,True,2022-10-10 14:24:00,R_2pLbwQpgKj6mjEW,,,,,37.7906,-122.2412,anonymous,EN,0.8999999761581421,,0,0,,Yes,Yes,No|Yes,I understand,I understand|I do not understand,Very interested,Yes,No|Yes,Oakland,,Omaha|Ontario|Oakland|Orland|Other,,46,Male,,Female|Male|Other|Prefer not to tell,Latino or Hispanic,,Middle Easterners and North Africans|Asian and Pacific Islanders|Latino or Hispanic|Black or African American|White|American Indian and Alaska Native|Other,Democrat,,Not very strong Democrat,,,Some college but no degree,,Very likely,,ranked-choice voting,,,,,3,2,1,,,,Treva D. Reid (Councilmember/Senior Caregiver)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner),8,10,6,7,2,1,3,4,9,5,Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)|Tyron C. Jordan (Legal Assistant),"Easier to vote and more trustful ",,,,63447dc6-8c4c-6c34-3766-704d41d9a5e1,,708,26904257,"Mozilla/5.0 (Linux; Android 12; SM-G981U Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.5195.136 Mobile Safari/537.36 TapResearch Multi Window"
