unit,wellbeing,achievement,inclusiveness,ranking,treat,informationtreatment,discretiontreatment,group1
1,1,NA,NA,1--,3,0,0,0
2,1,NA,NA,1--,3,0,0,1
3,1,NA,NA,1--,3,1,0,1
4,1,NA,NA,1--,3,1,0,0
5,1,NA,NA,1--,1,1,1,1
6,1,NA,NA,1--,1,1,1,1
7,1,NA,NA,1--,3,1,0,0
8,1,NA,NA,1--,3,0,0,1
9,1,NA,NA,1--,3,0,0,0
10,NA,NA,NA,---,1,0,1,1
11,NA,NA,NA,---,2,0,1,0
12,1,NA,NA,1--,3,0,0,0
13,1,NA,NA,1--,3,0,0,1
14,1,NA,NA,1--,3,1,0,1
15,1,NA,NA,1--,3,0,0,1
16,1,NA,NA,1--,0,1,1,0
17,1,NA,NA,1--,2,0,1,0
18,NA,NA,NA,---,2,1,1,0
19,1,NA,NA,1--,3,1,0,1
20,1,NA,NA,1--,3,1,0,0
21,NA,NA,NA,---,1,0,1,1
22,1,NA,NA,1--,3,0,0,1
23,1,NA,NA,1--,3,0,0,0
24,NA,NA,NA,---,3,1,0,0
25,1,NA,NA,1--,2,0,1,0
26,1,NA,NA,1--,3,0,0,0
27,1,NA,NA,1--,3,1,0,0
28,NA,NA,NA,---,2,1,1,0
29,1,NA,NA,1--,1,1,1,1
30,1,NA,NA,1--,3,0,0,0
31,1,NA,NA,1--,2,1,1,0
32,NA,NA,NA,---,2,1,1,0
33,1,NA,NA,1--,1,1,1,1
34,1,NA,NA,1--,3,0,0,0
35,1,NA,NA,1--,3,1,0,0
36,1,NA,NA,1--,2,0,1,0
37,1,NA,NA,1--,3,0,0,0
38,1,NA,NA,1--,3,0,0,0
39,NA,NA,NA,---,3,1,0,0
40,1,NA,NA,1--,1,1,1,1
41,1,NA,NA,1--,1,0,1,1
42,1,NA,NA,1--,0,0,1,0
43,NA,NA,NA,---,3,0,0,1
44,1,NA,NA,1--,1,0,1,1
45,1,NA,NA,1--,3,0,0,0
46,1,NA,NA,1--,3,0,0,1
47,1,NA,NA,1--,0,0,1,0
48,NA,NA,NA,---,0,1,1,0
49,1,NA,NA,1--,1,1,1,1
50,1,NA,NA,1--,1,0,1,1
51,1,NA,NA,1--,3,0,0,1
52,NA,NA,NA,---,3,1,0,1
53,1,NA,NA,1--,3,0,0,1
54,1,NA,NA,1--,3,0,0,1
55,1,NA,NA,1--,2,1,1,0
56,1,NA,NA,1--,0,0,1,0
57,1,NA,NA,1--,1,1,1,1
58,1,NA,NA,1--,3,0,0,0
59,1,NA,NA,1--,2,0,1,0
60,1,NA,NA,1--,2,1,1,0
61,1,NA,NA,1--,0,1,1,0
62,1,NA,NA,1--,1,0,1,1
63,1,NA,NA,1--,3,1,0,1
64,1,NA,NA,1--,3,1,0,1
65,1,NA,NA,1--,0,0,1,0
66,1,NA,NA,1--,2,1,1,0
67,1,NA,NA,1--,3,1,0,1
68,1,NA,NA,1--,3,0,0,1
69,1,NA,NA,1--,3,0,0,1
70,1,NA,NA,1--,3,0,0,1
71,1,NA,NA,1--,2,1,1,0
72,1,NA,NA,1--,2,0,1,0
73,1,NA,NA,1--,3,0,0,1
74,NA,NA,NA,---,1,1,1,1
75,1,NA,NA,1--,2,0,1,0
76,1,NA,NA,1--,3,1,0,1
77,1,NA,NA,1--,3,0,0,0
78,1,NA,NA,1--,3,0,0,0
79,1,NA,NA,1--,0,0,1,0
80,1,NA,NA,1--,3,1,0,0
81,1,NA,NA,1--,3,1,0,0
82,1,NA,NA,1--,3,0,0,1
83,1,NA,NA,1--,1,1,1,1
84,NA,NA,NA,---,2,1,1,0
85,NA,NA,NA,---,3,1,0,0
86,1,NA,NA,1--,3,1,0,1
87,1,NA,NA,1--,3,0,0,1
88,1,NA,NA,1--,3,0,0,0
89,1,NA,NA,1--,3,1,0,1
