unit,begich,bye,palin,peltola,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
1,2,4,1,3,2413,0,61,Female,White,Republican,Some college but no degree,Very likely,Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
2,3,2,1,4,3214,0,27,Male,White,Independent,Some college but no degree,Likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
3,4,3,2,1,4321,0,35,Male,Black or African American,Democrat,Master's degree,Very likely,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)
4,2,3,1,4,2314,0,55,Female,White,Republican,Some college but no degree,Very likely,Sarah Palin (Registered Republican)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)
5,4,3,2,1,4321,0,45,Female,White,Independent,Bachelor's degree,Very likely,Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)
6,1,3,2,4,1324,0,69,Male,White,Independent,Bachelor's degree,Very likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
7,2,3,1,4,2314,0,68,Female,White,Republican,High school diploma or equivalent,I already voted using Vote-by-Mail,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
8,2,3,1,4,2314,0,25,Female,White,Independent,Some college but no degree,Very likely,Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)
9,4,2,3,1,4231,0,29,Female,White,Independent,Bachelor's degree,Likely,Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)
10,1,3,4,2,1342,0,36,Female,White,Republican,High school diploma or equivalent,Likely,Chris Bye (Registered Libertarian)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)|Mary S. Peltola (Registered Democrat)
11,1,3,2,4,1324,0,27,Female,American Indian and Alaska Native,Independent,High school diploma or equivalent,Likely,Chris Bye (Registered Libertarian)|Mary S. Peltola (Registered Democrat)|Sarah Palin (Registered Republican)|Nick Begich (Registered Republican)
12,2,4,1,3,2413,0,32,Female,White,Democrat,Associate degree,Very likely,Mary S. Peltola (Registered Democrat)|Chris Bye (Registered Libertarian)|Nick Begich (Registered Republican)|Sarah Palin (Registered Republican)
