unit,begich,bye,palin,peltola,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
1,2,NA,1,NA,2-1-,0,61,Female,White,Republican,Some college but no degree,Very likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
2,NA,NA,1,NA,--1-,0,27,Male,White,Independent,Some college but no degree,Likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
3,2,1,4,3,2143,0,35,Male,Black or African American,Democrat,Master's degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
4,2,3,1,NA,231-,0,55,Female,White,Republican,Some college but no degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
5,NA,NA,2,1,--21,0,45,Female,White,Independent,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
6,1,3,2,NA,132-,0,69,Male,White,Independent,Bachelor's degree,Very likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
7,2,3,1,4,2314,0,68,Female,White,Republican,High school diploma or equivalent,I already voted using Vote-by-Mail,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
8,2,4,1,3,2413,0,25,Female,White,Independent,Some college but no degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
9,NA,NA,NA,1,---1,0,29,Female,White,Independent,Bachelor's degree,Likely,Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
10,1,2,NA,3,12-3,0,36,Female,White,Republican,High school diploma or equivalent,Likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
11,1,3,2,NA,132-,0,27,Female,American Indian and Alaska Native,Independent,High school diploma or equivalent,Likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
12,2,4,1,3,2413,0,32,Female,White,Democrat,Associate degree,Very likely,Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)
13,NA,NA,1,NA,--1-,0,33,Female,White,Other Party,Some college but no degree,Likely,Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)|Chris Bye  (Registered Libertarian)
14,3,2,4,1,3241,0,36,Female,White,Democrat,High school diploma or equivalent,Likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
15,2,NA,1,NA,2-1-,0,49,Male,White,Republican,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
16,1,NA,2,NA,1-2-,0,57,Female,White,Independent,Bachelor's degree,Very likely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
17,3,1,4,2,3142,0,24,Other,White,Independent,High school diploma or equivalent,Unlikely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
18,4,2,3,1,4231,0,30,Male,Black or African American,Democrat,High school diploma or equivalent,Very likely,Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Chris Bye  (Registered Libertarian)|Sarah Palin  (Registered Republican)
19,2,NA,1,NA,2-1-,0,54,Male,White,Republican,Associate degree,Very likely,Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)
20,2,NA,1,NA,2-1-,0,51,Female,White,Republican,Master's degree,Very likely,Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Nick Begich  (Registered Republican)
21,3,2,1,4,3214,0,70,Male,White,Independent,Associate degree,Very unlikely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Mary S. Peltola  (Registered Democrat)
22,2,1,4,3,2143,0,29,Male,American Indian and Alaska Native,Independent,High school diploma or equivalent,Unlikely,Nick Begich  (Registered Republican)|Sarah Palin  (Registered Republican)|Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)
23,3,4,1,2,3412,0,18,Male,White,Independent,Bachelor's degree,Likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
24,3,1,2,4,3124,0,37,Male,White,Democrat,Bachelor's degree,Very likely,Chris Bye  (Registered Libertarian)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)|Nick Begich  (Registered Republican)
25,2,1,4,3,2143,0,80,Female,White,Independent,Some college but no degree,Very likely,Chris Bye  (Registered Libertarian)|Nick Begich  (Registered Republican)|Mary S. Peltola  (Registered Democrat)|Sarah Palin  (Registered Republican)
