unit,scott,hodge,taylor,liu,thao,delafuente,villanueva,reimann,jordan,reid,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
1,3,9,4,1,2,7,5,6,8,10,NA,0,33,Female,Asian and Pacific Islanders,Independent,Bachelor's degree,Likely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Gregory Hodge (Non-Profit Executive)|Sheng Thao (Oakland City Councilmember)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)
2,7,4,3,5,1,10,2,9,8,6,NA,0,32,Female,White,Democrat,Bachelor's degree,Very likely,Seneca Scott (Small Business Owner)|Tyron C. Jordan (Legal Assistant)|Ignacio De La Fuente (Business Solution Strategist)|Allyssa Victory Villanueva (Civil Rights Attorney)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember)
3,3,6,2,10,1,7,5,9,8,4,NA,0,66,Male,Black or African American,Democrat,Some college but no degree,Very likely,Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)|Seneca Scott (Small Business Owner)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|Treva D. Reid (Councilmember/Senior Caregiver)
4,9,2,5,10,1,3,4,6,7,8,NA,0,74,Female,Asian and Pacific Islanders,Democrat,Bachelor's degree,Very likely,Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Sheng Thao (Oakland City Councilmember)|Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)|John Reimann (Retired Carpenter)|Tyron C. Jordan (Legal Assistant)|Ignacio De La Fuente (Business Solution Strategist)
5,4,2,8,9,5,10,7,6,1,3,NA,0,42,Female,Black or African American,Republican,Some college but no degree,Very likely,Peter Y. Liu (Entertainer)|Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|Tyron C. Jordan (Legal Assistant)|Ignacio De La Fuente (Business Solution Strategist)|Seneca Scott (Small Business Owner)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)
6,3,8,1,10,7,2,5,9,6,4,NA,0,67,Female,Asian and Pacific Islanders,Democrat,Professional school degree,Very likely,Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Ignacio De La Fuente (Business Solution Strategist)|Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)
7,3,6,7,8,5,9,1,10,2,4,NA,0,24,Female,Black or African American,Democrat,Bachelor's degree,Unlikely,John Reimann (Retired Carpenter)|Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)
8,8,10,6,7,2,1,3,4,9,5,NA,0,46,Male,Latino or Hispanic,Democrat,Some college but no degree,Very likely,Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Sheng Thao (Oakland City Councilmember)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)|Tyron C. Jordan (Legal Assistant)
9,4,2,1,10,5,3,8,7,9,6,NA,0,52,Male,Black or African American,Democrat,Bachelor's degree,Very likely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Ignacio De La Fuente (Business Solution Strategist)|Tyron C. Jordan (Legal Assistant)|Gregory Hodge (Non-Profit Executive)|Sheng Thao (Oakland City Councilmember)|Seneca Scott (Small Business Owner)|Peter Y. Liu (Entertainer)|Allyssa Victory Villanueva (Civil Rights Attorney)|Treva D. Reid (Councilmember/Senior Caregiver)|John Reimann (Retired Carpenter)
10,3,4,6,2,10,1,7,9,5,8,NA,0,26,Male,Latino or Hispanic,Democrat,Bachelor's degree,Very likely,Seneca Scott (Small Business Owner)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)
