unit,scott,hodge,taylor,liu,thao,delafuente,villanueva,reimann,jordan,reid,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
1,2,NA,NA,1,3,NA,NA,NA,NA,NA,2--13-----,0,33,Female,Asian and Pacific Islanders,Independent,Bachelor's degree,Likely,Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Treva D. Reid (Councilmember/Senior Caregiver)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)
2,NA,NA,3,NA,1,NA,2,NA,NA,NA,--3-1-2---,0,32,Female,White,Democrat,Bachelor's degree,Very likely,Gregory Hodge (Non-Profit Executive)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Treva D. Reid (Councilmember/Senior Caregiver)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Seneca Scott (Small Business Owner)
3,3,NA,2,NA,1,NA,NA,NA,NA,NA,3-2-1-----,0,66,Male,Black or African American,Democrat,Some college but no degree,Very likely,Allyssa Victory Villanueva (Civil Rights Attorney)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Seneca Scott (Small Business Owner)|Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|Peter Y. Liu (Entertainer)|Treva D. Reid (Councilmember/Senior Caregiver)
4,NA,2,NA,NA,1,3,NA,NA,NA,NA,-2--13----,0,74,Female,Asian and Pacific Islanders,Democrat,Bachelor's degree,Very likely,Tyron C. Jordan (Legal Assistant)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Peter Y. Liu (Entertainer)|Gregory Hodge (Non-Profit Executive)|Ignacio De La Fuente (Business Solution Strategist)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)
5,NA,2,NA,NA,NA,NA,NA,NA,1,3,-2------13,0,42,Female,Black or African American,Republican,Some college but no degree,Very likely,Ignacio De La Fuente (Business Solution Strategist)|Allyssa Victory Villanueva (Civil Rights Attorney)|Sheng Thao (Oakland City Councilmember)|Tyron C. Jordan (Legal Assistant)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Seneca Scott (Small Business Owner)|Treva D. Reid (Councilmember/Senior Caregiver)|Peter Y. Liu (Entertainer)
6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,--1-------,0,67,Female,Asian and Pacific Islanders,Democrat,Professional school degree,Very likely,Treva D. Reid (Councilmember/Senior Caregiver)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)|John Reimann (Retired Carpenter)|Gregory Hodge (Non-Profit Executive)|Peter Y. Liu (Entertainer)|Sheng Thao (Oakland City Councilmember)|Seneca Scott (Small Business Owner)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)
7,3,NA,NA,NA,NA,NA,1,NA,2,NA,3-----1-2-,0,24,Female,Black or African American,Democrat,Bachelor's degree,Unlikely,Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)|Ignacio De La Fuente (Business Solution Strategist)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Sheng Thao (Oakland City Councilmember)|Treva D. Reid (Councilmember/Senior Caregiver)|Gregory Hodge (Non-Profit Executive)|Allyssa Victory Villanueva (Civil Rights Attorney)|John Reimann (Retired Carpenter)
8,NA,NA,NA,NA,3,2,1,NA,NA,NA,----321---,0,46,Male,Latino or Hispanic,Democrat,Some college but no degree,Very likely,Treva D. Reid (Councilmember/Senior Caregiver)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)|John Reimann (Retired Carpenter)|Allyssa Victory Villanueva (Civil Rights Attorney)|Ignacio De La Fuente (Business Solution Strategist)|Loren Manuel Taylor (Councilmember/Small Businessperson)|Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Seneca Scott (Small Business Owner)
9,NA,2,1,NA,NA,3,NA,NA,NA,NA,-21--3----,0,52,Male,Black or African American,Democrat,Bachelor's degree,Very likely,Loren Manuel Taylor (Councilmember/Small Businessperson)|Allyssa Victory Villanueva (Civil Rights Attorney)|Gregory Hodge (Non-Profit Executive)|Peter Y. Liu (Entertainer)|Ignacio De La Fuente (Business Solution Strategist)|Tyron C. Jordan (Legal Assistant)|Sheng Thao (Oakland City Councilmember)|John Reimann (Retired Carpenter)|Treva D. Reid (Councilmember/Senior Caregiver)|Seneca Scott (Small Business Owner)
10,NA,NA,NA,NA,NA,3,1,2,NA,NA,-----312--,0,26,Male,Latino or Hispanic,Democrat,Bachelor's degree,Very likely,Tyron C. Jordan (Legal Assistant)|Peter Y. Liu (Entertainer)|Loren Manuel Taylor (Councilmember/Small Businessperson)|John Reimann (Retired Carpenter)|Treva D. Reid (Councilmember/Senior Caregiver)|Ignacio De La Fuente (Business Solution Strategist)|Allyssa Victory Villanueva (Civil Rights Attorney)|Seneca Scott (Small Business Owner)|Sheng Thao (Oakland City Councilmember)|Gregory Hodge (Non-Profit Executive)
