unit,chesbro,kelley,murkowski,tshibaka,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
1,4,3,1,2,4312,0,61,Female,White,Republican,Some college but no degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
2,4,3,1,2,4312,0,27,Male,White,Independent,Some college but no degree,Likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
3,1,2,3,4,1234,0,35,Male,Black or African American,Democrat,Master's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
4,NA,2,3,1,-231,0,55,Female,White,Republican,Some college but no degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
5,1,NA,2,NA,1-2-,0,45,Female,White,Independent,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
6,NA,NA,NA,1,---1,0,69,Male,White,Independent,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
7,3,2,1,4,3214,0,68,Female,White,Republican,High school diploma or equivalent,I already voted using Vote-by-Mail,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
8,3,1,4,2,3142,0,25,Female,White,Independent,Some college but no degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
9,1,NA,NA,NA,1---,0,29,Female,White,Independent,Bachelor's degree,Likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
10,4,2,3,1,4231,0,36,Female,White,Republican,High school diploma or equivalent,Likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
