unit,partisan,religious,gender,racial,ranking,treat,anc_federal,anc_state,anc_municipal,anc_school,anc_correct_identity,s_weight,age,birthyr,gender_resp,female,race,race4,hispanic,educ,educ4,pid3,pid7,ideo7,religpew,faminc_new,region,inputstate,item_order
1,1,4,2,3,1423,0,1,2,3,4,1,0.843999904215945,32,1990,Woman,1,White,White,No,Post-grad,Postgrad,Democrat,Strong Democrat,Extremely liberal,Nothing in particular,"$250,000 - $349,999",Northeast,New York,"randomize(7, [1,0,3,2])"
2,1,4,2,3,1423,0,1,2,3,4,1,0.886160292998585,47,1975,Man,0,White,White,No,Post-grad,Postgrad,Democrat,Strong Democrat,Liberal,Atheist,"$120,000 - $149,999",South,Texas,"randomize(2, [0,2,1,3])"
3,3,4,1,2,3412,0,1,2,3,4,1,2.96442224163824,71,1951,Man,0,White,White,No,Post-grad,Postgrad,Independent,Lean Republican,Moderate,Agnostic,"$100,000 - $119,999",West,Colorado,"randomize(1, [1,0,2,3])"
4,1,4,2,3,1423,0,1,2,3,4,1,0.986669652310045,47,1976,Man,0,Other,Other,No,4-year,College grad,Democrat,Strong Democrat,Liberal,Something else,"$50,000 - $59,999",South,Texas,"randomize(17, [2,3,1,0])"
5,4,1,3,2,4132,0,1,3,2,4,0,1.75731362152836,24,1998,Man,0,Black,Black,No,High school graduate,HS or less,Independent,Independent,Liberal,Nothing in particular,"Less than $10,000",South,North Carolina,"randomize(1, [1,0,2,3])"
6,3,1,2,4,3124,0,1,2,3,4,1,0.469224116680291,56,1966,Man,0,White,White,No,Some college,Some college,Independent,Independent,Moderate,Roman Catholic,"$30,000 - $39,999",South,Alabama,"randomize(23, [3,0,1,2])"
7,1,2,3,4,1234,0,1,2,3,4,1,0.680812086586002,73,1950,Man,0,White,White,No,4-year,College grad,Independent,Independent,Moderate,Jewish,"$150,000 - $199,999",South,Florida,"randomize(5, [2,0,1,3])"
8,4,3,1,2,4312,0,4,3,2,1,0,0.376223646082632,65,1958,Woman,1,White,White,No,2-year,Some college,Democrat,Not very strong Democrat,Moderate,Protestant,"$80,000 - $99,999",South,Kentucky,"randomize(0, [0,1,2,3])"
9,3,1,2,4,3124,0,1,4,3,2,0,0.659599282785814,23,2000,Man,0,Two or more races,Other,No,Some college,Some college,Independent,Independent,Conservative,Something else,"$20,000 - $29,999",South,Texas,"randomize(19, [3,0,2,1])"
10,4,3,2,1,4321,0,1,2,3,4,1,0.356875315881445,66,1956,Man,0,White,White,No,4-year,College grad,Independent,Independent,Conservative,Protestant,"$120,000 - $149,999",West,California,"randomize(12, [0,3,2,1])"
11,3,4,1,2,3412,0,1,2,3,4,1,0.353443330476544,80,1943,Man,0,White,White,No,Post-grad,Postgrad,Independent,Lean Democrat,Conservative,Nothing in particular,Prefer not to say,South,Virginia,"randomize(17, [2,3,1,0])"
12,3,4,1,2,3412,0,1,2,3,4,1,0.145267620734668,33,1990,Woman,1,White,Hispanic,Yes,Post-grad,Postgrad,Other,Lean Democrat,Extremely liberal,Atheist,"$80,000 - $99,999",West,Oregon,"randomize(13, [1,3,2,0])"
13,3,2,1,4,3214,0,1,2,3,4,1,0.640290835276274,49,1973,Man,0,White,White,No,4-year,College grad,Independent,Lean Democrat,Liberal,Agnostic,"$80,000 - $99,999",West,California,"randomize(11, [2,0,3,1])"
14,3,4,1,2,3412,0,4,3,2,1,0,0.210610217392833,73,1950,Man,0,White,White,No,Some college,Some college,Independent,Lean Democrat,Liberal,Nothing in particular,"$30,000 - $39,999",Northeast,New York,"randomize(20, [3,2,1,0])"
