unit,obey,thnkself,workhard,helpoth,popular,ranking,treat,wave
1,5,1,2,4,3,51243,0,1
2,4,1,2,3,5,41235,1,2
3,4,1,2,3,5,41235,2,3
4,4,1,3,2,5,41325,0,1
5,5,1,2,3,4,51234,1,2
6,1,3,2,4,5,13245,2,3
7,5,2,3,1,4,52314,0,1
8,5,2,3,1,4,52314,1,2
9,4,1,3,2,5,41325,2,3
10,3,2,1,4,5,32145,0,1
11,2,4,1,3,5,24135,1,2
12,1,3,2,4,5,13245,2,3
13,3,2,4,1,5,32415,0,1
14,2,5,3,1,4,25314,1,2
15,2,5,3,1,4,25314,2,3
16,4,1,2,3,5,41235,0,1
17,1,4,2,3,5,14235,1,2
18,3,4,1,2,5,34125,2,3
19,2,1,3,4,5,21345,0,1
20,1,5,2,3,4,15234,1,2
21,4,3,1,2,5,43125,2,3
22,1,3,2,4,5,13245,0,1
23,1,4,2,3,5,14235,1,2
24,3,1,2,4,5,31245,0,1
25,3,2,1,4,5,32145,1,2
26,5,2,4,1,3,52413,1,2
27,4,3,5,1,2,43512,2,3
28,1,4,2,3,5,14235,1,2
29,4,3,2,1,5,43215,0,1
30,4,2,1,3,5,42135,1,2
31,4,1,3,2,5,41325,2,3
32,4,2,1,3,5,42135,0,1
33,5,1,2,3,4,51234,1,2
34,4,3,5,1,2,43512,2,3
35,5,3,1,2,4,53124,0,1
36,4,2,3,1,5,42315,1,2
37,5,1,2,3,4,51234,2,3
38,5,3,1,2,4,53124,1,2
39,5,1,3,2,4,51324,2,3
40,5,2,1,3,4,52134,1,2
41,4,3,1,2,5,43125,1,2
42,4,1,2,3,5,41235,2,3
43,5,1,2,3,4,51234,1,2
44,5,1,3,2,4,51324,2,3
45,3,4,2,1,5,34215,1,2
46,1,4,2,3,5,14235,2,3
47,1,3,4,2,5,13425,0,1
48,4,3,2,1,5,43215,0,1
49,4,3,1,2,5,43125,0,1
50,4,3,2,1,5,43215,1,2
51,5,3,2,1,4,53214,2,3
52,1,4,3,2,5,14325,0,1
53,1,2,3,4,5,12345,1,2
54,4,1,2,3,5,41235,1,2
55,4,3,1,2,5,43125,2,3
56,3,2,4,1,5,32415,0,1
57,1,3,4,2,5,13425,0,1
58,4,1,3,2,5,41325,1,2
59,4,1,3,2,5,41325,2,3
60,2,5,1,3,4,25134,0,1
61,2,5,3,1,4,25314,0,1
62,1,4,2,3,5,14235,0,1
63,1,4,2,3,5,14235,1,2
64,1,5,2,3,4,15234,0,1
65,2,3,1,5,4,23154,1,2
66,1,3,4,2,5,13425,2,3
67,5,4,3,2,1,54321,0,1
68,5,1,2,3,4,51234,1,2
69,5,3,1,2,4,53124,2,3
70,4,1,3,2,5,41325,1,2
71,4,1,3,2,5,41325,2,3
72,5,1,3,2,4,51324,0,1
73,5,1,2,3,4,51234,1,2
74,4,1,3,2,5,41325,2,3
75,5,1,2,3,4,51234,0,1
76,5,1,2,3,4,51234,1,2
77,4,1,2,3,5,41235,2,3
78,2,1,4,5,3,21453,0,1
79,5,1,2,4,3,51243,1,2
80,2,4,3,1,5,24315,0,1
81,5,1,3,2,4,51324,1,2
82,4,2,3,1,5,42315,2,3
83,3,1,2,4,5,31245,0,1
84,3,4,2,1,5,34215,1,2
85,4,1,2,3,5,41235,2,3
86,4,1,3,2,5,41325,0,1
87,1,2,3,5,4,12354,1,2
88,5,3,1,2,4,53124,2,3
89,3,4,1,2,5,34125,0,1
90,4,1,2,3,5,41235,1,2
91,2,4,1,3,5,24135,2,3
92,2,3,1,4,5,23145,1,2
93,3,4,1,2,5,34125,2,3
94,4,2,1,3,5,42135,0,1
95,4,1,2,3,5,41235,1,2
96,5,2,1,3,4,52134,2,3
97,4,1,2,3,5,41235,0,1
98,4,3,1,2,5,43125,1,2
99,4,1,2,3,5,41235,2,3
100,5,3,2,1,4,53214,1,2
101,3,5,2,1,4,35214,2,3
102,5,1,2,3,4,51234,0,1
103,5,1,2,3,4,51234,1,2
104,5,1,2,3,4,51234,2,3
105,4,2,1,3,5,42135,0,1
106,3,1,2,4,5,31245,1,2
107,4,1,2,3,5,41235,2,3
108,5,1,3,2,4,51324,0,1
109,5,1,2,3,4,51234,0,1
110,3,5,2,1,4,35214,1,2
111,4,2,1,3,5,42135,0,1
112,1,4,2,3,5,14235,1,2
