unit,adachi,aliotopier,avalos,chiu,dufty,hall,herrera,lee,rees,ting,yee,ranking,treat,race,gender,party,age,educ,income,ideo,interest,retro
1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2-------1--,4,1,1,1,3,2,1,7,2,3
2,NA,NA,1,3,NA,NA,NA,2,NA,NA,NA,--13---2---,2,1,1,2,1,2,5,2,3,3
3,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,---2--3----,1,1,2,2,4,4,3,3,1,3
4,NA,NA,3,1,NA,NA,2,NA,NA,NA,NA,--31--2----,3,4,1,2,1,3,5,3,2,3
5,NA,NA,NA,2,NA,NA,3,1,NA,NA,NA,---2--31---,1,1,1,3,3,4,6,4,2,4
6,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,---2---1---,0,1,2,2,2,4,3,6,2,2
7,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,1,1,1,2,3,3,6,1,2,3
8,NA,NA,NA,NA,3,NA,2,1,NA,NA,NA,----3-21---,1,1,1,2,2,4,2,3,2,2
9,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1------2---,1,2,1,2,4,3,2,1,1,1
10,NA,NA,NA,NA,1,NA,3,2,NA,NA,NA,----1-32---,2,1,1,2,3,2,6,3,2,3
11,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21---------,0,1,1,3,4,4,88,7,3,4
12,3,NA,NA,NA,2,NA,NA,1,NA,NA,NA,3---2--1---,1,3,1,2,4,3,6,4,3,2
13,NA,NA,2,NA,NA,NA,1,NA,NA,NA,3,--2---1---3,2,1,1,2,3,4,5,2,3,2
14,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,--1-3-2----,2,1,1,2,3,3,6,1,2,3
15,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,--1-3-2----,3,1,1,2,3,2,99,2,2,3
16,1,NA,NA,NA,2,NA,3,NA,NA,NA,NA,1---2-3----,1,1,1,2,2,4,4,2,2,2
17,NA,NA,NA,NA,2,NA,NA,1,NA,3,NA,----2--1-3-,2,2,1,2,3,2,4,2,2,2
18,NA,2,NA,NA,NA,NA,NA,NA,1,3,NA,-2------13-,3,NA,99,NA,99,99,99,99,99,99
19,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,---2--3----,0,1,1,2,4,4,4,2,2,3
20,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,--1-3-2----,4,5,1,2,2,3,3,4,1,3
21,NA,NA,NA,2,NA,NA,NA,1,3,NA,NA,---2---13--,0,1,1,3,3,99,6,5,1,4
22,NA,NA,3,NA,2,NA,1,NA,NA,NA,NA,--3-2-1----,3,1,1,3,1,4,6,1,2,2
23,NA,NA,NA,1,2,NA,NA,3,NA,NA,NA,---12--3---,4,1,1,2,1,2,2,6,2,2
24,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,---2---1---,0,1,1,2,1,3,4,3,2,3
25,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,3,1,2,3,1,4,6,1,3,4
26,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,-2-----1---,1,1,1,2,3,2,1,4,2,3
27,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,23------1--,0,1,2,1,4,4,6,6,2,4
28,NA,NA,3,2,NA,NA,NA,1,NA,NA,NA,--32---1---,2,1,2,2,3,1,4,3,2,2
29,2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2---3-----1,1,2,1,2,3,2,3,4,2,3
30,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,1--32------,2,3,2,2,3,4,99,3,2,3
