unit,clark,officers,hahn,steinberg,schubert,brown,senators,ranking,treat,county,partyid,race,ideo_rating,education,work_for_law
1,1,7,6,2,5,3,4,1762534,0,orange,3,4,NA,5,0
2,1,7,6,5,3,4,2,1765342,1,sacramento,2,1,1,3,0
3,6,7,5,4,3,1,2,6754312,1,los angeles,2,1,2,4,0
4,7,6,5,3,4,1,2,7653412,0,riverside,1,1,7,3,0
5,7,6,2,3,1,5,4,7623154,1,riverside,4,1,7,2,0
6,3,7,5,4,6,2,1,3754621,1,sacramento,2,1,1,4,0
7,1,7,6,4,5,2,3,1764523,1,riverside,1,1,4,2,0
8,5,3,1,2,4,6,7,5312467,0,riverside,2,1,NA,3,1
9,7,1,6,4,5,3,2,7164532,0,los angeles,4,2,NA,2,0
10,6,7,5,4,3,1,2,6754312,1,riverside,1,1,NA,3,0
11,1,7,6,4,5,3,2,1764532,1,los angeles,2,4,3,4,0
12,4,7,6,3,5,2,1,4763521,1,sacramento,2,1,1,5,0
13,6,7,5,4,2,3,1,6754231,0,orange,2,3,4,2,0
14,6,7,4,5,1,2,3,6745123,1,sacramento,3,1,4,3,0
15,4,7,6,1,5,3,2,4761532,1,riverside,2,3,NA,1,0
16,1,7,6,3,5,4,2,1763542,1,sacramento,NA,NA,NA,NA,NA
17,1,7,6,3,5,4,2,1763542,0,orange,3,1,NA,3,0
18,4,2,5,3,7,6,1,4253761,1,orange,3,4,3,4,0
19,6,7,5,3,4,1,2,6753412,0,sacramento,2,1,2,4,1
20,6,7,5,3,4,2,1,6753421,0,sacramento,2,2,3,4,0
21,7,6,5,2,4,1,3,7652413,0,los angeles,2,1,NA,2,0
22,7,6,5,4,1,3,2,7654132,0,orange,1,1,4,5,0
23,3,7,6,5,4,2,1,3765421,1,orange,NA,NA,NA,NA,NA
24,6,7,5,4,2,3,1,6754231,1,sacramento,2,1,5,2,1
25,1,7,6,4,5,3,2,1764532,1,orange,2,1,6,3,0
26,7,4,2,3,1,5,6,7423156,1,sacramento,3,1,4,5,0
27,6,7,5,1,3,4,2,6751342,1,los angeles,4,1,4,2,0
28,6,7,5,4,3,1,2,6754312,0,los angeles,2,1,2,4,0
29,1,5,3,4,2,7,6,1534276,0,riverside,1,1,7,4,0
30,1,7,6,4,5,2,3,1764523,0,orange,2,1,2,3,0
31,1,7,6,3,4,5,2,1763452,0,riverside,2,3,NA,3,0
32,NA,NA,NA,NA,NA,NA,NA,-------,0,los angeles,NA,NA,NA,NA,NA
33,7,6,5,3,4,1,2,7653412,0,riverside,2,1,1,3,0
34,6,7,5,4,2,1,3,6754213,0,sacramento,2,1,4,2,0
35,1,7,5,4,6,3,2,1754632,0,los angeles,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,-------,1,los angeles,NA,NA,NA,NA,NA
37,1,7,6,5,4,2,3,1765423,1,riverside,1,1,3,4,0
38,6,7,3,4,5,1,2,6734512,0,orange,2,1,2,4,0
39,NA,NA,NA,NA,NA,NA,NA,-------,0,orange,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
41,1,7,6,4,5,3,2,1764532,1,orange,NA,NA,NA,NA,0
42,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
43,1,7,4,6,2,3,5,1746235,1,los angeles,2,4,4,4,0
44,1,6,4,7,3,5,2,1647352,1,los angeles,2,3,1,2,0
45,6,7,5,2,1,3,4,6752134,1,riverside,1,1,7,3,1
46,4,7,6,1,2,5,3,4761253,1,riverside,1,1,7,4,0
47,6,7,5,3,4,1,2,6753412,0,sacramento,2,1,2,5,0
48,7,6,5,1,3,4,2,7651342,1,sacramento,2,2,4,2,0
49,5,7,6,4,2,3,1,5764231,1,orange,2,1,4,3,0
50,7,6,5,3,4,1,2,7653412,0,orange,1,1,NA,2,0
51,1,7,5,2,6,4,3,1752643,0,sacramento,2,1,4,3,0
52,7,6,5,3,4,2,1,7653421,0,sacramento,1,1,4,5,0
53,2,7,6,4,5,1,3,2764513,0,los angeles,2,3,4,3,0
54,6,7,5,3,4,1,2,6753412,1,sacramento,2,1,3,3,0
55,6,7,5,4,3,2,1,6754321,0,los angeles,2,1,4,3,0
56,6,1,3,4,5,7,2,6134572,0,sacramento,NA,NA,NA,NA,NA
57,7,6,5,4,3,2,1,7654321,0,los angeles,2,1,2,3,1
58,1,7,6,5,4,3,2,1765432,1,los angeles,2,1,3,4,0
59,7,6,2,3,5,1,4,7623514,0,sacramento,1,4,4,5,0
60,NA,NA,NA,NA,NA,NA,NA,-------,1,riverside,NA,NA,NA,NA,NA
61,7,6,5,3,4,2,1,7653421,0,sacramento,3,1,4,5,0
62,7,6,5,3,4,2,1,7653421,0,sacramento,2,1,4,4,0
63,NA,NA,NA,NA,NA,NA,NA,-------,1,riverside,NA,NA,NA,NA,NA
64,1,7,6,3,4,2,5,1763425,0,orange,2,1,2,3,0
65,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
66,7,6,5,4,3,1,2,7654312,1,sacramento,1,1,6,3,0
67,1,7,6,4,2,5,3,1764253,1,sacramento,1,1,4,3,0
68,6,7,5,2,4,3,1,6752431,1,sacramento,1,1,6,5,1
69,3,4,6,5,2,1,7,3465217,1,sacramento,3,2,3,4,1
70,7,6,5,3,4,1,2,7653412,1,sacramento,1,1,6,4,0
71,NA,NA,NA,NA,NA,NA,NA,-------,0,riverside,NA,NA,NA,NA,NA
72,3,2,4,7,6,1,5,3247615,1,los angeles,2,2,5,2,0
73,7,6,5,4,3,1,2,7654312,1,sacramento,2,1,4,3,0
74,3,7,6,4,2,5,1,3764251,0,riverside,2,1,4,2,0
75,7,6,2,3,1,4,5,7623145,1,sacramento,1,1,7,5,0
76,1,7,5,4,6,3,2,1754632,0,riverside,3,1,4,5,0
77,6,7,5,4,3,2,1,6754321,1,sacramento,4,1,5,4,0
78,7,3,5,4,6,2,1,7354621,0,riverside,1,3,5,3,0
79,1,7,5,3,6,4,2,1753642,0,sacramento,2,1,4,2,0
80,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
81,6,7,5,4,3,1,2,6754312,1,orange,1,3,NA,3,0
82,7,6,5,3,4,2,1,7653421,1,sacramento,2,1,2,3,0
83,1,7,6,5,4,2,3,1765423,0,los angeles,2,2,NA,3,0
84,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,2,1,NA,2,0
85,5,6,3,7,4,2,1,5637421,1,orange,NA,NA,NA,NA,NA
86,5,7,6,3,4,2,1,5763421,0,sacramento,2,1,3,3,0
87,7,6,5,1,4,3,2,7651432,1,sacramento,3,1,4,5,0
88,6,7,5,4,2,3,1,6754231,1,sacramento,NA,NA,NA,NA,0
89,1,7,5,6,2,4,3,1756243,1,sacramento,4,1,1,3,0
90,1,2,4,5,6,7,3,1245673,1,los angeles,1,1,7,4,0
91,4,7,6,5,3,1,2,4765312,1,sacramento,2,1,2,5,0
92,1,7,6,3,2,5,4,1763254,0,riverside,3,1,NA,3,0
93,NA,NA,NA,NA,NA,NA,NA,-------,1,riverside,NA,NA,NA,NA,NA
94,6,7,5,3,4,2,1,6753421,0,sacramento,2,4,2,5,0
95,1,7,6,4,3,2,5,1764325,1,los angeles,2,3,2,3,0
96,1,4,6,3,5,7,2,1463572,0,riverside,3,4,NA,3,0
97,6,7,3,5,1,4,2,6735142,0,sacramento,3,1,NA,3,0
98,4,7,6,5,2,3,1,4765231,0,orange,3,4,4,3,0
99,1,7,6,4,5,2,3,1764523,1,riverside,NA,NA,NA,NA,NA
100,7,6,5,3,4,1,2,7653412,1,sacramento,3,1,NA,3,0
101,6,7,5,3,4,2,1,6753421,1,sacramento,2,1,2,5,0
102,7,6,5,3,4,1,2,7653412,1,sacramento,3,1,4,3,0
103,2,7,6,3,5,4,1,2763541,0,sacramento,1,1,2,2,0
104,6,7,5,1,2,4,3,6751243,0,sacramento,2,1,1,4,0
105,4,7,6,5,1,3,2,4765132,0,riverside,2,3,3,3,0
106,7,6,5,4,1,3,2,7654132,0,sacramento,1,1,5,5,1
107,5,4,1,2,3,6,7,5412367,0,riverside,1,1,4,3,1
108,NA,NA,NA,NA,NA,NA,NA,-------,0,orange,4,4,NA,5,0
109,6,7,5,2,4,1,3,6752413,0,riverside,1,4,NA,3,0
110,2,7,6,4,3,5,1,2764351,0,riverside,2,1,1,2,0
111,7,6,5,3,4,1,2,7653412,1,orange,2,4,5,5,0
112,7,6,2,4,5,3,1,7624531,1,riverside,1,1,2,3,1
113,7,6,5,2,4,1,3,7652413,0,sacramento,1,1,6,4,1
114,6,7,5,3,4,2,1,6753421,0,sacramento,2,1,2,4,0
115,7,5,6,4,3,2,1,7564321,1,sacramento,1,1,4,5,0
116,7,1,5,2,6,4,3,7152643,1,orange,1,1,5,2,0
117,5,7,4,3,6,1,2,5743612,0,los angeles,2,3,6,3,0
118,7,6,5,4,3,1,2,7654312,0,orange,1,1,7,4,0
119,NA,NA,NA,NA,NA,NA,NA,-------,0,los angeles,NA,NA,NA,NA,NA
120,4,7,6,3,1,5,2,4763152,0,orange,2,1,7,4,0
121,7,6,5,4,2,1,3,7654213,0,sacramento,4,1,NA,3,0
122,2,6,3,7,4,5,1,2637451,0,los angeles,1,1,1,4,0
123,NA,NA,NA,NA,NA,NA,NA,-------,0,los angeles,NA,NA,NA,NA,NA
