unit,clark,officers,hahn,steinberg,schubert,brown,senators,ranking,treat,county,partyid,race,ideo_rating,education,work_for_law
1,1,7,6,2,5,3,4,1762534,0,orange,3,4,NA,5,0
2,7,6,5,4,3,2,1,7654321,1,sacramento,3,1,5,3,0
3,7,6,5,3,4,1,2,7653412,0,riverside,1,1,7,3,0
4,7,6,5,1,4,3,2,7651432,1,sacramento,3,1,4,3,0
5,5,3,1,2,4,6,7,5312467,0,riverside,2,1,NA,3,1
6,7,1,6,4,5,3,2,7164532,0,los angeles,4,2,NA,2,0
7,6,7,5,3,4,2,1,6753421,1,sacramento,2,1,2,5,0
8,7,4,3,5,6,2,1,7435621,1,sacramento,2,1,5,4,0
9,6,7,5,4,2,3,1,6754231,0,orange,2,3,4,2,0
10,7,6,5,3,4,2,1,7653421,1,sacramento,2,1,3,5,1
11,1,7,6,3,5,4,2,1763542,0,orange,3,1,NA,3,0
12,6,7,5,3,4,1,2,6753412,0,sacramento,2,1,2,4,1
13,6,7,5,3,4,2,1,6753421,0,sacramento,2,2,3,4,0
14,3,4,2,6,1,7,5,3426175,1,sacramento,1,1,6,5,0
15,1,7,6,4,5,3,2,1764532,1,sacramento,2,2,1,5,0
16,7,6,5,2,4,1,3,7652413,0,los angeles,2,1,NA,2,0
17,7,6,5,4,1,3,2,7654132,0,orange,1,1,4,5,0
18,7,1,2,4,3,6,5,7124365,1,sacramento,1,1,7,3,0
19,6,7,5,3,4,1,2,6753412,1,sacramento,2,1,1,3,0
20,1,6,3,5,7,4,2,1635742,1,sacramento,NA,NA,NA,NA,NA
21,7,6,5,4,3,2,1,7654321,1,sacramento,2,1,2,4,0
22,6,7,2,5,4,3,1,6725431,1,sacramento,3,5,4,3,0
23,7,6,5,2,4,3,1,7652431,1,los angeles,2,1,4,2,0
24,6,7,5,4,3,1,2,6754312,0,los angeles,2,1,2,4,0
25,1,5,3,4,2,7,6,1534276,0,riverside,1,1,7,4,0
26,7,5,2,6,4,3,1,7526431,1,sacramento,1,1,6,4,0
27,1,7,6,4,5,2,3,1764523,0,orange,2,1,2,3,0
28,1,7,6,3,5,2,4,1763524,1,riverside,2,3,1,3,0
29,1,7,6,3,4,5,2,1763452,0,riverside,2,3,NA,3,0
30,7,6,5,3,4,1,2,7653412,1,riverside,1,1,5,2,0
31,3,5,2,7,4,1,6,3527416,1,orange,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,-------,0,los angeles,NA,NA,NA,NA,NA
33,7,6,5,3,4,1,2,7653412,0,riverside,2,1,1,3,0
34,6,7,5,4,2,1,3,6754213,0,sacramento,2,1,4,2,0
35,1,7,5,4,6,3,2,1754632,0,los angeles,NA,NA,NA,NA,NA
36,6,7,4,3,1,2,5,6743125,1,sacramento,3,1,6,2,0
37,6,7,3,4,5,1,2,6734512,0,orange,2,1,2,4,0
38,NA,NA,NA,NA,NA,NA,NA,-------,0,orange,NA,NA,NA,NA,NA
39,7,6,5,4,3,2,1,7654321,1,sacramento,3,1,5,4,0
40,7,6,5,3,4,1,2,7653412,1,sacramento,2,5,2,3,1
41,7,6,5,3,4,1,2,7653412,1,sacramento,1,1,6,5,0
42,1,7,2,3,6,5,4,1723654,1,los angeles,2,1,5,3,0
43,1,7,4,3,6,2,5,1743625,1,sacramento,NA,NA,NA,NA,NA
44,6,1,4,5,2,3,7,6145237,1,orange,2,1,2,3,0
45,6,7,5,3,4,1,2,6753412,0,sacramento,2,1,2,5,0
