unit,clark,officers,hahn,steinberg,schubert,brown,senators,ranking,treat,county,partyid,race,ideo_rating,education,work_for_law
1,1,7,6,2,5,3,4,1762534,0,orange,3,4,NA,5,0
2,1,7,6,5,3,4,2,1765342,1,sacramento,2,1,1,3,0
3,7,6,5,4,3,2,1,7654321,2,sacramento,3,1,5,3,0
4,6,7,5,4,3,1,2,6754312,1,los angeles,2,1,2,4,0
5,7,6,5,3,4,1,2,7653412,0,riverside,1,1,7,3,0
6,7,6,2,3,1,5,4,7623154,1,riverside,4,1,7,2,0
7,3,7,5,4,6,2,1,3754621,1,sacramento,2,1,1,4,0
8,1,7,6,4,5,2,3,1764523,1,riverside,1,1,4,2,0
9,7,6,5,1,4,3,2,7651432,2,sacramento,3,1,4,3,0
10,5,3,1,2,4,6,7,5312467,0,riverside,2,1,NA,3,1
11,7,1,6,4,5,3,2,7164532,0,los angeles,4,2,NA,2,0
12,6,7,5,3,4,2,1,6753421,2,sacramento,2,1,2,5,0
13,7,4,3,5,6,2,1,7435621,2,sacramento,2,1,5,4,0
14,6,7,5,4,3,1,2,6754312,1,riverside,1,1,NA,3,0
15,1,7,6,4,5,3,2,1764532,1,los angeles,2,4,3,4,0
16,4,7,6,3,5,2,1,4763521,1,sacramento,2,1,1,5,0
17,6,7,5,4,2,3,1,6754231,0,orange,2,3,4,2,0
18,6,7,4,5,1,2,3,6745123,1,sacramento,3,1,4,3,0
19,7,6,5,3,4,2,1,7653421,2,sacramento,2,1,3,5,1
20,4,7,6,1,5,3,2,4761532,1,riverside,2,3,NA,1,0
21,1,7,6,3,5,4,2,1763542,1,sacramento,NA,NA,NA,NA,NA
22,1,7,6,3,5,4,2,1763542,0,orange,3,1,NA,3,0
23,4,2,5,3,7,6,1,4253761,1,orange,3,4,3,4,0
24,6,7,5,3,4,1,2,6753412,0,sacramento,2,1,2,4,1
25,6,7,5,3,4,2,1,6753421,0,sacramento,2,2,3,4,0
26,3,4,2,6,1,7,5,3426175,2,sacramento,1,1,6,5,0
27,1,7,6,4,5,3,2,1764532,2,sacramento,2,2,1,5,0
28,7,6,5,2,4,1,3,7652413,0,los angeles,2,1,NA,2,0
29,7,6,5,4,1,3,2,7654132,0,orange,1,1,4,5,0
30,3,7,6,5,4,2,1,3765421,1,orange,NA,NA,NA,NA,NA
31,7,1,2,4,3,6,5,7124365,2,sacramento,1,1,7,3,0
32,6,7,5,3,4,1,2,6753412,2,sacramento,2,1,1,3,0
33,6,7,5,4,2,3,1,6754231,1,sacramento,2,1,5,2,1
34,1,6,3,5,7,4,2,1635742,2,sacramento,NA,NA,NA,NA,NA
35,7,6,5,4,3,2,1,7654321,2,sacramento,2,1,2,4,0
36,1,7,6,4,5,3,2,1764532,1,orange,2,1,6,3,0
37,7,4,2,3,1,5,6,7423156,1,sacramento,3,1,4,5,0
38,6,7,2,5,4,3,1,6725431,2,sacramento,3,5,4,3,0
39,6,7,5,1,3,4,2,6751342,1,los angeles,4,1,4,2,0
40,7,6,5,2,4,3,1,7652431,2,los angeles,2,1,4,2,0
41,6,7,5,4,3,1,2,6754312,0,los angeles,2,1,2,4,0
42,1,5,3,4,2,7,6,1534276,0,riverside,1,1,7,4,0
43,7,5,2,6,4,3,1,7526431,2,sacramento,1,1,6,4,0
44,1,7,6,4,5,2,3,1764523,0,orange,2,1,2,3,0
45,1,7,6,3,5,2,4,1763524,2,riverside,2,3,1,3,0
46,1,7,6,3,4,5,2,1763452,0,riverside,2,3,NA,3,0
47,7,6,5,3,4,1,2,7653412,2,riverside,1,1,5,2,0
48,3,5,2,7,4,1,6,3527416,2,orange,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,-------,0,los angeles,NA,NA,NA,NA,NA
50,7,6,5,3,4,1,2,7653412,0,riverside,2,1,1,3,0
51,6,7,5,4,2,1,3,6754213,0,sacramento,2,1,4,2,0
52,1,7,5,4,6,3,2,1754632,0,los angeles,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,-------,1,los angeles,NA,NA,NA,NA,NA
54,6,7,4,3,1,2,5,6743125,2,sacramento,3,1,6,2,0
55,1,7,6,5,4,2,3,1765423,1,riverside,1,1,3,4,0
56,6,7,3,4,5,1,2,6734512,0,orange,2,1,2,4,0
57,NA,NA,NA,NA,NA,NA,NA,-------,0,orange,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
59,7,6,5,4,3,2,1,7654321,2,sacramento,3,1,5,4,0
60,1,7,6,4,5,3,2,1764532,1,orange,NA,NA,NA,NA,0
61,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
62,7,6,5,3,4,1,2,7653412,2,sacramento,2,5,2,3,1
63,1,7,4,6,2,3,5,1746235,1,los angeles,2,4,4,4,0
64,7,6,5,3,4,1,2,7653412,2,sacramento,1,1,6,5,0
65,1,6,4,7,3,5,2,1647352,1,los angeles,2,3,1,2,0
66,1,7,2,3,6,5,4,1723654,2,los angeles,2,1,5,3,0
67,6,7,5,2,1,3,4,6752134,1,riverside,1,1,7,3,1
68,4,7,6,1,2,5,3,4761253,1,riverside,1,1,7,4,0
69,1,7,4,3,6,2,5,1743625,2,sacramento,NA,NA,NA,NA,NA
70,6,1,4,5,2,3,7,6145237,2,orange,2,1,2,3,0
71,6,7,5,3,4,1,2,6753412,0,sacramento,2,1,2,5,0
72,7,6,5,1,3,4,2,7651342,1,sacramento,2,2,4,2,0
73,1,7,3,4,2,6,5,1734265,2,los angeles,3,2,NA,2,0
74,5,7,6,4,2,3,1,5764231,1,orange,2,1,4,3,0
75,NA,NA,NA,NA,NA,NA,NA,-------,2,sacramento,NA,NA,NA,NA,NA
76,7,6,5,3,4,1,2,7653412,0,orange,1,1,NA,2,0
77,1,7,5,2,6,4,3,1752643,0,sacramento,2,1,4,3,0
78,7,6,5,4,3,2,1,7654321,2,sacramento,1,1,6,3,0
79,7,6,5,3,4,2,1,7653421,2,los angeles,2,1,2,5,0
80,7,6,5,3,4,2,1,7653421,0,sacramento,1,1,4,5,0
81,2,7,6,4,5,1,3,2764513,0,los angeles,2,3,4,3,0
82,1,7,6,5,4,3,2,1765432,2,riverside,1,1,6,4,0
83,6,7,5,3,4,1,2,6753412,1,sacramento,2,1,3,3,0
84,6,7,5,4,3,2,1,6754321,0,los angeles,2,1,4,3,0
85,6,1,3,4,5,7,2,6134572,0,sacramento,NA,NA,NA,NA,NA
86,7,6,5,4,3,2,1,7654321,0,los angeles,2,1,2,3,1
87,1,7,6,5,4,3,2,1765432,1,los angeles,2,1,3,4,0
88,7,6,2,3,5,1,4,7623514,0,sacramento,1,4,4,5,0
89,4,3,6,7,5,1,2,4367512,2,los angeles,4,1,NA,3,0
90,7,1,2,4,3,6,5,7124365,2,orange,1,5,7,5,1
91,6,7,5,3,4,2,1,6753421,2,orange,2,1,3,4,0
92,1,5,7,6,4,3,2,1576432,2,orange,2,3,4,3,1
93,NA,NA,NA,NA,NA,NA,NA,-------,1,riverside,NA,NA,NA,NA,NA
94,7,6,5,3,4,2,1,7653421,0,sacramento,3,1,4,5,0
95,7,6,5,3,4,2,1,7653421,0,sacramento,2,1,4,4,0
96,NA,NA,NA,NA,NA,NA,NA,-------,1,riverside,NA,NA,NA,NA,NA
97,1,7,6,3,4,2,5,1763425,0,orange,2,1,2,3,0
98,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
99,7,6,2,4,1,3,5,7624135,2,sacramento,1,4,5,4,0
100,7,6,5,4,3,1,2,7654312,1,sacramento,1,1,6,3,0
101,1,7,6,4,5,3,2,1764532,2,riverside,2,2,4,5,0
102,7,1,2,3,4,5,6,7123456,2,sacramento,2,1,4,2,0
103,1,7,6,4,2,5,3,1764253,1,sacramento,1,1,4,3,0
104,6,7,5,2,4,3,1,6752431,1,sacramento,1,1,6,5,1
105,3,4,6,5,2,1,7,3465217,1,sacramento,3,2,3,4,1
106,7,5,6,2,1,4,3,7562143,2,orange,2,1,4,3,0
107,7,6,5,3,4,1,2,7653412,1,sacramento,1,1,6,4,0
108,NA,NA,NA,NA,NA,NA,NA,-------,0,riverside,NA,NA,NA,NA,NA
109,3,2,4,7,6,1,5,3247615,1,los angeles,2,2,5,2,0
110,7,6,5,4,3,1,2,7654312,1,sacramento,2,1,4,3,0
111,6,7,5,1,4,3,2,6751432,2,orange,2,3,1,3,0
112,NA,NA,NA,NA,NA,NA,NA,-------,2,riverside,NA,NA,NA,NA,NA
113,3,7,6,4,2,5,1,3764251,0,riverside,2,1,4,2,0
114,7,6,2,3,1,4,5,7623145,1,sacramento,1,1,7,5,0
115,1,7,5,4,6,3,2,1754632,0,riverside,3,1,4,5,0
116,6,7,5,4,3,2,1,6754321,1,sacramento,4,1,5,4,0
117,7,6,5,3,4,2,1,7653421,2,sacramento,1,1,5,5,0
118,5,7,6,4,3,2,1,5764321,2,orange,2,4,4,4,1
119,NA,NA,NA,NA,NA,NA,NA,-------,2,riverside,NA,NA,NA,NA,NA
120,7,3,5,4,6,2,1,7354621,0,riverside,1,3,5,3,0
121,1,7,5,3,6,4,2,1753642,0,sacramento,2,1,4,2,0
122,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
123,6,7,5,4,3,1,2,6754312,1,orange,1,3,NA,3,0
