unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,mohfz,caza,q5,q7,q8,q10,q11,q12,q13,q15,q16a,q16b,q19b,q21,q22,q23,q24a,q24b,q24c,q24d,q25,q26,q27a,q27c,q27d,q27e,q44a,q44b,q44c,q44d,q45a,q45b,q45c,q45d,q46a,q46b,q46c,q46d,q47a,q47b,q47c,q47d,q48z,q49z,q50z,q51z
1,1,NA,2,NA,NA,NA,1-2---,0,4,403,0,22,2,2,2,2,2,6,6,2014,1,1,1,1,3,4,4,4,4,1,-98,-98,-98,-98,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,NA,2,NA,NA,NA,1-2---,0,4,403,0,25,2,8,4,4,2,6,2,2014,1,1,5,3,1,1,3,4,4,1,2,3,-98,1,1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,NA,NA,NA,NA,NA,1-----,3,4,401,0,47,1,9,3,8,2,6,7,2011,1,1,5,1,-98,-98,-98,4,4,2,2,1,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
4,1,NA,2,NA,NA,NA,1-2---,0,4,403,1,30,2,7,2,6,1,6,3,2012,1,1,5,5,4,4,4,4,2,4,2,1,-98,2,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,NA,2,NA,NA,NA,1-2---,2,4,401,0,30,2,5,3,5,2,6,6,2012,1,1,5,3,1,1,3,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,1,NA,NA,NA,NA,NA,1-----,0,4,401,0,29,6,5,2,6,1,6,10,2011,1,1,5,3,1,1,1,4,1,5,2,3,2,2,1,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,NA,NA,NA,NA,NA,1-----,3,4,401,0,35,4,3,1,4,0,6,6,2012,1,1,2,2,1,1,4,4,2,4,2,1,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
8,1,NA,NA,NA,NA,NA,1-----,1,4,401,1,25,4,4,2,10,3,6,12,2012,1,1,5,5,4,4,4,4,2,4,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,1,NA,NA,NA,NA
9,1,NA,NA,NA,NA,NA,1-----,3,4,401,1,24,3,6,2,4,0,6,5,2012,1,1,5,5,3,3,3,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
10,1,NA,2,NA,NA,NA,1-2---,0,4,401,0,35,2,7,3,7,0,6,6,2013,1,1,1,1,1,1,1,3,2,4,2,3,3,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,NA,NA,NA,NA,NA,1-----,0,4,401,1,36,5,5,2,5,0,6,2,2012,1,1,5,3,1,1,4,4,2,4,2,3,-98,2,1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,1,NA,NA,NA,2,-1---2,1,4,401,1,31,3,9,4,6,0,6,5,2012,1,1,5,4,4,4,4,4,2,4,2,1,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,1,NA,NA,NA,NA
13,1,NA,2,NA,NA,NA,1-2---,0,4,401,0,32,4,5,2,6,0,6,2,2013,1,1,5,5,4,4,4,4,2,2,2,1,2,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,NA,NA,NA,NA,NA,1-----,3,4,401,1,31,3,5,2,5,1,14,11,2012,1,1,5,5,4,4,4,4,3,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
15,1,NA,2,NA,NA,NA,1-2---,1,4,401,0,45,2,6,3,5,1,6,2,2013,1,1,5,3,3,3,3,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
16,1,NA,2,NA,NA,NA,1-2---,3,4,401,0,32,2,2,3,12,3,6,6,2013,1,1,5,3,3,3,3,4,4,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
17,1,NA,2,NA,NA,NA,1-2---,3,4,401,1,25,2,2,3,7,3,6,5,2012,1,1,5,3,3,3,3,4,4,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
18,1,NA,2,NA,NA,NA,1-2---,2,4,401,0,30,1,3,4,9,3,6,3,2012,1,1,1,1,3,3,3,4,3,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
19,1,NA,2,NA,NA,NA,1-2---,0,4,401,1,27,6,2,3,3,2,6,7,2011,1,1,5,3,1,1,3,4,4,1,-98,3,2,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,NA,2,NA,NA,NA,1-2---,2,4,401,0,24,2,4,3,6,2,6,1,2012,1,1,5,3,3,4,4,4,3,1,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
