unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,mohafaza,caza,q5,q6,q7,q8,q9,q10,q11,q13,q14a,q14b,q15b,q16,q17,q18,q19a,q19b,q19c,q19d,q21,q22,q23a,q23b,q23c,q23d,q36a,q36b,q36c,q36d,q37a,q37b,q37c,q37d,q38a,q38b,q38c,q38d,q39a,q39b,q39c,q39d,q40,q41,q42,q43
1,1,NA,NA,NA,NA,NA,1-----,1,4,17,0,31,4,6,3,3,0,6,11,2011,1,1,5,1,1,1,4,4,4,2,-98,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,------,2,4,17,0,34,3,11,2,4,1,6,6,2012,1,1,1,1,4,1,1,4,4,1,2,2,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
3,NA,NA,NA,NA,NA,NA,------,0,4,17,0,32,4,5,1,4,2,6,5,2013,1,1,5,3,1,1,1,3,4,1,2,-98,-98,2,-99,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,NA,NA,NA,NA,NA,1-----,3,4,17,0,22,4,10,3,10,1,7,5,2014,1,1,5,3,1,2,1,4,4,1,2,2,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5,1,NA,NA,NA,NA,NA,1-----,0,4,17,0,25,4,6,2,6,1,6,4,2012,1,1,5,3,2,2,2,3,3,2,2,3,3,1,1,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,------,2,4,17,0,45,4,6,2,6,0,10,8,2011,1,1,5,5,-98,-99,4,4,4,1,-98,-98,-98,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,NA,NA
7,NA,1,NA,NA,NA,NA,-1----,2,4,17,0,26,3,12,3,2,1,10,11,2016,1,1,5,3,4,1,4,4,3,4,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
8,1,NA,NA,NA,NA,NA,1-----,0,4,17,0,24,6,6,2,4,2,6,9,2012,1,1,1,1,3,1,4,4,3,1,2,2,-98,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,NA,2,NA,NA,NA,1-2---,3,4,17,1,34,3,9,3,6,1,8,9,2011,1,1,5,3,2,2,4,4,3,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
10,NA,1,NA,NA,NA,2,-1---2,3,4,17,0,63,3,5,2,1,1,6,6,2012,1,1,2,1,2,1,1,1,4,1,-98,-98,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
