unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,age,female
1,1,NA,2,NA,NA,NA,1-2---,4,22,2
2,1,NA,2,NA,NA,NA,1-2---,4,25,2
3,1,NA,NA,NA,NA,NA,1-----,6,47,1
4,1,NA,2,NA,NA,NA,1-2---,3,30,2
5,1,NA,2,NA,NA,NA,1-2---,0,30,2
6,1,NA,NA,NA,NA,NA,1-----,7,29,6
7,1,NA,NA,NA,NA,NA,1-----,1,35,4
8,1,NA,NA,NA,NA,NA,1-----,5,25,4
9,1,NA,NA,NA,NA,NA,1-----,4,24,3
10,1,NA,2,NA,NA,NA,1-2---,0,35,2
11,1,NA,NA,NA,NA,NA,1-----,2,36,5
12,NA,1,NA,NA,NA,2,-1---2,3,31,3
13,1,NA,2,NA,NA,NA,1-2---,0,32,4
14,1,NA,NA,NA,NA,NA,1-----,2,31,3
15,1,NA,2,NA,NA,NA,1-2---,4,45,2
16,1,NA,2,NA,NA,NA,1-2---,5,32,2
17,1,NA,2,NA,NA,NA,1-2---,3,25,2
18,1,NA,2,NA,NA,NA,1-2---,7,30,1
19,1,NA,2,NA,NA,NA,1-2---,7,27,6
20,1,NA,2,NA,NA,NA,1-2---,6,24,2
21,1,NA,2,NA,NA,NA,1-2---,1,27,2
22,1,NA,NA,NA,NA,NA,1-----,5,27,2
23,1,NA,NA,NA,NA,NA,1-----,7,36,2
24,NA,NA,NA,NA,1,NA,----1-,4,27,6
25,1,NA,2,NA,NA,NA,1-2---,6,27,2
26,1,NA,2,NA,NA,NA,1-2---,1,27,2
27,NA,NA,NA,NA,NA,NA,------,6,26,6
28,1,NA,NA,NA,NA,NA,1-----,6,33,2
29,1,NA,2,NA,NA,NA,1-2---,7,24,2
30,1,NA,NA,NA,NA,NA,1-----,1,31,2
31,1,NA,2,NA,NA,NA,1-2---,3,24,6
32,1,NA,2,NA,NA,NA,1-2---,7,47,2
33,1,NA,2,NA,NA,NA,1-2---,5,45,2
34,1,NA,NA,NA,NA,NA,1-----,0,35,2
35,1,NA,2,NA,NA,NA,1-2---,1,60,3
36,1,NA,2,NA,NA,NA,1-2---,6,26,3
37,1,NA,2,NA,NA,NA,1-2---,2,30,2
38,1,NA,NA,NA,NA,NA,1-----,6,20,3
39,1,NA,NA,NA,NA,NA,1-----,3,30,3
40,1,NA,NA,NA,NA,NA,1-----,2,60,4
41,NA,NA,NA,NA,NA,NA,------,1,54,2
42,1,NA,NA,NA,NA,NA,1-----,6,54,4
43,1,NA,NA,NA,NA,NA,1-----,6,63,6
44,1,NA,2,NA,NA,NA,1-2---,3,40,6
45,1,NA,NA,NA,NA,NA,1-----,2,27,2
46,1,NA,2,NA,NA,NA,1-2---,7,40,6
47,1,NA,2,NA,NA,NA,1-2---,1,33,2
48,1,NA,NA,NA,NA,NA,1-----,2,47,2
49,1,NA,2,NA,NA,NA,1-2---,6,42,2
50,1,NA,NA,NA,NA,NA,1-----,6,27,2
51,NA,1,NA,NA,NA,NA,-1----,1,29,2
52,1,NA,NA,NA,NA,NA,1-----,6,42,1
53,1,NA,2,NA,NA,NA,1-2---,4,44,2
54,1,NA,2,NA,NA,NA,1-2---,7,23,2
55,1,NA,2,NA,NA,NA,1-2---,2,25,2
56,1,NA,2,NA,NA,NA,1-2---,0,40,1
57,1,NA,2,NA,NA,NA,1-2---,2,25,2
58,NA,1,NA,NA,NA,NA,-1----,7,35,2
