unit,nationalsecurity,healthcare,education,jobs,crime,immigration,drugaddiction,socialsecurity,terrorism,environment,ranking,treat,issue,quotecondition,issuecondition,pid,ideo,gender,age,race
1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,6,Environment,No quote,3rd issue,Strong Republican,Moderate,Female,55-64,Hispanic
2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,7,National security,They lose,3rd issue,Independent,Moderate,Male,45-54,White/Caucasian
3,NA,NA,NA,NA,1,NA,3,NA,NA,NA,----1-3---,2,Crime,We win,No issue,Strong Democrat,Very Liberal,Female,45-54,White/Caucasian
4,NA,NA,NA,NA,3,NA,NA,NA,NA,1,----3----1,0,Crime,No quote,No issue,Lean Democrat,Moderate,Male,35-44,Asian
5,NA,1,NA,NA,NA,NA,NA,NA,3,NA,-1------3-,0,Terrorism,No quote,No issue,Independent,Not Sure,Female,65 or over,White/Caucasian
6,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,8,Health care,We win,3rd issue,Strong Republican,Moderate,Male,18-24,White/Caucasian
7,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,2,Jobs,We win,No issue,Independent,Liberal,Male,35-44,White/Caucasian
8,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,2,Health care,We win,No issue,Lean Democrat,Moderate,Female,45-54,White/Caucasian
9,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3----1----,0,National security,No quote,No issue,Strong Democrat,Liberal,Female,35-44,White/Caucasian
10,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,0,Crime,No quote,No issue,Weak Democrat,Liberal,Female,25-34,Asian
11,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,5,National security,We win,Top issue,Strong Republican,Very Conservative,Female,55-64,White/Caucasian
12,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,5,Health care,We win,Top issue,Strong Democrat,Liberal,Female,65 or over,White/Caucasian
13,NA,NA,NA,NA,NA,1,NA,NA,NA,3,-----1---3,4,Immigration,They lose,Top issue,Weak Republican,Moderate,Female,25-34,African American
14,NA,NA,1,NA,NA,NA,NA,NA,NA,3,--1------3,6,Environment,No quote,3rd issue,Strong Democrat,Very Liberal,Male,35-44,White/Caucasian
15,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,5,Health care,We win,Top issue,Weak Democrat,Moderate,Female,35-44,White/Caucasian
16,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,3,Health care,No quote,Top issue,Weak Democrat,Liberal,Female,35-44,White/Caucasian
17,NA,NA,NA,NA,NA,NA,NA,NA,3,1,--------31,6,Terrorism,No quote,3rd issue,Strong Democrat,Liberal,Male,18-24,White/Caucasian
18,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,0,Health care,No quote,No issue,Independent,Moderate,Female,25-34,White/Caucasian
19,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,7,Crime,They lose,3rd issue,Independent,Liberal,Female,18-24,Native American
20,NA,NA,NA,NA,3,NA,NA,NA,NA,1,----3----1,2,Crime,We win,No issue,Independent,Liberal,Male,45-54,White/Caucasian
21,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3--------1,6,National security,No quote,3rd issue,Strong Democrat,Liberal,Female,65 or over,White/Caucasian
22,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,1,Environment,They lose,No issue,Strong Republican,Very Conservative,Female,35-44,White/Caucasian
23,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,8,Jobs,We win,3rd issue,Weak Democrat,Liberal,Female,18-24,African American
24,NA,NA,NA,NA,1,NA,NA,3,NA,NA,----1--3--,2,Social security,We win,No issue,Weak Democrat,Conservative,Male,55-64,African American
25,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,8,Immigration,We win,3rd issue,Strong Democrat,Conservative,Male,35-44,White/Caucasian
26,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,5,Health care,We win,Top issue,Strong Democrat,Liberal,Female,35-44,African American
27,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,6,Education,No quote,3rd issue,Lean Democrat,Moderate,Male,25-34,Asian
28,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,8,Jobs,We win,3rd issue,Lean Republican,Conservative,Female,18-24,White/Caucasian
29,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,5,Health care,We win,Top issue,Independent,Not Sure,Female,55-64,African American
30,NA,NA,NA,3,NA,NA,NA,NA,1,NA,---3----1-,3,Terrorism,No quote,Top issue,Independent,Moderate,Female,25-34,Hispanic
31,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,2,Immigration,We win,No issue,Independent,Conservative,Male,35-44,White/Caucasian
32,NA,NA,NA,NA,NA,1,NA,NA,3,NA,-----1--3-,0,Terrorism,No quote,No issue,Strong Republican,Conservative,Female,65 or over,White/Caucasian
33,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,1,Jobs,They lose,No issue,Independent,Moderate,Female,25-34,White/Caucasian
34,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,3,Jobs,No quote,Top issue,Independent,Conservative,Male,35-44,African American
35,NA,NA,3,NA,NA,NA,NA,1,NA,NA,--3----1--,0,Education,No quote,No issue,Not sure,Not Sure,Female,35-44,White/Caucasian
36,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,6,Health care,No quote,3rd issue,Weak Democrat,Liberal,Female,25-34,African American
37,3,NA,NA,NA,NA,NA,NA,1,NA,NA,3------1--,8,National security,We win,3rd issue,Weak Republican,Moderate,Female,65 or over,White/Caucasian
38,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,0,Social security,No quote,No issue,Strong Republican,Very Conservative,Male,25-34,White/Caucasian
39,NA,3,NA,NA,1,NA,NA,NA,NA,NA,-3--1-----,0,Health care,No quote,No issue,Lean Democrat,Liberal,Female,25-34,Other
40,NA,NA,NA,NA,NA,1,NA,NA,NA,3,-----1---3,6,Environment,No quote,3rd issue,Strong Republican,Liberal,Male,45-54,White/Caucasian
41,NA,NA,NA,NA,NA,NA,1,NA,NA,3,------1--3,5,Drug addiction,We win,Top issue,Independent,Moderate,Male,18-24,African American
42,NA,3,NA,NA,NA,1,NA,NA,NA,NA,-3---1----,4,Immigration,They lose,Top issue,Strong Democrat,Moderate,Male,35-44,Hispanic
43,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,2,Social security,We win,No issue,Independent,Liberal,Female,55-64,White/Caucasian
44,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,2,Jobs,We win,No issue,Strong Democrat,Conservative,Female,35-44,White/Caucasian
45,NA,NA,NA,NA,3,NA,NA,NA,NA,1,----3----1,1,Crime,They lose,No issue,Independent,Conservative,Male,25-34,African American
46,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,8,Crime,We win,3rd issue,Strong Democrat,Very Liberal,Female,25-34,African American
47,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,3,Jobs,No quote,Top issue,Strong Democrat,Conservative,Male,45-54,African American
48,NA,1,NA,NA,NA,NA,3,NA,NA,NA,-1----3---,3,Health care,No quote,Top issue,Lean Democrat,Liberal,Male,25-34,Hispanic
49,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,8,Crime,We win,3rd issue,Strong Democrat,Moderate,Male,35-44,African American
50,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-1--------,5,Health care,We win,Top issue,Strong Democrat,Moderate,Male,25-34,White/Caucasian
51,NA,NA,NA,NA,NA,3,NA,NA,NA,1,-----3---1,5,Environment,We win,Top issue,Weak Republican,Very Conservative,Female,18-24,White/Caucasian
52,NA,NA,NA,NA,3,NA,NA,NA,1,NA,----3---1-,6,Crime,No quote,3rd issue,Strong Republican,Conservative,Female,25-34,Asian
53,NA,3,1,NA,NA,NA,NA,NA,NA,NA,-31-------,5,Education,We win,Top issue,Weak Democrat,Liberal,Female,45-54,Hispanic
54,NA,NA,NA,NA,NA,NA,1,3,NA,NA,------13--,0,Social security,No quote,No issue,Strong Democrat,Moderate,Female,25-34,White/Caucasian
55,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,0,Environment,No quote,No issue,Strong Democrat,Liberal,Female,25-34,Asian
56,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,8,Education,We win,3rd issue,Independent,Liberal,Female,25-34,Asian
57,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-1--------,2,Health care,We win,No issue,Strong Republican,Conservative,Male,25-34,White/Caucasian
58,NA,NA,3,NA,NA,1,NA,NA,NA,NA,--3--1----,8,Education,We win,3rd issue,Weak Democrat,Moderate,Female,18-24,Hispanic
59,NA,NA,3,NA,NA,1,NA,NA,NA,NA,--3--1----,1,Education,They lose,No issue,Independent,Moderate,Female,35-44,White/Caucasian
60,NA,NA,NA,NA,NA,1,NA,NA,3,NA,-----1--3-,4,Immigration,They lose,Top issue,Independent,Conservative,Female,35-44,White/Caucasian
61,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,5,National security,We win,Top issue,Independent,Moderate,Male,18-24,Native American
62,NA,NA,NA,NA,1,NA,NA,NA,3,NA,----1---3-,7,Terrorism,They lose,3rd issue,Independent,Liberal,Female,45-54,Hispanic
