unit,recipientgovernment,internationalorganization,internationalngos,localngos,privatesector,ranking,treat,pe
1,3,NA,NA,NA,NA,3----,1,1
2,1,NA,NA,NA,NA,1----,2,1
3,1,NA,NA,NA,NA,1----,3,1
4,5,NA,NA,NA,NA,5----,1,1
5,2,NA,NA,NA,NA,2----,2,1
6,2,NA,NA,NA,NA,2----,3,1
7,5,NA,NA,NA,NA,5----,1,1
8,1,NA,NA,NA,NA,1----,2,1
9,4,NA,NA,NA,NA,4----,3,1
10,5,NA,NA,NA,NA,5----,1,1
11,3,NA,NA,NA,NA,3----,2,1
12,2,NA,NA,NA,NA,2----,3,1
13,5,NA,NA,NA,NA,5----,1,1
14,2,NA,NA,NA,NA,2----,2,1
15,2,NA,NA,NA,NA,2----,3,1
16,5,NA,NA,NA,NA,5----,1,1
17,2,NA,NA,NA,NA,2----,2,1
18,4,NA,NA,NA,NA,4----,3,1
19,5,NA,NA,NA,NA,5----,1,1
20,4,NA,NA,NA,NA,4----,2,1
21,2,NA,NA,NA,NA,2----,3,1
22,5,NA,NA,NA,NA,5----,1,1
23,5,NA,NA,NA,NA,5----,2,1
24,5,NA,NA,NA,NA,5----,3,1
25,5,NA,NA,NA,NA,5----,1,1
26,3,NA,NA,NA,NA,3----,2,1
27,3,NA,NA,NA,NA,3----,3,1
28,5,NA,NA,NA,NA,5----,1,1
29,1,NA,NA,NA,NA,1----,2,1
30,2,NA,NA,NA,NA,2----,3,1
31,5,NA,NA,NA,NA,5----,1,1
32,4,NA,NA,NA,NA,4----,2,1
33,3,NA,NA,NA,NA,3----,3,1
34,5,NA,NA,NA,NA,5----,1,0
35,5,NA,NA,NA,NA,5----,2,0
36,5,NA,NA,NA,NA,5----,3,0
37,5,NA,NA,NA,NA,5----,1,0
38,2,NA,NA,NA,NA,2----,2,0
39,5,NA,NA,NA,NA,5----,3,0
40,5,NA,NA,NA,NA,5----,1,0
41,5,NA,NA,NA,NA,5----,2,0
42,5,NA,NA,NA,NA,5----,3,0
43,5,NA,NA,NA,NA,5----,1,0
44,5,NA,NA,NA,NA,5----,2,0
45,5,NA,NA,NA,NA,5----,3,0
46,5,NA,NA,NA,NA,5----,1,0
47,4,NA,NA,NA,NA,4----,2,0
48,4,NA,NA,NA,NA,4----,3,0
49,5,NA,NA,NA,NA,5----,1,0
50,3,NA,NA,NA,NA,3----,2,0
51,4,NA,NA,NA,NA,4----,3,0
52,5,NA,NA,NA,NA,5----,1,0
53,5,NA,NA,NA,NA,5----,2,0
54,5,NA,NA,NA,NA,5----,3,0
55,5,NA,NA,NA,NA,5----,1,0
56,5,NA,NA,NA,NA,5----,2,0
57,5,NA,NA,NA,NA,5----,3,0
58,5,NA,NA,NA,NA,5----,1,0
59,5,NA,NA,NA,NA,5----,2,0
60,5,NA,NA,NA,NA,5----,3,0
61,5,NA,NA,NA,NA,5----,1,1
62,5,NA,NA,NA,NA,5----,2,1
63,2,NA,NA,NA,NA,2----,3,1
64,5,NA,NA,NA,NA,5----,1,1
65,3,NA,NA,NA,NA,3----,2,1
66,2,NA,NA,NA,NA,2----,3,1
67,5,NA,NA,NA,NA,5----,1,0
68,1,NA,NA,NA,NA,1----,2,0
69,2,NA,NA,NA,NA,2----,3,0
70,5,NA,NA,NA,NA,5----,1,0
71,5,NA,NA,NA,NA,5----,2,0
