unit,leftist,rightist,quo,ranking,treat,wave,issue
1,3,1,2,312,0,2010,educ
2,3,1,2,312,1,2010,educ
3,3,1,2,312,1,2010,educ
4,2,1,3,213,1,2010,educ
5,3,1,2,312,0,2010,educ
6,1,2,3,123,1,2010,educ
7,1,2,3,123,1,2010,educ
8,3,1,2,312,1,2010,educ
9,1,3,2,132,0,2010,educ
10,3,1,2,312,1,2010,educ
11,3,1,2,312,0,2010,educ
12,3,1,2,312,1,2010,educ
13,1,3,2,132,0,2010,educ
14,3,1,2,312,0,2010,educ
15,3,1,2,312,1,2010,educ
16,1,3,2,132,0,2010,educ
17,2,1,3,213,0,2010,educ
18,1,3,2,132,1,2010,educ
19,1,3,2,132,0,2010,educ
20,3,1,2,312,1,2010,educ
21,2,3,1,231,1,2010,educ
22,1,2,3,123,1,2010,educ
23,3,1,2,312,1,2010,educ
24,1,2,3,123,1,2010,educ
25,3,1,2,312,0,2010,educ
26,1,3,2,132,0,2010,educ
27,3,1,2,312,0,2010,educ
28,3,1,2,312,0,2010,educ
29,1,3,2,132,1,2010,educ
30,3,1,2,312,0,2010,educ
31,1,3,2,132,1,2010,educ
32,3,1,2,312,1,2010,educ
33,3,1,2,312,1,2010,educ
34,3,1,2,312,1,2010,educ
35,1,3,2,132,1,2010,educ
36,3,1,2,312,1,2010,educ
37,3,1,2,312,0,2010,educ
38,3,1,2,312,1,2010,educ
39,3,1,2,312,0,2010,educ
40,3,1,2,312,1,2010,educ
41,1,2,3,123,1,2010,educ
42,1,3,2,132,0,2010,educ
43,3,1,2,312,1,2010,educ
44,3,1,2,312,0,2010,educ
45,1,3,2,132,0,2010,educ
46,1,3,2,132,1,2010,educ
47,3,1,2,312,1,2010,educ
48,3,2,1,321,1,2010,educ
49,1,3,2,132,1,2010,educ
50,1,3,2,132,1,2010,educ
51,3,1,2,312,1,2010,educ
52,3,1,2,312,0,2010,educ
53,1,3,2,132,1,2010,educ
54,3,1,2,312,0,2010,educ
55,1,3,2,132,1,2010,educ
56,3,1,2,312,1,2010,educ
57,1,2,3,123,0,2010,educ
58,3,1,2,312,1,2010,educ
59,3,1,2,312,0,2010,educ
60,2,3,1,231,1,2010,educ
61,1,2,3,123,1,2010,educ
62,2,3,1,231,1,2010,educ
63,1,3,2,132,0,2010,educ
64,3,1,2,312,0,2010,educ
65,3,1,2,312,0,2010,educ
66,1,3,2,132,1,2010,educ
67,3,1,2,312,1,2010,educ
68,3,1,2,312,1,2010,educ
69,3,1,2,312,1,2010,educ
70,1,3,2,132,0,2010,educ
71,1,3,2,132,1,2010,educ
72,1,3,2,132,1,2010,educ
73,3,1,2,312,0,2010,educ
74,1,3,2,132,1,2010,educ
75,3,2,1,321,1,2010,educ
76,1,3,2,132,1,2010,educ
77,3,1,2,312,0,2010,educ
78,3,1,2,312,0,2010,educ
79,3,2,1,321,0,2010,educ
80,3,1,2,312,0,2010,educ
81,3,1,2,312,0,2010,educ
82,1,3,2,132,0,2010,educ
83,1,3,2,132,0,2010,educ
84,3,1,2,312,0,2010,educ
85,1,3,2,132,0,2010,educ
86,2,1,3,213,0,2010,educ
87,3,1,2,312,0,2010,educ
88,3,1,2,312,1,2010,educ
89,3,2,1,321,1,2010,educ
90,1,3,2,132,0,2010,educ
91,1,3,2,132,0,2010,educ
92,1,3,2,132,0,2010,educ
93,3,1,2,312,0,2010,educ
94,1,3,2,132,0,2010,educ
95,3,1,2,312,0,2010,educ
96,3,1,2,312,0,2010,educ
97,1,3,2,132,0,2010,educ
98,3,1,2,312,0,2010,educ
99,3,1,2,312,0,2010,educ
100,1,3,2,132,0,2010,educ
101,3,1,2,312,1,2010,educ
102,3,1,2,312,1,2010,educ
103,3,1,2,312,0,2010,educ
104,1,3,2,132,0,2010,educ
105,1,3,2,132,0,2010,educ
106,1,2,3,123,1,2010,educ
107,3,1,2,312,0,2010,educ
108,1,3,2,132,0,2010,educ
109,2,3,1,231,0,2010,educ
110,3,1,2,312,0,2010,educ
111,2,1,3,213,1,2010,educ
112,2,1,3,213,0,2010,educ
113,2,1,3,213,0,2010,educ
114,1,3,2,132,1,2010,educ
115,1,3,2,132,1,2010,educ
116,3,1,2,312,0,2010,educ
117,3,1,2,312,0,2010,educ
118,3,1,2,312,1,2010,educ
119,1,2,3,123,1,2010,educ
120,3,1,2,312,1,2010,educ
121,3,1,2,312,1,2010,educ
122,3,1,2,312,0,2010,educ
123,1,2,3,123,1,2010,educ
124,1,3,2,132,1,2010,educ
125,1,3,2,132,1,2010,educ
126,3,1,2,312,0,2010,educ
127,3,1,2,312,1,2010,educ
128,3,1,2,312,0,2010,educ
129,2,3,1,231,0,2010,educ
130,3,1,2,312,0,2010,educ
131,1,3,2,132,1,2010,educ
132,3,1,2,312,1,2010,educ
133,1,3,2,132,0,2010,educ
134,3,1,2,312,1,2010,educ
135,1,3,2,132,0,2010,educ
136,3,1,2,312,1,2010,educ
137,3,1,2,312,0,2010,educ
138,1,3,2,132,0,2010,educ
139,3,1,2,312,0,2010,educ
140,3,1,2,312,1,2010,educ
141,3,1,2,312,1,2010,educ
142,3,1,2,312,1,2010,educ
143,3,1,2,312,1,2010,educ
144,1,3,2,132,0,2010,educ
145,1,2,3,123,1,2010,educ
146,1,3,2,132,1,2010,educ
147,1,3,2,132,1,2010,educ
148,1,2,3,123,0,2010,educ
149,3,2,1,321,0,2010,educ
150,1,3,2,132,0,2010,educ
151,3,1,2,312,0,2010,educ
152,2,1,3,213,0,2010,educ
153,3,1,2,312,0,2010,educ
154,1,3,2,132,0,2010,educ
155,1,3,2,132,1,2010,educ
156,3,1,2,312,0,2010,educ
157,1,3,2,132,0,2010,educ
158,1,2,3,123,0,2010,educ
159,1,2,3,123,1,2010,educ
160,1,3,2,132,1,2010,educ
161,1,3,2,132,0,2010,educ
162,3,1,2,312,0,2010,educ
163,1,3,2,132,1,2010,educ
164,2,1,3,213,1,2010,educ
165,3,1,2,312,1,2010,educ
166,3,1,2,312,1,2010,educ
167,1,2,3,123,1,2010,educ
168,3,1,2,312,0,2010,educ
169,1,3,2,132,0,2010,educ
170,1,2,3,123,0,2010,educ
171,2,3,1,231,0,2010,educ
172,1,3,2,132,1,2010,educ
173,1,3,2,132,1,2010,educ
174,2,1,3,213,0,2010,educ
175,3,1,2,312,0,2010,educ
176,1,3,2,132,0,2010,educ
177,3,1,2,312,1,2010,educ
178,3,1,2,312,1,2010,educ
179,3,1,2,312,0,2010,educ
180,2,3,1,231,1,2010,educ
181,3,1,2,312,1,2010,educ
182,1,3,2,132,1,2010,educ
183,3,1,2,312,0,2010,educ
184,3,1,2,312,1,2010,educ
185,1,3,2,132,1,2010,educ
186,3,1,2,312,0,2010,educ
187,1,3,2,132,0,2010,educ
188,3,1,2,312,0,2010,educ
189,1,2,3,123,0,2010,educ
190,3,1,2,312,0,2010,educ
191,3,1,2,312,0,2010,educ
192,2,1,3,213,0,2010,educ
193,2,3,1,231,0,2010,educ
194,1,3,2,132,0,2010,educ
195,3,1,2,312,1,2010,educ
196,3,1,2,312,0,2010,educ
197,1,3,2,132,0,2010,educ
198,3,1,2,312,0,2010,educ
199,3,1,2,312,0,2010,educ
200,3,1,2,312,0,2010,educ
201,2,1,3,213,1,2010,educ
202,1,2,3,123,0,2010,educ
203,3,1,2,312,1,2010,educ
204,1,3,2,132,1,2010,educ
205,1,3,2,132,0,2010,educ
206,3,1,2,312,1,2010,educ
207,1,3,2,132,0,2010,educ
208,2,1,3,213,0,2010,educ
209,3,1,2,312,0,2010,educ
210,1,3,2,132,1,2010,educ
211,1,2,3,123,0,2010,educ
212,3,1,2,312,0,2010,educ
213,1,3,2,132,1,2010,educ
214,1,3,2,132,1,2010,educ
215,1,3,2,132,0,2010,educ
216,1,2,3,123,0,2010,educ
217,3,1,2,312,1,2010,educ
218,2,3,1,231,1,2010,educ
219,1,3,2,132,0,2010,educ
220,3,1,2,312,1,2010,educ
221,2,3,1,231,1,2010,educ
222,2,1,3,213,0,2010,educ
223,3,1,2,312,1,2010,educ
224,1,3,2,132,0,2010,educ
225,3,1,2,312,0,2010,educ
226,3,1,2,312,0,2010,educ
227,2,3,1,231,1,2010,educ
228,3,1,2,312,0,2010,educ
229,1,3,2,132,1,2010,educ
230,2,1,3,213,1,2010,educ
231,3,2,1,321,1,2010,educ
232,3,1,2,312,0,2010,educ
233,1,2,3,123,1,2010,educ
234,1,3,2,132,0,2010,educ
235,1,2,3,123,0,2010,educ
236,3,1,2,312,0,2010,educ
237,3,2,1,321,0,2010,educ
238,1,2,3,123,0,2010,educ
239,1,3,2,132,1,2010,educ
240,1,2,3,123,1,2010,educ
241,3,1,2,312,1,2010,educ
242,3,1,2,312,1,2010,educ
243,1,3,2,132,0,2010,educ
244,3,1,2,312,0,2010,educ
245,3,1,2,312,0,2010,educ
246,1,3,2,132,1,2010,educ
247,3,1,2,312,1,2010,educ
248,3,1,2,312,0,2010,educ
249,3,1,2,312,1,2010,educ
250,3,1,2,312,1,2010,educ
251,3,1,2,312,0,2010,educ
252,1,3,2,132,1,2010,educ
253,1,2,3,123,1,2010,educ
254,3,1,2,312,0,2010,educ
255,1,3,2,132,0,2010,educ
256,1,2,3,123,1,2010,educ
257,3,1,2,312,1,2010,educ
258,1,2,3,123,1,2010,educ
259,3,1,2,312,1,2010,educ
260,1,3,2,132,1,2010,educ
261,2,1,3,213,0,2010,educ
262,3,2,1,321,0,2010,educ
263,3,1,2,312,1,2010,educ
264,3,1,2,312,0,2010,educ
265,1,3,2,132,0,2010,educ
266,3,1,2,312,1,2010,educ
267,1,3,2,132,1,2010,educ
268,1,3,2,132,0,2010,educ
269,3,1,2,312,1,2010,educ
270,3,1,2,312,1,2010,educ
271,3,1,2,312,0,2010,educ
272,1,2,3,123,0,2010,educ
273,3,1,2,312,0,2010,educ
274,3,1,2,312,1,2010,educ
275,3,1,2,312,0,2010,educ
276,3,2,1,321,0,2010,educ
277,3,1,2,312,1,2010,educ
278,2,3,1,231,1,2010,educ
279,3,1,2,312,1,2010,educ
280,3,1,2,312,0,2010,educ
281,3,1,2,312,0,2010,educ
282,3,1,2,312,1,2010,educ
283,3,1,2,312,1,2010,educ
284,3,1,2,312,0,2010,educ
285,3,1,2,312,0,2010,educ
286,2,1,3,213,0,2010,educ
