unit,defense,economicdevelopment,socialstability,democracy,corruption,incomeinequality,environment,ranking,treat,historical,powerful,valuable,island,age,income,han,male,eastern,central,rural,college,soe,ccp,socialstatus,news
1,2,NA,NA,NA,NA,NA,NA,2------,1,1,0,0,0,41,6,1,1,1,0,0,1,0,0,5,2
2,5,NA,NA,NA,NA,NA,NA,5------,14,0,1,1,1,40,3,1,1,1,0,0,1,0,0,5,3
3,6,NA,NA,NA,NA,NA,NA,6------,13,1,0,1,1,22,2,1,0,0,1,0,1,0,0,5,3
4,2,NA,NA,NA,NA,NA,NA,2------,1,1,0,0,0,34,4,1,1,1,0,1,0,0,0,1,3
5,7,NA,NA,NA,NA,NA,NA,7------,2,0,1,0,0,23,2,1,0,1,0,1,1,0,0,7,4
6,6,NA,NA,NA,NA,NA,NA,6------,8,0,0,0,1,42,2,1,1,0,1,0,0,1,0,5,2
7,2,NA,NA,NA,NA,NA,NA,2------,6,0,1,1,0,31,NA,1,1,0,0,0,0,0,0,6,1
8,2,NA,NA,NA,NA,NA,NA,2------,13,1,0,1,1,40,6,1,1,1,0,0,1,0,0,6,2
9,3,NA,NA,NA,NA,NA,NA,3------,12,0,0,1,1,29,6,1,0,1,0,0,1,0,0,4,3
10,5,NA,NA,NA,NA,NA,NA,5------,7,1,1,1,0,34,6,1,1,1,0,0,1,1,0,7,3
11,6,NA,NA,NA,NA,NA,NA,6------,1,1,0,0,0,36,3,1,0,1,0,0,0,1,0,6,4
12,7,NA,NA,NA,NA,NA,NA,7------,8,0,0,0,1,46,4,1,1,1,0,0,0,0,1,6,2
13,3,NA,NA,NA,NA,NA,NA,3------,3,1,1,0,0,27,3,1,0,1,0,1,1,0,0,7,3
14,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,41,6,1,1,1,0,0,1,0,0,7,4
15,7,NA,NA,NA,NA,NA,NA,7------,10,0,1,0,1,35,1,1,1,1,0,0,1,0,0,3,4
16,4,NA,NA,NA,NA,NA,NA,4------,6,0,1,1,0,44,5,1,1,1,0,0,0,1,0,3,2
17,1,NA,NA,NA,NA,NA,NA,1------,7,1,1,1,0,34,4,1,1,1,0,0,0,0,0,5,3
18,2,NA,NA,NA,NA,NA,NA,2------,0,0,0,0,0,35,4,1,0,1,0,0,1,1,0,3,3
19,7,NA,NA,NA,NA,NA,NA,7------,5,1,0,1,0,28,5,1,1,0,0,0,1,0,0,5,3
20,4,NA,NA,NA,NA,NA,NA,4------,6,0,1,1,0,33,5,1,0,1,0,0,1,0,1,5,3
21,1,NA,NA,NA,NA,NA,NA,1------,2,0,1,0,0,37,7,1,1,1,0,0,0,0,0,7,2
22,1,NA,NA,NA,NA,NA,NA,1------,4,0,0,1,0,65,1,1,1,0,0,0,1,0,0,3,4
23,7,NA,NA,NA,NA,NA,NA,7------,3,1,1,0,0,46,4,1,1,1,0,0,1,1,0,5,3
24,2,NA,NA,NA,NA,NA,NA,2------,4,0,0,1,0,34,5,1,1,1,0,0,1,0,0,7,3
25,2,NA,NA,NA,NA,NA,NA,2------,8,0,0,0,1,50,2,1,0,1,0,0,0,0,0,3,3
26,4,NA,NA,NA,NA,NA,NA,4------,9,1,0,0,1,39,6,1,1,1,0,0,1,0,1,7,3
27,6,NA,NA,NA,NA,NA,NA,6------,3,1,1,0,0,25,3,1,0,1,0,0,1,0,0,3,2
28,7,NA,NA,NA,NA,NA,NA,7------,9,1,0,0,1,39,3,1,0,1,0,0,1,0,0,6,3
29,2,NA,NA,NA,NA,NA,NA,2------,15,1,1,1,1,24,1,1,0,0,1,1,1,1,0,6,3
30,5,NA,NA,NA,NA,NA,NA,5------,5,1,0,1,0,34,3,1,1,1,0,0,0,0,0,5,3
31,7,NA,NA,NA,NA,NA,NA,7------,11,1,1,0,1,46,4,1,0,1,0,0,1,0,0,6,2
32,7,NA,NA,NA,NA,NA,NA,7------,14,0,1,1,1,38,4,1,1,1,0,0,1,1,0,3,4
33,5,NA,NA,NA,NA,NA,NA,5------,14,0,1,1,1,37,4,1,0,1,0,0,1,0,0,3,3
34,1,NA,NA,NA,NA,NA,NA,1------,5,1,0,1,0,35,6,1,0,1,0,0,1,0,0,5,3
35,3,NA,NA,NA,NA,NA,NA,3------,4,0,0,1,0,35,4,1,0,1,0,0,1,0,1,4,3
36,1,NA,NA,NA,NA,NA,NA,1------,9,1,0,0,1,36,5,1,0,1,0,1,0,0,0,6,4
37,3,NA,NA,NA,NA,NA,NA,3------,1,1,0,0,0,61,3,1,1,1,0,0,0,0,0,4,3
38,5,NA,NA,NA,NA,NA,NA,5------,2,0,1,0,0,34,3,1,1,1,0,0,0,0,0,5,3
39,1,NA,NA,NA,NA,NA,NA,1------,11,1,1,0,1,36,4,1,0,1,0,0,0,0,0,4,4
40,7,NA,NA,NA,NA,NA,NA,7------,2,0,1,0,0,40,3,1,1,1,0,0,1,1,0,9,4
41,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,35,4,1,0,1,0,0,1,1,0,8,3
42,7,NA,NA,NA,NA,NA,NA,7------,13,1,0,1,1,28,4,1,0,1,0,0,0,0,0,4,4
43,7,NA,NA,NA,NA,NA,NA,7------,11,1,1,0,1,36,4,1,0,1,0,1,0,0,0,6,3
