unit,budgetfunding,teacherquality,learninggains,achievementgaps,commoncore,ranking,treat,teacher,avghispgap,avgblkgap
1,1,3,5,4,2,13542,1,0,20.75,16.899999618530273
2,NA,3,2,5,4,-3254,0,0,37.30000305175781,NA
3,3,1,2,5,4,31254,0,1,18.549999237060547,24.399999618530273
4,2,3,1,5,4,23154,1,0,24.35000228881836,NA
5,5,3,2,4,1,53241,0,0,22.649999618530273,30.350000381469727
6,2,3,5,4,1,23541,1,1,30.950000762939453,15.799999237060549
7,4,3,1,2,5,43125,0,0,21.44999885559082,15.299999237060549
8,3,4,1,5,2,34152,0,0,14.94999885559082,19.099998474121097
9,4,3,5,2,1,43521,NA,0,17.10000228881836,27.55000114440918
10,1,2,3,5,4,12354,0,0,20.94999885559082,24.349998474121097
11,5,3,4,1,2,53412,0,0,16.549997329711914,20.749998092651367
12,1,2,4,5,3,12453,1,0,17.05000114440918,15.450000762939451
13,3,1,2,4,5,31245,1,0,17.799997329711914,NA
14,4,5,3,1,2,45312,NA,0,5.149999618530273,NA
15,3,5,1,4,2,35142,NA,0,32.599998474121094,37.749996185302734
16,3,5,1,2,4,35124,0,1,32.19999694824219,33.75
17,1,2,3,5,4,12354,0,0,11.549999237060549,19.149999618530273
18,5,1,2,3,4,51234,0,0,24.35000228881836,NA
19,4,3,1,5,2,43152,1,0,32.599998474121094,37.749996185302734
20,5,1,3,4,2,51342,0,0,5.100000381469727,-0.7999992370605469
21,4,2,1,3,5,42135,0,0,24,21.299999237060547
22,3,2,1,5,4,32154,0,0,8.85000228881836,21.35000228881836
23,3,5,2,4,1,35241,1,0,11.450000762939451,15.700000762939451
24,4,3,1,2,5,43125,0,0,18.80000114440918,12.55000114440918
25,2,3,5,4,1,23541,1,0,27.80000114440918,20.599998474121097
26,3,2,1,5,4,32154,1,0,19.700000762939453,12.80000114440918
27,2,1,NA,NA,3,21--3,1,0,31.149999618530273,23.899999618530273
28,2,5,1,4,3,25143,1,0,14.94999885559082,19.099998474121097
29,4,3,1,2,5,43125,0,1,12.19999885559082,18.39999771118164
30,5,2,3,1,4,52314,0,0,35.900001525878906,28.399999618530273
31,4,3,2,1,5,43215,0,0,24.30000114440918,20.65000343322754
32,1,4,3,5,2,14352,1,0,5.149999618530273,NA
33,3,5,4,2,1,35421,1,0,20.150001525878903,15.10000228881836
34,2,4,3,5,1,24351,1,0,13.250001907348633,7.250003814697266
35,5,1,3,2,4,51324,1,1,24.30000114440918,20.65000343322754
36,5,4,NA,NA,3,54--3,1,1,38.650001525878906,NA
37,NA,NA,NA,NA,1,----1,0,1,28.850000381469727,32.099998474121094
38,5,2,1,4,3,52143,1,0,12.19999885559082,18.39999771118164
39,2,NA,3,1,NA,2-31-,0,0,28.450000762939453,19.400001525878903
40,1,2,3,4,5,12345,1,0,10.899999618530272,20.099998474121097
41,1,2,3,4,5,12345,1,1,18,19.05000114440918
42,1,NA,NA,NA,2,1---2,1,0,18.500001907348633,14.700002670288086
43,4,3,2,1,5,43215,0,0,24.35000228881836,NA
44,2,4,1,5,3,24153,0,1,11.450000762939451,15.700000762939451
45,4,3,2,5,1,43251,1,0,17.100000381469727,15.5
46,NA,5,NA,NA,NA,-5---,0,0,16.749998092651367,22.499998092651367
47,2,3,1,NA,NA,231--,0,0,15.049997329711914,15.949996948242188
48,1,5,4,2,3,15423,0,0,14.44999885559082,NA
49,5,3,1,2,4,53124,0,1,18.80000114440918,24.75
50,4,3,2,5,1,43251,1,1,16.5,23.80000114440918
51,3,1,2,5,4,31254,1,0,18.100000381469727,NA
