unit,self,hindu,muslim,ranking,treat,gender,age,state,city,urbanrural,castecategory,caste,schooltype,education,state_sec,year_grad,educationhigh,interest_pol,round,comp,comp2
1,1,2,3,123,2,1,30,27,1,5,1,1,1,17,27,2013,1,3,1,1,1
2,1,2,3,123,2,1,31,27,0,2,3,1,2,17,27,2011,1,4,1,1,1
3,1,2,3,123,0,0,21,27,1,5,4,0,1,13,27,2018,0,3,1,1,1
4,2,1,3,213,0,0,25,24,0,3,6,0,12,17,24,2016,1,1,1,1,1
5,3,1,2,312,0,0,33,9,1,5,7,0,1,17,9,2005,1,2,1,1,1
6,1,3,2,132,2,0,29,27,1,5,6,0,1,16,27,2010,1,2,1,1,1
7,1,3,2,132,2,1,33,27,0,3,7,0,13,16,27,2002,1,3,1,1,1
8,3,2,1,321,1,0,22,24,1,4,7,0,1,16,9,2013,1,3,1,1,1
9,1,2,3,123,0,1,26,27,1,5,6,0,23,17,27,2010,1,3,1,1,1
10,1,3,2,132,2,1,40,27,1,4,7,0,1,17,19,2002,1,4,1,1,1
11,1,3,2,132,1,1,26,27,1,4,6,0,2,16,27,2010,1,3,1,1,1
12,1,3,2,132,0,1,24,27,1,5,6,0,1,17,27,2015,1,4,1,1,1
13,1,2,3,123,2,1,43,27,1,5,1,1,1,16,29,1995,1,3,1,1,1
14,1,2,3,123,1,0,35,5,1,5,6,0,2,17,5,2005,1,1,1,1,1
15,1,2,3,123,2,0,31,27,1,5,6,0,2,17,27,2006,1,3,1,1,1
16,1,2,3,123,0,1,33,5,1,5,6,0,2,16,5,2016,1,3,1,1,1
17,1,3,2,132,0,1,36,27,1,5,3,1,1,17,27,2004,1,4,1,1,1
18,1,3,2,132,1,1,32,5,1,5,6,0,1,17,5,2019,1,4,1,1,1
19,1,3,2,132,2,0,20,5,1,4,6,0,1,13,5,2020,0,2,1,1,1
20,3,2,1,321,2,0,34,27,1,5,6,0,1,17,27,2016,1,3,1,1,1
21,1,3,2,132,1,1,19,27,0,3,6,0,1,15,27,2019,1,3,1,1,1
22,2,1,3,213,2,1,33,5,1,5,6,0,1,16,5,2010,1,3,1,1,1
23,1,2,3,123,1,1,35,5,1,5,3,1,1,16,5,2007,1,3,1,1,1
24,2,1,3,213,0,1,36,27,1,5,3,1,1,17,27,2004,1,4,1,1,1
25,1,2,3,123,1,1,31,27,1,5,6,0,2,16,19,2007,1,2,1,1,1
26,1,2,3,123,0,1,35,5,1,5,6,0,1,17,5,2010,1,4,1,1,1
27,3,1,2,312,2,1,33,27,0,1,6,0,123,13,27,2003,0,4,1,1,1
28,1,3,2,132,0,1,30,27,1,5,1,1,3,17,27,2017,1,3,1,1,1
29,1,2,3,123,1,1,30,5,1,5,6,0,1,17,5,2008,1,4,1,1,1
30,1,2,3,123,0,1,39,27,1,5,3,1,NA,9,NA,NA,0,3,1,1,1
31,1,3,2,132,0,0,20,5,1,4,6,0,1,13,5,2020,0,2,1,1,1
32,1,3,2,132,1,1,32,5,0,2,6,0,1,16,5,2005,1,3,1,1,1
33,1,3,2,132,2,1,34,5,1,4,6,0,12,17,5,2001,1,1,1,1,1
34,1,2,3,123,2,0,29,27,1,5,6,0,1,16,27,2010,1,4,1,1,1
35,2,1,3,213,2,1,31,27,1,5,3,1,1,16,27,2012,1,3,1,1,1
36,1,3,2,132,2,1,26,9,1,4,6,0,1,17,9,2019,1,3,1,1,1
37,1,2,3,123,0,1,28,5,1,5,6,0,1,16,5,2009,1,4,1,1,1
38,1,2,3,123,2,1,25,27,1,5,6,0,1,16,27,2008,1,3,1,1,1
39,1,2,3,123,2,0,29,5,1,5,6,0,2,16,5,2010,1,2,1,1,1
40,1,3,2,132,2,0,40,27,1,5,6,0,2,17,27,2005,1,4,1,1,1
41,1,3,2,132,0,0,25,5,1,5,1,1,1,17,5,2017,1,4,1,1,1
