unit,federaldebt,unemployment,ineq,health,immigration,ethics,ranking,treat,import,male,income,education,nonwhite,female,partyid,personal,value,suffer,happy,health_rank1,healthexpenses,dem_rep,age
1,NA,NA,5,4,NA,NA,--54--,0,0.5,1,2,3,1,0,0.1599999964237213,0.5,0.5,0.5,0.5,0,0,0,6
2,NA,NA,2,1,NA,NA,--21--,0,1,0,4,2,1,1,0,1,1,1,1,1,1,0,5
3,NA,NA,4,2,NA,NA,--42--,0,0,0,3,2,1,1,0.8399999737739563,0.5,1,1,1,0,0,1,6
4,NA,NA,6,5,NA,NA,--65--,0,0.5,1,10,6,1,0,0,0.5,0.33000001311302185,0.5,0.33000001311302185,0,0,0,5
5,NA,NA,6,2,NA,NA,--62--,0,NA,0,4,5,1,1,0,0.75,0.8399999737739563,0.8399999737739563,0.8399999737739563,0,1,0,6
6,NA,NA,3,4,NA,NA,--34--,0,0.5,1,6,6,0,0,0.5,0.5,0.5,0.5,0.5,0,NA,NA,6
7,NA,NA,5,2,NA,NA,--52--,0,1,1,5,5,1,0,0,1,0.6700000166893005,0.6700000166893005,0.5,0,1,0,4
8,NA,NA,4,1,NA,NA,--41--,0,0.75,1,13,5,1,0,0.6700000166893005,1,0.8399999737739563,0.8399999737739563,0.6700000166893005,1,1,NA,4
9,NA,NA,3,1,NA,NA,--31--,0,1,0,2,4,0,1,1,1,0.8399999737739563,1,0.8399999737739563,1,1,1,3
10,NA,NA,4,2,NA,NA,--42--,0,0.75,1,5,6,1,0,0.1599999964237213,0.75,0.6700000166893005,0.6700000166893005,0.6700000166893005,0,1,0,7
11,NA,NA,4,5,NA,NA,--45--,0,0.5,0,3,2,1,1,0.8399999737739563,0.75,0.6700000166893005,1,1,0,0,1,3
12,NA,NA,1,2,NA,NA,--12--,0,0.25,1,2,3,1,0,1,0.25,0.6700000166893005,0.8399999737739563,0.6700000166893005,0,1,1,6
13,NA,NA,5,4,NA,NA,--54--,0,0.75,0,3,3,1,1,0.8399999737739563,0.75,0.6700000166893005,0.6700000166893005,0.6700000166893005,0,1,1,5
14,NA,NA,6,5,NA,NA,--65--,0,0.75,1,4,6,1,0,0.33000001311302185,0.25,0,0,0,0,0,NA,8
15,NA,NA,2,1,NA,NA,--21--,0,0.75,0,4,1,1,1,0.5,1,0.6700000166893005,0.6700000166893005,0.6700000166893005,1,1,NA,3
16,NA,NA,6,1,NA,NA,--61--,0,1,0,2,2,1,1,0,1,1,1,1,1,1,0,5
17,NA,NA,4,3,NA,NA,--43--,0,0.75,1,5,5,1,0,0.1599999964237213,0.75,1,1,1,0,1,0,3
18,NA,NA,5,4,NA,NA,--54--,0,0.5,1,8,6,0,0,0.33000001311302185,0.5,0.5,0.8399999737739563,0.6700000166893005,0,1,NA,3
19,NA,NA,NA,NA,NA,NA,------,0,0.5,1,3,5,1,0,0.8399999737739563,0.5,0.5,1,0.6700000166893005,NA,0,1,3
