unit,federaldebt,unemployment,ineq,health,immigration,ethics,ranking,treat,import,male,income,education,nonwhite,female,partyid,personal,value,suffer,happy,health_rank1,healthexpenses,dem_rep,age
1,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
3,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
4,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
5,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
6,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
7,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
8,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
9,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
10,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
11,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
12,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
13,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
14,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
15,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
16,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
17,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
18,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
19,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
20,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
21,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
22,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
23,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
24,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
25,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
26,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
27,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
28,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
29,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
30,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
31,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
32,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
33,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
34,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
35,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
36,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
37,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
38,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
39,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
40,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
41,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
42,NA,NA,NA,NA,NA,NA,------,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
43,NA,NA,5,4,NA,NA,--54--,0,0.5,1,2,3,1,0,0.1599999964237213,0.5,0.5,0.5,0.5,0,0,0,6
44,NA,NA,2,1,NA,NA,--21--,0,1,0,4,2,1,1,0,1,1,1,1,1,1,0,5
45,NA,NA,4,2,NA,NA,--42--,0,0,0,3,2,1,1,0.8399999737739563,0.5,1,1,1,0,0,1,6
46,NA,NA,6,5,NA,NA,--65--,0,0.5,1,10,6,1,0,0,0.5,0.33000001311302185,0.5,0.33000001311302185,0,0,0,5
47,NA,NA,6,2,NA,NA,--62--,0,NA,0,4,5,1,1,0,0.75,0.8399999737739563,0.8399999737739563,0.8399999737739563,0,1,0,6
48,NA,NA,3,4,NA,NA,--34--,0,0.5,1,6,6,0,0,0.5,0.5,0.5,0.5,0.5,0,NA,NA,6
49,NA,NA,5,2,NA,NA,--52--,0,1,1,5,5,1,0,0,1,0.6700000166893005,0.6700000166893005,0.5,0,1,0,4
