unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
1,7,2,1,6,5,4,3,7216543,0,2,0,59,3,4,3
2,2,4,1,3,7,5,6,2413756,1,1,1,78,3,4,3
3,6,1,3,4,5,2,7,6134527,1,2,0,42,1,7,3
4,5,2,1,3,6,7,4,5213674,0,1,1,58,2,6,3
5,6,5,1,2,4,3,7,6512437,0,1,1,42,6,1,3
6,2,5,1,3,7,6,4,2513764,0,2,0,73,3,2,3
7,2,1,7,5,4,6,3,2175463,0,2,1,52,3,4,3
8,4,2,1,6,3,7,5,4216375,0,2,1,76,4,2,3
9,5,4,2,1,7,3,6,5421736,0,2,1,41,3,4,3
10,2,1,6,5,4,7,3,2165473,1,2,0,66,1,4,3
11,5,3,1,4,7,6,2,5314762,0,2,0,75,2,4,3
12,6,4,1,3,7,5,2,6413752,0,2,0,54,4,4,3
13,2,3,5,4,7,1,6,2354716,1,2,0,68,3,4,3
14,6,1,2,3,7,4,5,6123745,0,2,1,28,7,1,3
15,3,1,7,4,5,2,6,3174526,1,2,0,79,6,5,3
16,7,4,1,3,6,2,5,7413625,0,2,1,61,3,2,3
17,5,3,2,6,1,4,7,5326147,0,1,1,64,3,2,3
18,1,6,2,3,5,7,4,1623574,0,2,0,27,3,2,3
19,3,7,1,2,5,6,4,3712564,0,1,1,71,3,6,3
20,2,5,3,1,6,4,7,2531647,1,1,0,60,3,2,3
21,6,3,4,5,2,1,7,6345217,0,2,1,77,4,2,3
22,5,4,7,6,3,1,2,5476312,0,1,0,56,6,7,3
23,4,6,1,2,5,3,7,4612537,0,1,0,41,1,4,3
24,4,3,1,2,6,5,7,4312657,1,1,0,27,6,4,3
25,2,5,7,3,4,1,6,2573416,0,2,1,29,4,3,3
26,7,4,1,3,5,2,6,7413526,0,1,1,71,3,2,3
27,5,2,1,7,3,4,6,5217346,0,2,0,39,3,4,3
28,3,2,1,5,6,4,7,3215647,1,2,0,53,2,2,3
29,2,6,7,4,3,1,5,2674315,0,2,1,42,7,5,3
30,4,2,1,3,5,7,6,4213576,0,2,1,63,3,4,3
31,4,2,1,5,7,3,6,4215736,1,2,1,27,4,2,3
32,6,2,1,3,7,5,4,6213754,0,2,0,62,9,2,3
33,4,3,1,2,7,5,6,4312756,1,2,1,68,4,2,3
34,NA,NA,1,NA,NA,NA,NA,--1----,0,1,1,33,6,4,3
35,5,2,1,3,7,4,6,5213746,1,1,1,86,3,2,3
36,5,2,1,4,7,3,6,5214736,1,2,0,29,5,2,3
37,5,4,1,2,7,6,3,5412763,0,1,1,32,6,2,3
38,5,2,1,3,7,6,4,5213764,0,1,1,45,4,1,3
39,4,1,3,2,6,7,5,4132675,1,2,0,46,3,6,3
40,7,5,1,4,3,2,6,7514326,0,1,0,44,3,6,3
41,4,5,1,2,7,3,6,4512736,1,2,0,30,5,2,3
42,4,3,1,2,7,5,6,4312756,1,1,1,68,3,4,3
43,4,5,1,2,7,3,6,4512736,1,2,1,53,4,4,3
44,2,4,5,6,7,1,3,2456713,0,2,1,21,6,4,3
45,3,2,1,5,7,4,6,3215746,1,1,1,46,6,1,3
46,6,2,1,3,5,7,4,6213574,1,2,0,69,2,4,3
47,5,4,1,3,7,6,2,5413762,0,2,0,37,3,4,3
