unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
1,7,2,1,6,5,4,3,7216543,0,2,0,59,3,4,3
2,2,1,3,4,5,7,6,2134576,1,2,0,78,3,4,3
3,5,2,1,3,6,7,4,5213674,0,1,1,58,2,6,3
4,3,2,1,7,5,6,4,3217564,1,2,1,62,7,4,3
5,6,5,1,2,4,3,7,6512437,0,1,1,42,6,1,3
6,2,5,1,3,7,6,4,2513764,0,2,0,73,3,2,3
7,2,1,7,5,4,6,3,2175463,0,2,1,52,3,4,3
8,4,2,1,6,3,7,5,4216375,0,2,1,76,4,2,3
9,5,4,2,1,7,3,6,5421736,0,2,1,41,3,4,3
10,5,3,1,4,7,6,2,5314762,0,2,0,75,2,4,3
11,6,4,1,3,7,5,2,6413752,0,2,0,54,4,4,3
12,6,1,2,3,7,4,5,6123745,0,2,1,28,7,1,3
13,7,4,1,3,6,2,5,7413625,0,2,1,61,3,2,3
14,5,3,2,6,1,4,7,5326147,0,1,1,64,3,2,3
15,4,2,1,3,7,5,6,4213756,1,1,0,69,2,5,3
16,1,6,2,3,5,7,4,1623574,0,2,0,27,3,2,3
17,3,7,1,2,5,6,4,3712564,0,1,1,71,3,6,3
18,6,1,3,2,7,4,5,6132745,1,2,1,78,4,4,3
19,4,3,7,2,1,5,6,4372156,1,1,1,71,2,5,3
20,6,3,4,5,2,1,7,6345217,0,2,1,77,4,2,3
21,6,1,3,2,7,4,5,6132745,1,2,0,35,3,2,3
22,5,4,7,6,3,1,2,5476312,0,1,0,56,6,7,3
23,4,6,1,2,5,3,7,4612537,0,1,0,41,1,4,3
24,3,2,1,7,6,4,5,3217645,1,2,0,25,3,4,3
25,4,2,1,3,6,7,5,4213675,1,2,1,47,4,4,3
26,2,5,7,3,4,1,6,2573416,0,2,1,29,4,3,3
27,7,4,1,3,5,2,6,7413526,0,1,1,71,3,2,3
28,5,2,1,7,3,4,6,5217346,0,2,0,39,3,4,3
29,2,6,7,4,3,1,5,2674315,0,2,1,42,7,5,3
30,3,4,1,2,7,5,6,3412756,1,1,0,54,4,2,3
31,4,2,1,3,5,7,6,4213576,0,2,1,63,3,4,3
32,6,2,7,3,5,1,4,6273514,1,2,1,34,4,4,3
33,4,2,3,5,7,1,6,4235716,1,1,0,73,4,4,3
34,2,5,7,6,4,1,3,2576413,1,1,0,44,3,4,3
35,6,2,1,3,7,5,4,6213754,0,2,0,62,9,2,3
36,3,2,4,7,6,1,5,3247615,1,2,0,47,3,4,3
37,4,1,7,3,2,5,6,4173256,1,2,0,27,6,3,3
38,1,6,5,7,3,2,4,1657324,1,1,1,27,3,4,3
39,4,2,1,5,6,3,7,4215637,1,2,0,41,7,2,3
40,NA,NA,1,NA,NA,NA,NA,--1----,0,1,1,33,6,4,3
41,5,4,1,2,7,6,3,5412763,0,1,1,32,6,2,3
42,5,2,1,3,7,6,4,5213764,0,1,1,45,4,1,3
43,5,1,2,3,7,4,6,5123746,1,1,0,42,4,5,3
44,4,2,1,3,6,5,7,4213657,1,2,0,47,3,6,3
45,7,5,1,4,3,2,6,7514326,0,1,0,44,3,6,3
46,4,1,2,5,7,3,6,4125736,1,2,1,44,7,3,3
47,2,4,1,3,7,5,6,2413756,1,2,1,23,4,2,3
48,2,4,5,6,7,1,3,2456713,0,2,1,21,6,4,3
49,5,4,1,3,7,6,2,5413762,0,2,0,37,3,4,3
50,3,4,1,2,6,7,5,3412675,1,2,1,52,5,4,3
51,5,2,1,3,6,7,4,5213674,0,1,0,19,2,4,3
52,7,5,1,2,6,4,3,7512643,0,2,0,21,2,4,3
53,7,2,1,6,4,3,5,7216435,0,1,1,50,4,4,3
54,4,3,1,2,6,7,5,4312675,0,2,0,50,1,4,3
55,7,2,1,5,6,4,3,7215643,0,1,0,72,4,4,3
56,4,3,1,5,7,2,6,4315726,1,1,1,47,3,5,3
57,7,5,1,4,3,2,6,7514326,0,2,0,39,3,1,3
58,NA,NA,NA,NA,NA,NA,NA,-------,1,2,1,54,6,3,3
59,5,1,2,3,7,4,6,5123746,0,2,1,69,6,4,3
60,4,2,1,3,6,5,7,4213657,1,2,1,71,3,2,3
61,1,2,4,7,5,3,6,1247536,1,2,1,25,6,2,3
62,3,4,7,2,1,6,5,3472165,0,2,1,27,4,2,3
63,6,4,1,5,7,2,3,6415723,0,1,0,31,8,2,3
64,5,2,1,4,7,3,6,5214736,0,1,1,27,7,2,3
65,6,7,1,5,3,4,2,6715342,0,1,1,28,4,2,3
66,4,1,2,3,6,5,7,4123657,0,1,1,54,7,2,3
67,3,1,5,4,6,2,7,3154627,0,2,0,71,7,3,3
68,5,1,7,6,4,2,3,5176423,1,1,0,18,2,4,3
69,2,4,1,7,5,6,3,2417563,0,1,1,62,1,2,3
70,7,6,1,3,5,4,2,7613542,0,1,1,48,4,4,3
71,3,2,1,4,7,6,5,3214765,1,1,1,42,4,6,3
72,3,1,2,4,6,5,7,3124657,1,2,1,30,7,4,3
73,5,1,3,2,7,4,6,5132746,1,2,0,72,5,4,3
74,4,2,7,3,5,1,6,4273516,1,2,1,47,8,2,3
75,4,1,2,3,5,6,7,4123567,1,2,1,31,6,1,3
76,7,3,1,5,4,6,2,7315462,0,1,0,20,4,4,3
77,2,4,7,1,6,3,5,2471635,0,2,0,43,4,4,3
78,3,2,1,4,6,5,7,3214657,0,1,0,49,4,2,3
79,4,3,1,2,6,5,7,4312657,0,1,1,40,7,4,3
80,3,2,1,7,5,6,4,3217564,1,2,1,52,4,4,3
81,6,2,1,3,5,7,4,6213574,1,2,0,39,6,4,3
82,2,3,1,4,6,5,7,2314657,1,2,1,49,2,2,3
83,4,2,5,1,6,7,3,4251673,1,1,1,34,6,4,3
