unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
1,7,2,1,6,5,4,3,7216543,0,2,0,59,3,4,3
2,7,2,1,3,5,6,4,7213564,1,1,0,20,2,4,3
3,7,2,1,3,6,4,5,7213645,1,1,1,76,3,4,3
4,7,2,1,5,4,6,3,7215463,1,2,0,75,3,4,3
5,5,2,1,3,6,7,4,5213674,0,1,1,58,2,6,3
6,6,5,1,2,4,3,7,6512437,0,1,1,42,6,1,3
7,2,5,1,3,7,6,4,2513764,0,2,0,73,3,2,3
8,NA,NA,NA,NA,NA,NA,NA,-------,1,2,0,57,3,5,3
9,6,3,1,5,7,4,2,6315742,1,1,0,28,2,4,3
10,2,1,7,5,4,6,3,2175463,0,2,1,52,3,4,3
11,4,2,1,6,3,7,5,4216375,0,2,1,76,4,2,3
12,5,4,2,1,7,3,6,5421736,0,2,1,41,3,4,3
13,5,3,1,4,7,6,2,5314762,0,2,0,75,2,4,3
14,6,4,1,3,7,5,2,6413752,0,2,0,54,4,4,3
15,6,1,2,3,7,4,5,6123745,0,2,1,28,7,1,3
16,6,2,1,5,4,7,3,6215473,1,2,1,73,3,4,3
17,7,4,1,3,6,2,5,7413625,0,2,1,61,3,2,3
18,5,3,2,6,1,4,7,5326147,0,1,1,64,3,2,3
19,1,6,2,3,5,7,4,1623574,0,2,0,27,3,2,3
20,3,7,1,2,5,6,4,3712564,0,1,1,71,3,6,3
21,6,3,4,5,2,1,7,6345217,0,2,1,77,4,2,3
22,5,4,7,6,3,1,2,5476312,0,1,0,56,6,7,3
23,6,2,1,3,7,5,4,6213754,1,1,1,56,7,4,3
24,4,6,1,2,5,3,7,4612537,0,1,0,41,1,4,3
25,2,5,7,3,4,1,6,2573416,0,2,1,29,4,3,3
26,7,4,1,3,5,2,6,7413526,0,1,1,71,3,2,3
27,5,2,1,7,3,4,6,5217346,0,2,0,39,3,4,3
28,5,2,1,3,6,7,4,5213674,1,1,0,60,7,3,3
