unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
1,7,2,1,6,5,4,3,7216543,0,2,0,59,3,4,3
2,7,2,1,3,5,6,4,7213564,2,1,0,20,2,4,3
3,2,4,1,3,7,5,6,2413756,3,1,1,78,3,4,3
4,7,2,1,3,6,4,5,7213645,2,1,1,76,3,4,3
5,6,1,3,4,5,2,7,6134527,3,2,0,42,1,7,3
6,2,1,3,4,5,7,6,2134576,1,2,0,78,3,4,3
7,7,2,1,5,4,6,3,7215463,2,2,0,75,3,4,3
8,5,2,1,3,6,7,4,5213674,0,1,1,58,2,6,3
9,3,2,1,7,5,6,4,3217564,1,2,1,62,7,4,3
10,6,5,1,2,4,3,7,6512437,0,1,1,42,6,1,3
11,2,5,1,3,7,6,4,2513764,0,2,0,73,3,2,3
12,NA,NA,NA,NA,NA,NA,NA,-------,2,2,0,57,3,5,3
13,6,3,1,5,7,4,2,6315742,2,1,0,28,2,4,3
14,2,1,7,5,4,6,3,2175463,0,2,1,52,3,4,3
15,4,2,1,6,3,7,5,4216375,0,2,1,76,4,2,3
16,5,4,2,1,7,3,6,5421736,0,2,1,41,3,4,3
17,2,1,6,5,4,7,3,2165473,3,2,0,66,1,4,3
18,5,3,1,4,7,6,2,5314762,0,2,0,75,2,4,3
19,6,4,1,3,7,5,2,6413752,0,2,0,54,4,4,3
20,2,3,5,4,7,1,6,2354716,3,2,0,68,3,4,3
21,6,1,2,3,7,4,5,6123745,0,2,1,28,7,1,3
22,3,1,7,4,5,2,6,3174526,3,2,0,79,6,5,3
23,6,2,1,5,4,7,3,6215473,2,2,1,73,3,4,3
24,7,4,1,3,6,2,5,7413625,0,2,1,61,3,2,3
25,5,3,2,6,1,4,7,5326147,0,1,1,64,3,2,3
26,4,2,1,3,7,5,6,4213756,1,1,0,69,2,5,3
27,1,6,2,3,5,7,4,1623574,0,2,0,27,3,2,3
28,3,7,1,2,5,6,4,3712564,0,1,1,71,3,6,3
29,6,1,3,2,7,4,5,6132745,1,2,1,78,4,4,3
30,2,5,3,1,6,4,7,2531647,3,1,0,60,3,2,3
31,4,3,7,2,1,5,6,4372156,1,1,1,71,2,5,3
