unit,tribe,nationality,religion,gender,ranking,treat,age,female,completed_elementary,completed_hs,catholic,evangelical
1,3,2,4,1,3241,1,20,1,1,1,1,0
2,2,4,3,1,2431,1,48,0,1,0,1,0
3,4,1,3,2,4132,1,52,1,0,0,1,0
4,3,4,1,2,3412,1,46,0,1,0,1,0
5,3,1,2,4,3124,1,30,1,0,0,1,0
6,4,2,1,3,4213,0,39,1,0,0,1,0
7,4,2,1,3,4213,1,24,1,0,0,0,0
8,4,1,2,3,4123,1,18,0,1,0,0,0
9,2,3,4,1,2341,1,39,1,0,0,0,0
10,1,4,3,2,1432,1,45,0,1,0,1,0
11,2,3,1,4,2314,1,47,0,0,0,1,0
12,1,4,3,2,1432,1,48,1,1,0,1,0
13,2,4,1,3,2413,1,58,1,1,0,1,0
14,2,1,3,4,2134,1,26,1,0,0,1,0
15,3,4,1,2,3412,1,65,1,1,0,1,0
16,1,3,2,4,1324,1,39,1,1,0,1,0
17,1,4,2,3,1423,1,38,1,1,0,1,0
18,2,3,1,4,2314,0,44,1,0,0,1,0
19,2,1,3,4,2134,0,65,1,0,0,0,0
20,3,4,1,2,3412,1,39,1,1,0,1,0
21,1,4,3,2,1432,1,25,0,0,0,1,0
22,1,4,2,3,1423,1,36,0,0,0,0,0
23,1,3,4,2,1342,1,32,0,0,0,0,0
24,1,2,4,3,1243,1,36,0,0,0,1,0
25,3,4,2,1,3421,1,61,0,0,0,1,0
26,1,4,3,2,1432,1,65,1,0,0,0,0
27,1,4,2,3,1423,1,25,0,0,0,1,0
28,1,4,3,2,1432,0,31,0,0,0,1,0
29,1,3,4,2,1342,0,29,0,0,0,0,0
30,4,2,3,1,4231,1,33,0,0,0,0,0
31,1,3,4,2,1342,1,45,1,0,0,0,0
32,1,4,2,3,1423,1,29,1,0,0,0,0
33,2,4,1,3,2413,0,52,1,0,0,1,0
34,1,4,2,3,1423,0,25,1,1,0,1,0
35,1,3,2,4,1324,0,53,1,0,0,0,0
36,4,3,1,2,4312,1,23,1,1,0,0,0
37,3,4,1,2,3412,1,31,1,1,0,1,0
38,3,1,4,2,3142,0,50,1,1,0,1,0
39,1,3,2,4,1324,0,34,0,1,0,0,0
40,3,4,1,2,3412,1,23,1,1,0,1,0
41,1,2,4,3,1243,1,20,0,0,0,0,0
42,1,4,2,3,1423,1,23,1,0,0,1,0
43,2,4,3,1,2431,0,20,1,1,0,0,0
44,2,3,1,4,2314,1,26,1,0,0,0,0
45,2,1,3,4,2134,0,35,1,1,1,0,0
46,1,3,2,4,1324,0,29,1,0,0,0,0
47,1,3,2,4,1324,0,45,0,1,0,0,1
48,1,4,3,2,1432,0,27,0,1,0,0,1
49,2,4,3,1,2431,1,45,0,0,0,0,1
50,1,3,2,4,1324,1,37,0,1,1,0,1
51,1,4,2,3,1423,0,60,0,0,0,0,1
