unit,id,treat,ch_civil,ch_uncivil,ch_intolerant,ch_threatening,treatment,uncivil,intolerant,threatening,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1,1,0,1,3,2,4,non-group-related control,2,0,0,Republican,civil,Female,Born 1991 or later,White,College,Every day  ,0,0,Leaning Republican
2,2,1,4,2,1,3,control,100,100,15,Independent,intolerant,Female,Born 1991 or later,White,College,At least once a week but not every day  ,90,70,Independent
3,3,1,4,2,1,3,control,53,100,52,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,36,60,Leaning Democrat
4,4,0,1,3,2,4,non-group-related control,1,0,0,Independent,civil,Female,Born 1959-1974,White,High school graduate,Every day  ,50,0,Independent
5,5,1,2,3,1,4,control,25,35,34,Independent,intolerant,Female,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),Every day  ,50,50,Independent
6,6,0,1,2,3,4,non-group-related control,0,0,0,Independent,civil,Female,Born 1991 or later,White,High school graduate,Every day  ,0,0,Independent
7,7,0,1,2,3,4,non-group-related control,2,7,0,Democrat,civil,Female,Born 1975-1990,White,High school graduate,Every day  ,0,0,Strong Democrat
8,8,1,4,1,2,3,control,97,100,16,Democrat,uncivil,Female,Born 1959-1974,White,High school graduate,Every day  ,100,100,Strong Democrat
9,9,0,1,3,2,4,non-group-related control,0,20,0,Democrat,civil,Female,Born 1959-1974,White,High school graduate,Every day  ,0,0,Leaning Democrat
10,10,1,3,2,1,4,control,36,100,0,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,40,41,Democrat
11,11,1,4,1,2,3,control,100,90,86,Democrat,uncivil,Female,Born 1991 or later,White,"High school graduate,College",Every day  ,100,100,Leaning Democrat
12,12,0,2,3,1,4,non-group-related control,0,3,0,Democrat,intolerant,Female,Born 1959-1974,White,College,Every day  ,0,0,Leaning Democrat
13,13,0,1,2,4,3,non-group-related control,0,0,0,Democrat,civil,Female,Born 1991 or later,White,College,At least once a week but not every day  ,0,0,Strong Democrat
14,14,1,3,2,1,4,control,55,70,0,Independent,intolerant,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,10,5,Independent
15,15,1,4,2,1,3,control,90,96,23,Republican,intolerant,Male,Born 1975-1990,White,College,Every day  ,6,6,Leaning Republican
16,16,0,1,2,3,4,non-group-related control,0,0,0,Democrat,civil,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day  ,15,6,Leaning Democrat
17,17,1,4,2,1,3,control,67,95,54,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,58,66,Leaning Democrat
18,18,0,1,3,2,4,non-group-related control,0,30,30,Independent,civil,Male,Born 1991 or later,White,College,At least once a week but not every day  ,0,0,Independent
19,19,1,4,2,1,3,control,68,100,59,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,60,70,Democrat
20,20,0,1,3,2,4,non-group-related control,70,31,49,Independent,civil,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day  ,85,59,Independent
21,21,1,4,2,1,3,control,90,75,0,Independent,intolerant,Male,Born 1975-1990,White,High school graduate,Every day  ,0,0,Independent
22,22,0,1,2,3,4,non-group-related control,4,0,0,Democrat,civil,Male,Born 1975-1990,Black,High school graduate,Every day  ,5,0,Leaning Democrat
23,23,1,3,2,1,4,control,51,83,5,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,61,100,Leaning Democrat
24,24,0,1,3,2,4,non-group-related control,5,10,0,Democrat,civil,Male,Born 1991 or later,White,College,Every day  ,0,0,Leaning Democrat
25,25,1,4,2,1,3,control,65,100,28,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,89,96,Democrat
26,26,1,3,1,2,4,control,93,100,33,Democrat,uncivil,Male,Born 1959-1974,White,PhD,Every day  ,68,86,Strong Democrat
27,27,1,4,2,1,3,control,75,100,0,Democrat,intolerant,Male,Born 1975-1990,White,"College,Postgraduate (e.g. Masters)",Every day  ,90,100,Democrat
28,28,0,1,3,2,4,non-group-related control,0,0,0,Independent,civil,Female,Born 1991 or later,Race other/multiple,High school graduate,Every day  ,0,0,Independent
29,29,0,1,3,2,4,non-group-related control,3,13,2,Republican,civil,Female,Born 1959-1974,White,College,Every day  ,0,0,Republican
30,30,1,3,1,2,4,control,24,93,20,Democrat,uncivil,Male,Born 1975-1990,Race other/multiple,College,Every day  ,62,70,Leaning Democrat
31,31,0,1,4,2,3,non-group-related control,5,29,8,Democrat,civil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,14,10,Democrat
