unit,id,treat,ch_civil,ch_uncivil,ch_intolerant,ch_threatening,treatment,uncivil,intolerant,threatening,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1,1,0,4,2,1,3,control,100,100,15,Independent,intolerant,Female,Born 1991 or later,White,College,At least once a week but not every day  ,90,70,Independent
2,2,1,4,2,1,3,intolerant,15,15,19,Republican,intolerant,Female,Born 1959-1974,White,College,Every day  ,0,8,Strong Republican
3,3,0,4,2,1,3,control,53,100,52,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,36,60,Leaning Democrat
4,4,1,4,1,2,3,intolerant,100,100,55,Democrat,uncivil,Female,Born 1975-1990,Black,High school graduate,Every day  ,80,86,Democrat
5,5,1,4,2,1,3,intolerant,70,100,30,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,60,100,Strong Democrat
6,6,0,2,3,1,4,control,25,35,34,Independent,intolerant,Female,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),Every day  ,50,50,Independent
7,7,1,4,2,1,3,intolerant,100,100,80,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,95,100,Strong Democrat
8,8,1,4,2,1,3,intolerant,80,100,60,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,50,60,Democrat
9,9,0,4,1,2,3,control,97,100,16,Democrat,uncivil,Female,Born 1959-1974,White,High school graduate,Every day  ,100,100,Strong Democrat
10,10,0,3,2,1,4,control,36,100,0,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,40,41,Democrat
11,11,0,4,1,2,3,control,100,90,86,Democrat,uncivil,Female,Born 1991 or later,White,"High school graduate,College",Every day  ,100,100,Leaning Democrat
12,12,1,3,2,1,4,intolerant,80,100,0,Independent,intolerant,Male,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day  ,0,9,Independent
13,13,1,4,2,3,1,intolerant,100,100,100,Independent,threatening,Female,Born 1959-1974,White,High school graduate,Every day  ,100,100,Independent
14,14,0,3,2,1,4,control,55,70,0,Independent,intolerant,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,10,5,Independent
15,15,0,4,2,1,3,control,90,96,23,Republican,intolerant,Male,Born 1975-1990,White,College,Every day  ,6,6,Leaning Republican
16,16,0,4,2,1,3,control,67,95,54,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,58,66,Leaning Democrat
17,17,1,2,3,1,4,intolerant,51,100,0,Democrat,intolerant,Female,Born 1991 or later,Race other/multiple,College,Every day  ,0,90,Democrat
18,18,1,4,2,1,3,intolerant,100,100,20,Democrat,intolerant,Female,Born 1943-1958,White,Professional degree,Every day  ,60,100,Democrat
19,19,0,4,2,1,3,control,68,100,59,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,60,70,Democrat
20,20,1,1,4,2,3,intolerant,50,53,48,Independent,civil,Male,Born 1991 or later,White,College,Every day  ,53,52,Independent
21,21,1,4,1,2,3,intolerant,84,70,11,Independent,uncivil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,16,18,Independent
22,22,0,4,2,1,3,control,90,75,0,Independent,intolerant,Male,Born 1975-1990,White,High school graduate,Every day  ,0,0,Independent
23,23,0,3,2,1,4,control,51,83,5,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,61,100,Leaning Democrat
24,24,1,4,1,3,2,intolerant,100,61,37,Democrat,uncivil,Male,Born 1975-1990,Black,High school graduate,Every day  ,0,29,Democrat
25,25,0,4,2,1,3,control,65,100,28,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,89,96,Democrat
26,26,0,3,1,2,4,control,93,100,33,Democrat,uncivil,Male,Born 1959-1974,White,PhD,Every day  ,68,86,Strong Democrat
27,27,0,4,2,1,3,control,75,100,0,Democrat,intolerant,Male,Born 1975-1990,White,"College,Postgraduate (e.g. Masters)",Every day  ,90,100,Democrat
28,28,1,4,2,1,3,intolerant,76,80,46,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,7,62,Strong Democrat
29,29,1,4,3,1,2,intolerant,77,100,82,Independent,intolerant,Female,Born 1975-1990,White,Less than high school,Every day  ,100,100,Independent
30,30,1,4,2,1,3,intolerant,95,100,40,Republican,intolerant,Male,Born 1975-1990,White,High school graduate,Every day  ,20,70,Leaning Republican
31,31,0,3,1,2,4,control,24,93,20,Democrat,uncivil,Male,Born 1975-1990,Race other/multiple,College,Every day  ,62,70,Leaning Democrat
32,32,0,3,2,1,4,control,50,96,0,Independent,intolerant,Female,Born 1991 or later,Black,Postgraduate (e.g. Masters),Every day  ,58,90,Independent
33,33,1,1,3,2,4,intolerant,10,30,0,Republican,civil,Male,Born 1975-1990,White,High school graduate,Every day  ,0,0,Leaning Republican
34,34,0,4,1,2,3,control,100,100,0,Democrat,uncivil,Female,Born 1991 or later,White,High school graduate,Every day  ,100,100,Strong Democrat
35,35,1,4,3,1,2,intolerant,60,100,64,Democrat,intolerant,Male,Born 1959-1974,White,College,Every day  ,51,51,Strong Democrat
36,36,1,4,2,1,3,intolerant,88,95,56,Republican,intolerant,Male,Born 1959-1974,White,College,Every day  ,47,56,Leaning Republican
37,37,1,4,2,1,3,intolerant,79,79,27,Democrat,intolerant,Male,Born 1959-1974,White,PhD,Every day  ,67,83,Strong Democrat
38,38,0,3,1,2,4,control,70,85,35,Democrat,uncivil,Male,Born 1975-1990,Black,High school graduate,Every day  ,30,15,Leaning Democrat
39,39,0,3,2,1,4,control,65,85,20,Democrat,intolerant,Male,Born 1975-1990,White,College,Every day  ,55,90,Leaning Democrat
40,40,1,4,3,1,2,intolerant,100,100,80,Democrat,intolerant,Female,Born 1991 or later,NA,High school graduate,Every day  ,0,70,Leaning Democrat
41,41,0,1,3,2,4,control,35,51,0,Republican,civil,Female,Born 1975-1990,White,College,Less often,0,0,Strong Republican
42,42,1,4,2,1,3,intolerant,100,100,40,Democrat,intolerant,Female,Born 1959-1974,White,Postgraduate (e.g. Masters),Every day  ,85,100,Strong Democrat
43,43,1,1,3,2,4,intolerant,65,0,0,Republican,civil,Male,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),A few times a month  ,0,0,Leaning Republican
44,44,0,4,2,1,3,control,100,100,0,Republican,intolerant,Female,Born 1975-1990,Hispanic,Postgraduate (e.g. Masters),Every day  ,0,0,Leaning Republican
45,45,0,4,2,1,3,control,80,100,34,Democrat,intolerant,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,30,50,Strong Democrat
46,46,1,4,2,1,3,intolerant,92,93,30,Republican,intolerant,Female,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,30,35,Strong Republican
47,47,1,2,1,4,3,intolerant,36,71,44,Democrat,uncivil,Male,Born 1975-1990,White,College,Every day  ,72,60,Democrat
48,48,0,1,3,2,4,control,20,50,0,Independent,civil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,0,0,Independent
49,49,1,1,3,2,4,intolerant,40,60,0,Independent,civil,Male,Born 1991 or later,Race other/multiple,College,Every day  ,0,50,Independent
50,50,0,2,4,1,3,control,4,64,2,Independent,intolerant,Male,Born 1975-1990,Black,College,Every day  ,20,19,Independent
51,51,0,1,3,2,4,control,50,70,15,Democrat,civil,Other,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,40,55,Leaning Democrat
52,52,0,3,2,1,4,control,100,100,11,Democrat,intolerant,Male,Born 1991 or later,White,College,At least once a week but not every day  ,60,75,Strong Democrat
53,53,1,3,1,2,4,intolerant,90,100,10,Independent,uncivil,Male,Born 1991 or later,White,Professional degree,Less often,30,80,Independent
54,54,1,4,2,1,3,intolerant,100,100,30,Democrat,intolerant,Female,Born 1991 or later,White,Professional degree,Every day  ,80,80,Democrat
55,55,0,3,2,1,4,control,59,89,0,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,8,19,Democrat
56,56,0,4,2,1,3,control,89,90,27,Independent,intolerant,Other,Born 1991 or later,White,High school graduate,Every day  ,96,100,Independent
57,57,0,4,2,1,3,control,90,100,35,Independent,intolerant,Female,Born 1991 or later,Race other/multiple,Postgraduate (e.g. Masters),Every day  ,75,100,Independent
58,58,1,4,1,2,3,intolerant,100,100,17,Independent,uncivil,Male,Born 1975-1990,NA,High school graduate,Every day  ,66,76,Independent
59,59,1,4,1,2,3,intolerant,84,83,84,Independent,uncivil,Female,Born 1991 or later,White,High school graduate,Every day  ,82,88,Independent
60,60,0,3,1,2,4,control,68,76,0,Democrat,uncivil,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day  ,37,55,Democrat
61,61,1,4,2,1,3,intolerant,72,83,21,Republican,intolerant,Male,Born 1975-1990,White,Professional degree,At least once a week but not every day  ,37,47,Leaning Republican
62,62,1,4,3,2,1,intolerant,89,90,90,Democrat,threatening,Male,Born 1959-1974,White,College,Every day  ,100,65,Democrat
63,63,0,1,2,3,4,control,63,70,0,Republican,civil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,0,0,Republican
64,64,1,4,3,1,2,intolerant,100,90,75,Democrat,intolerant,Male,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day  ,90,85,Strong Democrat
65,65,1,4,2,1,3,intolerant,65,70,15,Democrat,intolerant,Male,Born 1991 or later,Black,High school graduate,Every day  ,0,0,Leaning Democrat
66,66,0,4,2,1,3,control,100,98,58,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,90,99,Democrat
67,67,1,4,1,2,3,intolerant,100,0,4,Democrat,uncivil,Female,Born 1975-1990,Black,College,A few times a month  ,50,95,Strong Democrat
68,68,0,3,2,1,4,control,80,90,15,Independent,intolerant,Female,Born 1991 or later,White,College,Every day  ,70,100,Independent
69,69,1,4,1,2,3,intolerant,71,80,83,Democrat,uncivil,Female,Born 1991 or later,White,College,Every day  ,76,85,Democrat
70,70,1,4,2,1,3,intolerant,84,100,30,Democrat,intolerant,Female,Born 1959-1974,White,Professional degree,Every day  ,81,52,Democrat
71,71,0,4,1,2,3,control,75,76,11,Democrat,uncivil,Male,Born 1975-1990,White,College,At least once a week but not every day  ,72,73,Strong Democrat
72,72,1,4,2,1,3,intolerant,100,100,11,Independent,intolerant,Male,Born 1975-1990,White,College,Less often,51,100,Independent
73,73,0,2,3,1,4,control,14,88,2,Republican,intolerant,Male,Born 1975-1990,White,College,Every day  ,54,56,Leaning Republican
74,74,0,4,2,1,3,control,68,67,49,Independent,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day  ,51,52,Independent
75,75,0,4,2,1,3,control,100,10,19,Republican,intolerant,Male,Born 1975-1990,White,College,At least once a week but not every day  ,8,16,Leaning Republican
76,76,0,4,2,1,3,control,74,100,15,Democrat,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day  ,5,29,Leaning Democrat
77,77,1,4,2,1,3,intolerant,95,100,57,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,100,100,Strong Democrat
78,78,1,4,3,1,2,intolerant,100,100,88,Democrat,intolerant,Female,Born 1959-1974,White,College,Every day  ,77,100,Democrat
79,79,0,1,3,2,4,control,30,34,6,Republican,civil,Male,Born 1991 or later,White,College,Every day  ,20,9,Leaning Republican
80,80,1,4,2,1,3,intolerant,100,100,70,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,80,100,Strong Democrat
81,81,1,3,2,1,4,intolerant,58,81,9,Democrat,intolerant,Female,Born 1991 or later,Black,Postgraduate (e.g. Masters),Every day  ,50,50,Leaning Democrat
82,82,0,1,2,3,4,control,28,41,5,Independent,civil,Male,Born 1975-1990,Black,High school graduate,Every day  ,9,1,Independent
83,83,0,4,2,1,3,control,100,100,20,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,60,70,Leaning Democrat
84,84,1,3,1,2,4,intolerant,80,60,0,Republican,uncivil,Male,Born 1991 or later,White,College,Every day  ,0,0,Strong Republican
85,85,0,3,2,1,4,control,75,100,0,Democrat,intolerant,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),At least once a week but not every day  ,0,20,Democrat
86,86,1,4,2,3,1,intolerant,85,57,100,Democrat,threatening,Female,Born 1991 or later,Black,High school graduate,At least once a week but not every day  ,25,55,Democrat
87,87,1,4,2,1,3,intolerant,100,100,34,Republican,intolerant,Female,Born 1959-1974,White,High school graduate,Every day  ,100,100,Leaning Republican
88,88,0,4,2,1,3,control,72,86,52,Republican,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day  ,76,79,Leaning Republican
89,89,0,4,2,1,3,control,100,100,82,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,59,86,Strong Democrat
90,90,1,4,2,1,3,intolerant,85,92,61,Democrat,intolerant,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day  ,71,77,Democrat
91,91,0,3,2,1,4,control,90,100,3,Independent,intolerant,Other,Born 1991 or later,White,"High school graduate,College",Every day  ,72,88,Independent
92,92,1,3,1,2,4,intolerant,79,77,34,Republican,uncivil,Male,Born 1991 or later,Hispanic,High school graduate,Every day  ,11,12,Republican
93,93,1,4,2,1,3,intolerant,90,90,30,Independent,intolerant,Male,Born 1975-1990,White,High school graduate,Every day  ,80,100,Independent
94,94,0,1,2,3,4,control,44,0,0,Republican,civil,Female,Born 1975-1990,White,College,Every day  ,44,34,Republican
95,95,0,1,2,3,4,control,0,0,0,Republican,civil,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day  ,0,0,Leaning Republican
96,96,1,4,2,1,3,intolerant,87,100,14,Republican,intolerant,Male,Born 1991 or later,White,High school graduate,Every day  ,31,48,Leaning Republican
97,97,1,4,2,1,3,intolerant,100,94,5,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,89,90,Strong Democrat
98,98,0,4,2,1,3,control,62,100,0,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,41,100,Leaning Democrat
99,99,0,3,2,1,4,control,85,100,10,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,76,80,Strong Democrat
100,100,1,4,2,1,3,intolerant,77,94,26,Independent,intolerant,Male,Born 1991 or later,Race other/multiple,College,Every day  ,38,47,Independent
101,101,1,4,2,1,3,intolerant,88,100,53,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,55,100,Strong Democrat
