unit,id,treat,ch_civil,ch_uncivil,ch_intolerant,ch_threatening,treatment,uncivil,intolerant,threatening,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1,1,0,4,2,1,3,control,100,100,15,Independent,intolerant,Female,Born 1991 or later,White,College,At least once a week but not every day  ,90,70,Independent
2,2,1,1,4,3,2,threatening,23,54,29,Republican,civil,Female,Born 1991 or later,Black,College,A few times a month  ,43,38,Leaning Republican
3,3,0,4,2,1,3,control,53,100,52,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,36,60,Leaning Democrat
4,4,1,4,3,1,2,threatening,91,100,100,Democrat,intolerant,Female,Born 1975-1990,Race other/multiple,College,Every day  ,100,100,Leaning Democrat
5,5,1,4,1,2,3,threatening,80,64,13,Republican,uncivil,Female,Born 1975-1990,White,College,At least once a week but not every day  ,17,7,Leaning Republican
6,6,0,2,3,1,4,control,25,35,34,Independent,intolerant,Female,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),Every day  ,50,50,Independent
7,7,0,4,1,2,3,control,97,100,16,Democrat,uncivil,Female,Born 1959-1974,White,High school graduate,Every day  ,100,100,Strong Democrat
8,8,1,4,3,1,2,threatening,100,100,100,Democrat,intolerant,Female,Born 1959-1974,White,College,Every day  ,71,72,Democrat
9,9,1,4,3,2,1,threatening,82,100,100,Independent,threatening,Male,Born 1991 or later,Hispanic,High school graduate,A few times a month  ,51,61,Independent
10,10,0,3,2,1,4,control,36,100,0,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,40,41,Democrat
11,11,0,4,1,2,3,control,100,90,86,Democrat,uncivil,Female,Born 1991 or later,White,"High school graduate,College",Every day  ,100,100,Leaning Democrat
12,12,1,4,2,3,1,threatening,72,91,100,Democrat,threatening,Female,Born 1991 or later,Black,College,Every day  ,27,79,Strong Democrat
13,13,0,3,2,1,4,control,55,70,0,Independent,intolerant,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,10,5,Independent
14,14,1,4,3,2,1,threatening,100,100,100,Democrat,threatening,Male,Born 1975-1990,White,College,Every day  ,100,100,Democrat
15,15,0,4,2,1,3,control,90,96,23,Republican,intolerant,Male,Born 1975-1990,White,College,Every day  ,6,6,Leaning Republican
16,16,0,4,2,1,3,control,67,95,54,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,58,66,Leaning Democrat
17,17,1,4,2,3,1,threatening,71,70,85,Independent,threatening,Male,Born 1991 or later,White,Professional degree,Every day  ,64,69,Independent
18,18,0,4,2,1,3,control,68,100,59,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,60,70,Democrat
19,19,1,4,3,2,1,threatening,75,78,91,Independent,threatening,Male,Born 1975-1990,Black,College,At least once a week but not every day  ,88,100,Independent
20,20,1,4,3,1,2,threatening,50,100,75,Democrat,intolerant,Female,Born 1959-1974,White,High school graduate,At least once a week but not every day  ,0,0,Strong Democrat
21,21,0,4,2,1,3,control,90,75,0,Independent,intolerant,Male,Born 1975-1990,White,High school graduate,Every day  ,0,0,Independent
22,22,0,3,2,1,4,control,51,83,5,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,61,100,Leaning Democrat
23,23,1,4,2,3,1,threatening,100,100,100,Independent,threatening,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day  ,60,60,Independent
24,24,1,3,2,1,4,threatening,79,71,69,Republican,intolerant,Male,Born 1991 or later,White,High school graduate,Every day  ,70,28,Leaning Republican
25,25,0,4,2,1,3,control,65,100,28,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,89,96,Democrat
26,26,1,4,3,2,1,threatening,100,100,100,Republican,threatening,Male,Born 1991 or later,White,College,Every day  ,18,93,Leaning Republican
27,27,0,3,1,2,4,control,93,100,33,Democrat,uncivil,Male,Born 1959-1974,White,PhD,Every day  ,68,86,Strong Democrat
28,28,1,4,3,2,1,threatening,55,90,100,Democrat,threatening,Male,Born 1991 or later,White,High school graduate,Every day  ,39,55,Leaning Democrat
29,29,0,4,2,1,3,control,75,100,0,Democrat,intolerant,Male,Born 1975-1990,White,"College,Postgraduate (e.g. Masters)",Every day  ,90,100,Democrat
30,30,0,3,1,2,4,control,24,93,20,Democrat,uncivil,Male,Born 1975-1990,Race other/multiple,College,Every day  ,62,70,Leaning Democrat
31,31,1,4,1,2,3,threatening,100,100,80,Independent,uncivil,Male,Born 1975-1990,White,College,Every day  ,70,100,Independent
32,32,0,3,2,1,4,control,50,96,0,Independent,intolerant,Female,Born 1991 or later,Black,Postgraduate (e.g. Masters),Every day  ,58,90,Independent
33,33,1,4,1,2,3,threatening,100,100,52,Independent,uncivil,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,81,100,Independent
34,34,0,4,1,2,3,control,100,100,0,Democrat,uncivil,Female,Born 1991 or later,White,High school graduate,Every day  ,100,100,Strong Democrat
35,35,1,1,3,4,2,threatening,82,86,75,Democrat,civil,Male,Born 1991 or later,White,College,Every day  ,79,97,Democrat
