unit,id,treat,ch_civil,ch_uncivil,ch_intolerant,ch_threatening,treatment,uncivil,intolerant,threatening,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1,1,0,4,2,1,3,control,100,100,15,Independent,intolerant,Female,Born 1991 or later,White,College,At least once a week but not every day  ,90,70,Independent
2,2,1,4,3,1,2,uncivil,100,100,75,Democrat,intolerant,Male,Born 1975-1990,Black,High school graduate,Every day  ,51,75,Leaning Democrat
3,3,0,4,2,1,3,control,53,100,52,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,36,60,Leaning Democrat
4,4,0,2,3,1,4,control,25,35,34,Independent,intolerant,Female,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),Every day  ,50,50,Independent
5,5,1,4,2,1,3,uncivil,100,100,30,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,100,100,Strong Democrat
6,6,1,4,1,2,3,uncivil,64,52,48,Democrat,uncivil,Male,Born 1991 or later,Hispanic,College,Every day  ,2,9,Leaning Democrat
7,7,0,4,1,2,3,control,97,100,16,Democrat,uncivil,Female,Born 1959-1974,White,High school graduate,Every day  ,100,100,Strong Democrat
8,8,0,3,2,1,4,control,36,100,0,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,40,41,Democrat
9,9,0,4,1,2,3,control,100,90,86,Democrat,uncivil,Female,Born 1991 or later,White,"High school graduate,College",Every day  ,100,100,Leaning Democrat
10,10,1,1,4,2,3,uncivil,10,9,8,Republican,civil,Other,Born 1959-1974,White,College,Every day  ,0,0,Republican
11,11,1,3,2,1,4,uncivil,56,71,13,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,55,71,Leaning Democrat
12,12,1,3,1,2,4,uncivil,90,65,0,Independent,uncivil,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,0,0,Independent
13,13,0,3,2,1,4,control,55,70,0,Independent,intolerant,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,10,5,Independent
14,14,1,4,2,1,3,uncivil,100,100,20,Independent,intolerant,Male,Born 1991 or later,White,High school graduate,Every day  ,90,100,Independent
15,15,0,4,2,1,3,control,90,96,23,Republican,intolerant,Male,Born 1975-1990,White,College,Every day  ,6,6,Leaning Republican
16,16,0,4,2,1,3,control,67,95,54,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,58,66,Leaning Democrat
17,17,1,4,2,1,3,uncivil,100,100,25,Democrat,intolerant,Male,Born 1975-1990,White,High school graduate,Every day  ,60,80,Democrat
18,18,0,4,2,1,3,control,68,100,59,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,60,70,Democrat
19,19,1,4,2,1,3,uncivil,100,100,40,Independent,intolerant,Female,Born 1991 or later,White,College,Every day  ,82,60,Independent
20,20,1,4,2,1,3,uncivil,55,81,0,Republican,intolerant,Male,Born 1991 or later,Race other/multiple,College,Every day  ,0,0,Republican
21,21,0,4,2,1,3,control,90,75,0,Independent,intolerant,Male,Born 1975-1990,White,High school graduate,Every day  ,0,0,Independent
22,22,1,4,2,1,3,uncivil,92,85,88,Democrat,intolerant,Male,Born 1959-1974,White,Postgraduate (e.g. Masters),Every day  ,97,100,Strong Democrat
23,23,0,3,2,1,4,control,51,83,5,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,61,100,Leaning Democrat
24,24,1,4,2,1,3,uncivil,86,93,56,Democrat,intolerant,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day  ,70,85,Strong Democrat
25,25,0,4,2,1,3,control,65,100,28,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,89,96,Democrat
26,26,0,3,1,2,4,control,93,100,33,Democrat,uncivil,Male,Born 1959-1974,White,PhD,Every day  ,68,86,Strong Democrat
27,27,0,4,2,1,3,control,75,100,0,Democrat,intolerant,Male,Born 1975-1990,White,"College,Postgraduate (e.g. Masters)",Every day  ,90,100,Democrat
28,28,0,3,1,2,4,control,24,93,20,Democrat,uncivil,Male,Born 1975-1990,Race other/multiple,College,Every day  ,62,70,Leaning Democrat
29,29,1,3,1,2,4,uncivil,53,11,53,Independent,uncivil,Male,Born 1975-1990,Race other/multiple,College,Every day  ,71,67,Independent
30,30,1,4,2,1,3,uncivil,100,100,61,Democrat,intolerant,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,73,100,Democrat
31,31,1,1,3,4,2,uncivil,83,82,83,Democrat,civil,Female,Born 1991 or later,Race other/multiple,Less than high school,Every day  ,86,83,Strong Democrat
32,32,0,3,2,1,4,control,50,96,0,Independent,intolerant,Female,Born 1991 or later,Black,Postgraduate (e.g. Masters),Every day  ,58,90,Independent
33,33,0,4,1,2,3,control,100,100,0,Democrat,uncivil,Female,Born 1991 or later,White,High school graduate,Every day  ,100,100,Strong Democrat
34,34,1,3,2,4,1,uncivil,39,59,71,Democrat,threatening,Male,Born 1975-1990,White,College,Every day  ,72,89,Democrat
35,35,1,4,2,1,3,uncivil,100,100,0,Republican,intolerant,Male,Born 1991 or later,Hispanic,High school graduate,Every day  ,0,0,Leaning Republican
36,36,1,4,2,1,3,uncivil,78,94,70,Democrat,intolerant,Male,Born 1991 or later,White,College,Every day  ,78,100,Leaning Democrat
37,37,1,4,2,1,3,uncivil,0,0,45,Democrat,intolerant,Female,Born 1991 or later,Race other/multiple,College,At least once a week but not every day  ,70,80,Democrat
38,38,0,3,1,2,4,control,70,85,35,Democrat,uncivil,Male,Born 1975-1990,Black,High school graduate,Every day  ,30,15,Leaning Democrat
39,39,0,3,2,1,4,control,65,85,20,Democrat,intolerant,Male,Born 1975-1990,White,College,Every day  ,55,90,Leaning Democrat
40,40,0,1,3,2,4,control,35,51,0,Republican,civil,Female,Born 1975-1990,White,College,Less often,0,0,Strong Republican
41,41,1,4,1,2,3,uncivil,40,30,40,Independent,uncivil,Female,Born 1991 or later,White,College,Every day  ,50,50,Independent
42,42,0,4,2,1,3,control,100,100,0,Republican,intolerant,Female,Born 1975-1990,Hispanic,Postgraduate (e.g. Masters),Every day  ,0,0,Leaning Republican
43,43,1,3,2,1,4,uncivil,51,82,0,Democrat,intolerant,Female,Born 1975-1990,Black,High school graduate,Every day  ,0,0,Leaning Democrat
44,44,0,4,2,1,3,control,80,100,34,Democrat,intolerant,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,30,50,Strong Democrat
45,45,1,4,1,2,3,uncivil,86,87,51,Democrat,uncivil,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day  ,57,70,Leaning Democrat
46,46,1,2,1,4,3,uncivil,40,11,11,Republican,uncivil,Male,Born 1959-1974,White,High school graduate,At least once a week but not every day  ,10,3,Leaning Republican
47,47,0,1,3,2,4,control,20,50,0,Independent,civil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,0,0,Independent
48,48,0,2,4,1,3,control,4,64,2,Independent,intolerant,Male,Born 1975-1990,Black,College,Every day  ,20,19,Independent
49,49,0,1,3,2,4,control,50,70,15,Democrat,civil,Other,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,40,55,Leaning Democrat
50,50,1,4,2,1,3,uncivil,100,100,87,Democrat,intolerant,Male,Born 1975-1990,White,"Professional degree,College",Every day  ,80,100,Leaning Democrat
51,51,0,3,2,1,4,control,100,100,11,Democrat,intolerant,Male,Born 1991 or later,White,College,At least once a week but not every day  ,60,75,Strong Democrat
52,52,1,3,2,1,4,uncivil,71,100,6,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,81,100,Democrat
53,53,1,4,1,2,3,uncivil,85,82,55,Independent,uncivil,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day  ,82,71,Independent
54,54,0,3,2,1,4,control,59,89,0,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,8,19,Democrat
55,55,0,4,2,1,3,control,89,90,27,Independent,intolerant,Other,Born 1991 or later,White,High school graduate,Every day  ,96,100,Independent
56,56,1,4,1,3,2,uncivil,100,60,100,Democrat,uncivil,Female,Born 1991 or later,Race other/multiple,High school graduate,Every day  ,100,94,Leaning Democrat
57,57,0,4,2,1,3,control,90,100,35,Independent,intolerant,Female,Born 1991 or later,Race other/multiple,Postgraduate (e.g. Masters),Every day  ,75,100,Independent
58,58,1,4,2,1,3,uncivil,93,100,61,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,89,90,Strong Democrat
59,59,0,3,1,2,4,control,68,76,0,Democrat,uncivil,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day  ,37,55,Democrat
60,60,1,4,1,2,3,uncivil,100,100,0,Democrat,uncivil,Female,Born 1991 or later,Hispanic,College,Every day  ,100,100,Strong Democrat
61,61,1,3,2,1,4,uncivil,61,100,0,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,38,82,Strong Democrat
62,62,1,4,1,2,3,uncivil,89,81,7,Independent,uncivil,Male,Born 1991 or later,White,High school graduate,Every day  ,6,3,Independent
63,63,0,1,2,3,4,control,63,70,0,Republican,civil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day  ,0,0,Republican
64,64,1,3,2,1,4,uncivil,67,64,27,Democrat,intolerant,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day  ,82,61,Democrat
65,65,0,4,2,1,3,control,100,98,58,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,90,99,Democrat
66,66,1,4,1,2,3,uncivil,100,99,75,Democrat,uncivil,Female,Born 1959-1974,White,PhD,Every day  ,70,100,Democrat
67,67,0,3,2,1,4,control,80,90,15,Independent,intolerant,Female,Born 1991 or later,White,College,Every day  ,70,100,Independent
68,68,1,1,3,2,4,uncivil,0,0,6,Republican,civil,Male,Born 1991 or later,Race other/multiple,College,Every day  ,8,1,Leaning Republican
69,69,1,4,2,1,3,uncivil,100,100,7,Democrat,intolerant,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),At least once a week but not every day  ,64,100,Democrat
70,70,0,4,1,2,3,control,75,76,11,Democrat,uncivil,Male,Born 1975-1990,White,College,At least once a week but not every day  ,72,73,Strong Democrat
71,71,1,4,2,1,3,uncivil,100,100,50,Democrat,intolerant,Female,Born 1959-1974,White,College,Every day  ,0,0,Leaning Democrat
72,72,0,2,3,1,4,control,14,88,2,Republican,intolerant,Male,Born 1975-1990,White,College,Every day  ,54,56,Leaning Republican
73,73,0,4,2,1,3,control,68,67,49,Independent,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day  ,51,52,Independent
74,74,1,4,1,2,3,uncivil,57,60,67,Democrat,uncivil,Female,Born 1975-1990,Black,Postgraduate (e.g. Masters),At least once a week but not every day  ,64,59,Democrat
75,75,1,4,2,1,3,uncivil,92,83,58,Independent,intolerant,Male,Born 1991 or later,White,College,Every day  ,67,100,Independent
76,76,0,4,2,1,3,control,100,10,19,Republican,intolerant,Male,Born 1975-1990,White,College,At least once a week but not every day  ,8,16,Leaning Republican
77,77,0,4,2,1,3,control,74,100,15,Democrat,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day  ,5,29,Leaning Democrat
78,78,1,4,3,1,2,uncivil,62,51,65,Democrat,intolerant,Male,Born 1975-1990,White,Professional degree,Every day  ,32,30,Democrat
