unit,civil,uncivil,intolerant,threatening,ranking,treat,treatment,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1,1,3,2,4,1324,1,non-group-related control,Republican,civil,Female,Born 1991 or later,White,College,Every day,0,0,Leaning Republican
2,4,2,1,3,4213,0,control,Independent,intolerant,Female,Born 1991 or later,White,College,At least once a week but not every day,90,70,Independent
3,4,3,1,2,4312,5,threatening (new),Republican,intolerant,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day,0,0,Leaning Republican
4,1,4,3,2,1432,4,threatening,Republican,civil,Female,Born 1991 or later,Black,College,A few times a month,43,38,Leaning Republican
5,4,3,1,2,4312,2,uncivil,Democrat,intolerant,Male,Born 1975-1990,Black,High school graduate,Every day,51,75,Leaning Democrat
6,4,2,1,3,4213,3,intolerant,Republican,intolerant,Female,Born 1959-1974,White,College,Every day,0,8,Strong Republican
7,4,2,1,3,4213,0,control,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day,36,60,Leaning Democrat
8,4,1,2,3,4123,3,intolerant,Democrat,uncivil,Female,Born 1975-1990,Black,High school graduate,Every day,80,86,Democrat
9,4,3,1,2,4312,4,threatening,Democrat,intolerant,Female,Born 1975-1990,Race other/multiple,College,Every day,100,100,Leaning Democrat
10,4,2,3,1,4231,5,threatening (new),Democrat,threatening,Male,Born 1991 or later,Race other/multiple,"Professional degree,College",Every day,100,100,Strong Democrat
11,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day,60,100,Strong Democrat
12,1,3,2,4,1324,1,non-group-related control,Independent,civil,Female,Born 1959-1974,White,High school graduate,Every day,50,0,Independent
13,4,2,3,1,4231,5,threatening (new),Democrat,threatening,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day,68,100,Democrat
14,4,1,2,3,4123,4,threatening,Republican,uncivil,Female,Born 1975-1990,White,College,At least once a week but not every day,17,7,Leaning Republican
15,2,3,1,4,2314,0,control,Independent,intolerant,Female,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),Every day,50,50,Independent
16,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day,100,100,Strong Democrat
