unit,fair,generous,honest,powerful,friendly,culture,resolved,organized,intelligent,ranking,treat,condition
1,2,1,NA,NA,3,NA,NA,NA,4,21--3---4,1,Individuals
2,NA,NA,NA,NA,NA,1,NA,2,NA,-----1-2-,1,Individuals
3,1,3,2,NA,NA,NA,NA,NA,NA,132------,2,Countries
4,2,NA,1,4,NA,NA,NA,3,NA,2-14---3-,2,Countries
5,1,2,5,NA,4,NA,NA,3,NA,125-4--3-,1,Individuals
6,4,2,7,5,3,NA,6,1,8,42753-618,1,Individuals
7,1,4,3,NA,NA,NA,NA,5,2,143----52,1,Individuals
8,NA,NA,NA,1,NA,NA,2,4,3,---1--243,1,Individuals
9,3,NA,NA,NA,NA,NA,NA,2,1,3------21,1,Individuals
10,NA,NA,NA,NA,3,4,5,1,2,----34512,1,Individuals
11,NA,NA,NA,NA,NA,NA,1,3,2,------132,1,Individuals
12,3,1,4,NA,NA,NA,2,NA,NA,314---2--,1,Individuals
13,3,NA,4,NA,1,NA,NA,NA,2,3-4-1---2,2,Countries
14,2,NA,4,NA,NA,NA,1,NA,3,2-4---1-3,1,Individuals
15,1,NA,NA,NA,2,NA,NA,NA,NA,1---2----,1,Individuals
16,NA,NA,1,NA,NA,NA,NA,2,NA,--1----2-,1,Individuals
17,4,NA,1,NA,2,NA,NA,3,NA,4-1-2--3-,1,Individuals
18,2,NA,3,NA,NA,4,1,NA,NA,2-3--41--,2,Countries
19,3,4,2,NA,NA,NA,NA,NA,1,342-----1,1,Individuals
20,NA,2,1,NA,NA,NA,NA,NA,NA,-21------,1,Individuals
21,4,NA,1,NA,NA,NA,3,NA,2,4-1---3-2,1,Individuals
22,NA,NA,2,4,NA,NA,1,3,NA,--24--13-,2,Countries
23,2,NA,NA,NA,1,NA,NA,NA,NA,2---1----,1,Individuals
24,4,NA,3,NA,1,NA,NA,2,NA,4-3-1--2-,2,Countries
25,2,NA,1,NA,NA,NA,NA,NA,NA,2-1------,1,Individuals
26,2,NA,1,NA,3,NA,NA,NA,NA,2-1-3----,2,Countries
27,NA,NA,1,NA,2,NA,3,NA,NA,--1-2-3--,2,Countries
28,NA,NA,NA,3,NA,NA,4,2,1,---3--421,1,Individuals
29,NA,NA,1,NA,3,NA,NA,2,NA,--1-3--2-,1,Individuals
30,3,1,9,5,2,7,6,8,4,319527684,1,Individuals
31,2,5,1,NA,3,NA,NA,NA,4,251-3---4,1,Individuals
32,2,NA,NA,NA,NA,NA,1,NA,3,2-----1-3,2,Countries
33,2,NA,4,NA,NA,NA,1,NA,3,2-4---1-3,1,Individuals
34,4,NA,2,3,NA,NA,NA,NA,1,4-23----1,1,Individuals
35,2,NA,NA,NA,1,NA,NA,NA,NA,2---1----,1,Individuals
36,4,NA,2,1,NA,NA,3,NA,NA,4-21--3--,2,Countries
37,3,NA,4,1,NA,NA,2,NA,NA,3-41--2--,1,Individuals
38,NA,2,1,3,NA,NA,NA,NA,NA,-213-----,1,Individuals
39,NA,NA,NA,2,NA,NA,NA,1,NA,---2---1-,1,Individuals
40,NA,NA,1,2,3,NA,NA,NA,NA,--123----,2,Countries
41,NA,NA,NA,NA,2,1,3,NA,NA,----213--,2,Countries
42,6,NA,4,1,7,NA,2,3,5,6-417-235,2,Countries
43,4,NA,2,NA,NA,1,NA,3,NA,4-2--1-3-,1,Individuals
44,2,5,1,NA,4,NA,NA,NA,3,251-4---3,1,Individuals
45,5,NA,1,NA,4,2,NA,NA,3,5-1-42--3,2,Countries
46,2,NA,NA,NA,4,NA,5,1,3,2---4-513,1,Individuals
47,1,NA,3,NA,NA,2,NA,NA,NA,1-3--2---,2,Countries
48,1,NA,3,NA,4,NA,NA,NA,2,1-3-4---2,1,Individuals
49,1,NA,2,NA,NA,NA,NA,3,4,1-2----34,2,Countries
50,2,NA,1,NA,NA,NA,NA,3,NA,2-1----3-,1,Individuals
51,3,NA,2,NA,NA,NA,4,NA,1,3-2---4-1,1,Individuals
52,2,NA,NA,NA,1,NA,NA,NA,NA,2---1----,2,Countries
53,4,NA,NA,2,NA,1,NA,3,NA,4--2-1-3-,1,Individuals
54,1,NA,2,NA,NA,NA,NA,NA,NA,1-2------,2,Countries
55,2,NA,3,NA,1,NA,NA,4,NA,2-3-1--4-,2,Countries
56,2,NA,NA,NA,4,1,NA,NA,3,2---41--3,2,Countries
57,NA,NA,NA,NA,1,2,3,NA,NA,----123--,1,Individuals
58,1,NA,NA,2,NA,NA,3,NA,NA,1--2--3--,2,Countries
59,3,NA,4,NA,1,NA,NA,NA,2,3-4-1---2,1,Individuals
60,4,5,1,7,3,9,2,6,8,451739268,1,Individuals
61,2,8,1,4,6,NA,3,7,5,28146-375,1,Individuals
62,NA,NA,4,2,1,7,6,5,3,--4217653,2,Countries
63,3,NA,2,NA,NA,1,NA,4,NA,3-2--1-4-,2,Countries
64,NA,NA,3,2,4,NA,1,NA,NA,--324-1--,2,Countries
65,NA,NA,2,NA,NA,NA,NA,1,NA,--2----1-,2,Countries
66,NA,NA,NA,NA,2,NA,NA,1,NA,----2--1-,1,Individuals
67,1,NA,2,NA,NA,NA,NA,4,3,1-2----43,1,Individuals
68,2,NA,4,NA,3,NA,NA,1,NA,2-4-3--1-,2,Countries
69,4,1,2,3,NA,NA,NA,NA,5,4123----5,1,Individuals
70,4,2,NA,NA,NA,3,NA,1,NA,42---3-1-,1,Individuals
71,1,NA,NA,NA,2,NA,3,NA,NA,1---2-3--,1,Individuals
72,1,2,3,5,4,NA,NA,NA,NA,12354----,1,Individuals
73,3,NA,4,NA,2,1,NA,NA,NA,3-4-21---,2,Countries
74,1,5,2,NA,4,NA,NA,6,3,152-4--63,2,Countries
75,NA,3,4,2,1,NA,NA,NA,NA,-3421----,2,Countries
76,6,7,1,3,9,5,2,8,4,671395284,1,Individuals
77,3,NA,1,NA,NA,NA,2,NA,NA,3-1---2--,2,Countries
78,1,NA,2,NA,NA,3,NA,NA,NA,1-2--3---,1,Individuals
79,NA,2,NA,NA,NA,3,1,4,NA,-2---314-,1,Individuals
80,NA,NA,1,NA,NA,NA,NA,NA,2,--1-----2,1,Individuals
81,3,5,4,NA,2,1,NA,NA,NA,354-21---,2,Countries
82,1,NA,4,NA,6,NA,5,3,2,1-4-6-532,1,Individuals
83,6,4,1,2,5,3,NA,NA,NA,641253---,2,Countries
84,1,NA,NA,NA,2,3,NA,NA,NA,1---23---,2,Countries
85,NA,NA,1,NA,NA,2,4,5,3,--1--2453,1,Individuals
86,1,NA,2,NA,NA,NA,NA,3,NA,1-2----3-,1,Individuals
87,3,9,2,6,4,8,5,7,1,392648571,1,Individuals
88,5,NA,3,NA,4,NA,1,NA,2,5-3-4-1-2,2,Countries
89,2,NA,3,NA,4,NA,NA,5,1,2-3-4--51,1,Individuals
90,NA,NA,1,2,NA,NA,NA,NA,NA,--12-----,2,Countries
91,1,NA,2,NA,3,NA,NA,NA,NA,1-2-3----,2,Countries
92,4,NA,1,5,2,NA,3,NA,NA,4-152-3--,1,Individuals
93,4,8,6,2,7,5,1,9,3,486275193,1,Individuals
94,2,NA,1,NA,NA,3,NA,4,NA,2-1--3-4-,2,Countries
95,2,NA,4,3,NA,NA,5,NA,1,2-43--5-1,2,Countries
96,NA,NA,NA,1,NA,NA,2,NA,NA,---1--2--,1,Individuals
97,2,NA,4,NA,NA,NA,NA,3,1,2-4----31,2,Countries
98,2,NA,1,NA,NA,3,NA,NA,NA,2-1--3---,2,Countries
99,2,NA,1,NA,NA,NA,NA,NA,NA,2-1------,2,Countries
100,3,6,2,9,1,7,8,4,5,362917845,2,Countries
101,1,NA,3,4,NA,NA,5,NA,2,1-34--5-2,2,Countries
102,2,NA,4,NA,3,NA,NA,1,NA,2-4-3--1-,2,Countries
103,NA,NA,NA,2,NA,NA,NA,NA,1,---2----1,1,Individuals
104,3,NA,1,NA,4,NA,NA,2,NA,3-1-4--2-,2,Countries
105,5,NA,2,NA,3,NA,NA,1,4,5-2-3--14,2,Countries
106,2,NA,4,NA,1,NA,3,5,NA,2-4-1-35-,1,Individuals
107,NA,NA,3,NA,1,NA,2,NA,NA,--3-1-2--,1,Individuals
108,1,NA,3,4,NA,NA,NA,NA,2,1-34----2,2,Countries
109,3,NA,1,NA,NA,NA,2,NA,NA,3-1---2--,2,Countries
110,5,NA,3,NA,4,NA,NA,1,2,5-3-4--12,1,Individuals
111,3,2,1,NA,4,NA,6,5,NA,321-4-65-,1,Individuals
112,NA,4,NA,NA,2,NA,NA,3,1,-4--2--31,1,Individuals
113,2,4,1,NA,NA,NA,3,NA,NA,241---3--,1,Individuals
114,NA,NA,NA,1,2,NA,NA,NA,3,---12---3,2,Countries
115,2,3,1,NA,NA,NA,4,NA,NA,231---4--,2,Countries
116,1,NA,2,NA,NA,3,NA,NA,4,1-2--3--4,1,Individuals
117,1,NA,2,NA,NA,NA,NA,NA,NA,1-2------,2,Countries
118,2,5,1,NA,6,NA,4,7,3,251-6-473,1,Individuals
119,2,NA,5,4,1,NA,NA,NA,3,2-541---3,1,Individuals
120,1,NA,NA,NA,NA,NA,2,3,NA,1-----23-,2,Countries
121,3,NA,4,1,NA,2,NA,NA,NA,3-41-2---,2,Countries
122,1,NA,2,NA,3,NA,NA,NA,NA,1-2-3----,2,Countries
123,NA,NA,NA,2,4,NA,1,3,NA,---24-13-,2,Countries
124,2,NA,1,NA,NA,NA,NA,NA,NA,2-1------,1,Individuals
125,NA,NA,1,NA,NA,NA,2,NA,NA,--1---2--,2,Countries
126,NA,1,NA,NA,NA,2,NA,NA,3,-1---2--3,2,Countries
127,1,6,2,NA,5,NA,3,7,4,162-5-374,1,Individuals
128,NA,NA,NA,1,NA,NA,NA,NA,2,---1----2,2,Countries
129,2,9,1,4,3,8,5,7,6,291438576,2,Countries
130,3,NA,1,NA,2,NA,NA,NA,NA,3-1-2----,1,Individuals
131,1,NA,3,NA,NA,NA,NA,2,4,1-3----24,2,Countries
132,2,NA,1,NA,4,NA,NA,NA,3,2-1-4---3,1,Individuals
133,1,NA,2,NA,NA,NA,NA,3,NA,1-2----3-,2,Countries
134,1,NA,NA,NA,2,3,NA,NA,NA,1---23---,2,Countries
135,NA,NA,NA,2,NA,1,4,NA,3,---2-14-3,2,Countries
136,2,NA,4,NA,3,1,NA,NA,NA,2-4-31---,2,Countries
137,4,2,1,NA,3,NA,NA,NA,5,421-3---5,1,Individuals
138,5,NA,2,NA,4,NA,NA,3,1,5-2-4--31,1,Individuals
139,1,5,2,NA,3,NA,NA,6,4,152-3--64,2,Countries
140,NA,NA,2,1,3,NA,NA,NA,NA,--213----,2,Countries
141,2,NA,1,NA,6,NA,4,5,3,2-1-6-453,1,Individuals
142,1,NA,3,NA,2,NA,NA,NA,NA,1-3-2----,1,Individuals
143,2,NA,1,NA,3,4,NA,NA,NA,2-1-34---,1,Individuals
144,NA,NA,2,NA,NA,NA,NA,1,NA,--2----1-,1,Individuals
145,NA,NA,2,NA,1,NA,NA,NA,3,--2-1---3,2,Countries
146,NA,NA,3,NA,NA,NA,2,NA,1,--3---2-1,1,Individuals
147,4,NA,5,NA,1,NA,6,3,2,4-5-1-632,1,Individuals
148,4,NA,1,NA,2,6,NA,5,3,4-1-26-53,1,Individuals
149,1,NA,3,NA,2,NA,4,5,NA,1-3-2-45-,1,Individuals
150,NA,NA,1,NA,3,NA,2,NA,NA,--1-3-2--,1,Individuals
151,1,5,2,NA,3,NA,NA,6,4,152-3--64,2,Countries
152,NA,NA,1,NA,3,NA,4,NA,2,--1-3-4-2,1,Individuals
153,1,NA,NA,NA,2,NA,NA,NA,3,1---2---3,2,Countries
154,2,9,1,8,7,5,4,3,6,291875436,2,Countries
155,2,NA,1,NA,4,5,NA,NA,3,2-1-45--3,1,Individuals
156,NA,NA,4,NA,2,NA,NA,3,1,--4-2--31,2,Countries
157,2,3,1,8,4,7,9,6,5,231847965,1,Individuals
158,NA,NA,NA,NA,2,NA,NA,1,NA,----2--1-,2,Countries
159,2,NA,NA,1,4,NA,3,NA,NA,2--14-3--,1,Individuals
160,2,4,3,NA,1,NA,NA,NA,5,243-1---5,1,Individuals
161,1,NA,NA,NA,NA,NA,NA,3,2,1------32,1,Individuals
162,NA,NA,1,3,NA,NA,2,NA,NA,--13--2--,2,Countries
163,NA,NA,1,NA,NA,NA,2,NA,NA,--1---2--,1,Individuals
164,2,5,1,7,4,9,3,6,8,251749368,2,Countries
165,NA,NA,NA,NA,NA,NA,NA,1,2,-------12,1,Individuals
166,1,2,3,NA,NA,NA,NA,NA,NA,123------,1,Individuals
