unit,authority,community,econequality,freedom,freeenterprise,property,socialequality,socialhierarchy,unity,ranking,treat,party
1,8,6,7,1,2,3,4,5,9,867123459,0,1
2,8,5,4,7,1,9,2,3,6,854719236,1,1
3,8,2,3,4,9,6,1,7,5,823496175,0,3
4,9,2,1,5,8,7,6,3,4,921587634,1,3
5,9,2,8,3,7,5,1,4,6,928375146,0,3
6,5,1,9,3,6,4,2,7,8,519364278,1,3
7,6,2,9,1,3,4,8,7,5,629134875,0,1
8,6,5,9,1,2,3,4,8,7,659123487,0,1
9,7,2,9,1,4,5,3,8,6,729145386,1,1
10,2,1,9,4,5,6,3,7,8,219456378,0,1
11,9,7,6,1,3,4,5,2,8,976134528,0,1
12,8,1,9,2,5,7,3,4,6,819257346,1,1
13,7,2,8,1,6,3,5,4,9,728163549,0,1
14,5,3,7,1,4,6,2,9,8,537146298,1,1
15,7,4,3,1,9,8,2,6,5,743198265,0,3
16,6,2,9,1,7,8,3,5,4,629178354,1,3
17,7,4,6,1,5,2,3,9,8,746152398,0,1
18,9,4,8,2,5,1,3,7,6,948251376,1,1
19,5,2,9,1,4,6,3,8,7,529146387,0,1
20,9,1,8,2,7,4,3,6,5,918274365,1,1
21,8,2,9,1,4,6,3,5,7,829146357,0,1
22,4,2,9,1,5,6,7,8,3,429156783,1,1
23,8,4,1,3,6,5,2,9,7,841365297,0,3
24,5,3,6,7,9,8,4,1,2,536798412,1,3
25,7,2,4,6,9,8,1,3,5,724698135,0,3
26,9,3,1,5,7,6,2,4,8,931576248,1,3
27,6,3,5,2,7,8,1,9,4,635278194,0,3
28,1,5,9,4,3,8,6,7,2,159438672,1,3
29,9,1,7,3,5,6,2,4,8,917356248,0,1
30,8,4,3,6,9,7,1,2,5,843697125,1,1
31,7,2,9,3,4,6,1,5,8,729346158,0,1
32,2,1,9,3,7,5,6,8,4,219375684,0,1
33,7,2,9,1,4,3,5,8,6,729143586,0,1
34,8,2,6,1,3,4,5,9,7,826134597,1,1
35,9,4,2,3,6,5,1,7,8,942365178,0,3
36,6,1,7,5,9,8,2,3,4,617598234,1,3
37,4,7,9,1,6,3,8,2,5,479163825,0,1
38,2,7,6,1,9,4,5,8,3,276194583,1,1
39,4,1,9,5,3,8,2,7,6,419538276,0,1
40,3,1,9,2,6,5,4,7,8,319265478,0,1
41,6,2,9,1,4,5,3,8,7,629145387,0,1
42,6,3,7,1,5,8,2,4,9,637158249,1,1
43,6,1,9,2,8,3,4,7,5,619283475,0,1
44,9,4,8,1,3,7,2,5,6,948137256,1,1
45,8,4,1,3,7,6,2,9,5,841376295,0,3
